BV号：BV1vJ41197n2
标题：BV1vJ41197n2
链接：https://www.bilibili.com/video/BV1vJ41197n2
识别语言：zh
语言置信度：1
分段数：259
生成时间：2026-04-04 05:14:17

[00:00:00 - 00:00:02] 大家好 我上学习变得共快乐的张雪芳老师
[00:00:02 - 00:00:04] 在2018年的6月22号
[00:00:04 - 00:00:07] 有这么一个幼儿园的教师叫做林某珠
[00:00:07 - 00:00:10] 那么他因为对社会比较纵暮
[00:00:10 - 00:00:13] 然后又产生了所谓的报复社会的心理
[00:00:13 - 00:00:14] 他干了一个什么事
[00:00:14 - 00:00:16] 在他自己所共职的幼儿园当中
[00:00:16 - 00:00:20] 趁着其他老师和幼儿在睡午觉的时候
[00:00:20 - 00:00:22] 往水杯里边投放了强力的鼠药
[00:00:22 - 00:00:23] 叫做毒鼠墙
[00:00:23 - 00:00:25] 结果两个小孩睡醒了以后
[00:00:25 - 00:00:26] 用这个水杯喝水
[00:00:26 - 00:00:29] 造成了一死一伤的严重后果
[00:00:29 - 00:00:31] 那么在最后定罪的时候
[00:00:31 - 00:00:33] 是应该给这个老师定什么罪呢
[00:00:33 - 00:00:35] 是给他定故意杀人罪
[00:00:35 - 00:00:38] 还是投放危险物质罪呢
[00:00:38 - 00:00:40] 这就是我们本期要讨论的内容
[00:00:48 - 00:00:49] 大家好
[00:00:49 - 00:00:51] 我上学习变得更快乐的张雪峰老师
[00:00:51 - 00:00:52] 欢迎大家收看本期的法律期试
[00:00:52 - 00:00:53] 很好玩
[00:00:53 - 00:00:54] 我们今天请到的嘉宾的依然是我们
[00:00:54 - 00:00:56] 研途教育的千元老师
[00:00:56 - 00:00:57] 我们的颜雅侠老师
[00:00:57 - 00:00:58] 杨老师跟大家打个招呼吧
[00:00:58 - 00:00:58] 好嘞
[00:00:58 - 00:00:59] 大家好
[00:00:59 - 00:01:02] 杨老师像这种人真的挺
[00:01:02 - 00:01:03] 糟人恨的
[00:01:03 - 00:01:04] 你说你自己有什么问题
[00:01:04 - 00:01:06] 那些你自己的事情
[00:01:06 - 00:01:08] 你不能说去伤害可能
[00:01:08 - 00:01:10] 而且还是幼儿园的老师
[00:01:10 - 00:01:12] 我觉得这个性质是更加恶劣了
[00:01:12 - 00:01:14] 那你说最后给他定罪的时候
[00:01:14 - 00:01:15] 是按照故意杀人罪定
[00:01:15 - 00:01:17] 还是给他按照这个投放
[00:01:17 - 00:01:18] 危险物质罪
[00:01:18 - 00:01:20] 还是说我个人觉得
[00:01:20 - 00:01:22] 幼儿园也是一个公共场所
[00:01:22 - 00:01:22] 对吧
[00:01:22 - 00:01:23] 还是以什么危险方法
[00:01:23 - 00:01:25] 危害公共安全罪呢
