BV号：BV1JE411v7fG
标题：BV1JE411v7fG
链接：https://www.bilibili.com/video/BV1JE411v7fG
识别语言：zh
语言置信度：1
分段数：288
生成时间：2026-04-04 05:37:06

[00:00:00 - 00:00:02] 大家好,我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:04] 在今年的10月1号啊
[00:00:04 - 00:00:06] 这个有一个人叫做克里斯托弗
[00:00:06 - 00:00:07] 这个克里斯托弗呢
[00:00:07 - 00:00:09] 他是居住在挪威的
[00:00:09 - 00:00:12] 他就想给他住在美国的这个岳父啊
[00:00:12 - 00:00:13] 一个惊喜
[00:00:13 - 00:00:14] 因为当天呢是他的生日
[00:00:14 - 00:00:15] 他从挪威啊
[00:00:15 - 00:00:17] 就千里迢迢的飞到了美国
[00:00:17 - 00:00:18] 到美国的时候呢
[00:00:18 - 00:00:19] 已经是晚上了
[00:00:19 - 00:00:21] 到家已经半夜11点多了
[00:00:21 - 00:00:22] 这个克里斯托弗呢
[00:00:22 - 00:00:24] 要给他岳父一个惊喜吗
[00:00:24 - 00:00:27] 就藏在他们家花园里面的草叢里边
[00:00:27 - 00:00:28] 光光光丘了门
[00:00:28 - 00:00:31] 他的岳父一看大半夜的谁来求门
[00:00:31 - 00:00:32] 就很谨慎
[00:00:32 - 00:00:34] 因为那个国家不是那么特别安全
[00:00:34 - 00:00:34] 然后的话
[00:00:34 - 00:00:37] 他岳父就拿着枪揣在怀里边
[00:00:37 - 00:00:38] 准备去开门
[00:00:38 - 00:00:40] 开门了没后发现外边没有人
[00:00:40 - 00:00:41] 哎
[00:00:41 - 00:00:43] 哪个小伙子搞这个恶作剧
[00:00:43 - 00:00:45] 他岳父就有点害怕了
[00:00:45 - 00:00:47] 这个时候克里斯多夫从草屏里边
[00:00:47 - 00:00:48] 突然就蹦出来了
[00:00:48 - 00:00:49] 哈哈
[00:00:49 - 00:00:50] 他岳父以为是抢劫的
[00:00:50 - 00:00:52] 拿了枪光
[00:00:52 - 00:00:53] 就改了他一枪
[00:00:53 - 00:00:55] 就把克里斯多夫给打死了
[00:00:55 - 00:00:57] 一个亲岳父
[00:00:57 - 00:00:58] 就把他女婿给打死了
[00:00:58 - 00:01:00] 那在这个过程当中的话
[00:01:00 - 00:01:02] 泰克克里斯多夫的这个岳父
[00:01:02 - 00:01:04] 他要不要负相应的责任呢
[00:01:04 - 00:01:06] 这就是我们本期要给大家讲的故事
[00:01:14 - 00:01:15] 大家好
[00:01:15 - 00:01:17] 我是徐西斌的更快乐的张雪芳老师
[00:01:17 - 00:01:19] 欢迎大家收看本期的法律其实很好玩
[00:01:19 - 00:01:20] 我们本期强到的嘉宾呢
[00:01:20 - 00:01:22] 依然是我们沿途教育的谦言老师
[00:01:22 - 00:01:23] 我们的言下乡老师
[00:01:23 - 00:01:24] 杨老师给大家打个招呼吧
[00:01:24 - 00:01:25] 好 大家好
[00:01:25 - 00:01:26] 杨老师啊
[00:01:26 - 00:01:28] 我觉得这个案子简直就是
[00:01:28 - 00:01:30] 惊喜变成了惊吓
[00:01:30 - 00:01:32] 季儿变成了死亡
[00:01:32 - 00:01:34] 那像这个案子当中
[00:01:34 - 00:01:35] 克里斯托弗这个岳父
[00:01:35 - 00:01:37] 后来他叫李查德
[00:01:37 - 00:01:40] 这个岳父要不要付一些相应的责任
[00:01:40 - 00:01:41] 这个案子呢
[00:01:41 - 00:01:43] 还真可以在我们刑法上讨论一下
[00:01:43 - 00:01:44] 这个案子呢
[00:01:44 - 00:01:45] 你想想
[00:01:45 - 00:01:47] 他岳父打他的时候
[00:01:47 - 00:01:48] 他想的是什么
[00:01:48 - 00:01:49] 他想的是抢劫的嘛
[00:01:49 - 00:01:50] 对
[00:01:50 - 00:01:52] 所以他是以这个正当方位的心态打的
[00:01:52 - 00:01:53] 对对对对
[00:01:53 - 00:01:54] 但是呢
[00:01:54 - 00:01:56] 客观上他不是一个不法侵害
[00:01:56 - 00:01:58] 客观上甚至是一个女婿送惊喜来了
[00:01:58 - 00:01:59] 对不对
[00:01:59 - 00:02:00] 所以我们把这种的
[00:02:00 - 00:02:02] 在刑法理论上叫假想方位
[00:02:02 - 00:02:03] 那他不是一个
[00:02:03 - 00:02:04] 按照我的理解
[00:02:04 - 00:02:07] 他不是一个所谓的过世杀人
[00:02:07 - 00:02:07] 或者怎样的
[00:02:07 - 00:02:09] 不能按这个来判吗
[00:02:09 - 00:02:10] 这样
[00:02:10 - 00:02:11] 这是第二步的工作
[00:02:11 - 00:02:14] 我们第一步先把它们性质上做一个定性
[00:02:14 - 00:02:16] 那么你知道咱们有正当防卫
[00:02:16 - 00:02:17] 针对不法侵害
[00:02:17 - 00:02:19] 我反击不法侵害
[00:02:19 - 00:02:20] 这个叫正当防卫
[00:02:20 - 00:02:21] 那么还有一类
[00:02:21 - 00:02:24] 就是生活中的很多悲剧的一个起源
[00:02:24 - 00:02:25] 就是这个案子
[00:02:25 - 00:02:26] 就这种情况
[00:02:26 - 00:02:28] 就是不存在不法侵害
[00:02:28 - 00:02:31] 但我误以为存在不法侵害
[00:02:31 - 00:02:35] 然後他就對人家進行了所謂的防衛
[00:02:35 - 00:02:36] 這個咱們叫假想防衛
[00:02:36 - 00:02:39] 那麼對這個假想防衛怎麼處理呢
[00:02:39 - 00:02:41] 這個學者們討論了很多很多案例
[00:02:41 - 00:02:42] 得到的一個原則是這樣
[00:02:42 - 00:02:43] 有三句話
[00:02:43 - 00:02:47] 第一句話就是排除犯罪的故意
[00:02:47 - 00:02:49] 就是說像克里斯托弗
[00:02:49 - 00:02:51] 他的爸爸李查德
[00:02:51 - 00:02:54] 那麼這個李查德他開槍的一瞬間
[00:02:54 - 00:02:56] 他想的是這是一個搶劫犯
[00:02:56 - 00:02:58] 我要殺了他 對吧
[00:02:58 - 00:02:59] 那麼他是一個防衛的意識
[00:02:59 - 00:03:02] 不是一個殺人的這種故意犯罪
[00:03:02 - 00:03:04] 所以第一句排除故意犯罪
[00:03:04 - 00:03:05] 第二句
[00:03:05 - 00:03:06] 防衛的這個人
[00:03:06 - 00:03:08] 如果對本案的發生有過失
[00:03:08 - 00:03:09] 認定為過失犯罪
[00:03:09 - 00:03:10] 第三句
[00:03:10 - 00:03:11] 如果沒有過失
[00:03:11 - 00:03:13] 就認定為意外事件
[00:03:13 - 00:03:13] 意外事件
[00:03:13 - 00:03:16] 那最後這個事情可能會被定為
[00:03:16 - 00:03:17] 你覺得本案中
[00:03:17 - 00:03:19] 這是個意外
[00:03:19 - 00:03:19] 不
[00:03:19 - 00:03:20] 你覺得本案中
[00:03:20 - 00:03:23] 是李查德就這個岳父有過失呢
[00:03:23 - 00:03:25] 還是那個死者有過失呢
[00:03:25 - 00:03:28] 我覺得他倆怎麼說呢
[00:03:28 - 00:03:30] 本来是一个挺好的事
[00:03:30 - 00:03:33] 结果让他们一干就给干成了一个悲剧了
[00:03:33 - 00:03:35] 他这个女婿给我的一个感觉
[00:03:35 - 00:03:36] 咱们以前讲的那句话
[00:03:36 - 00:03:37] No做No带
[00:03:37 - 00:03:37] 对吧
[00:03:37 - 00:03:38] 不做不死
[00:03:38 - 00:03:42] 就是说你本来你去给岳父送惊喜
[00:03:42 - 00:03:43] 这是可以的
[00:03:43 - 00:03:46] 你不要11点半藏在后门
[00:03:46 - 00:03:48] 然后敲门人家出来
[00:03:48 - 00:03:50] 你又不闪面
[00:03:50 - 00:03:52] 然后还从花园里的草叢里蹦出来
[00:03:52 - 00:03:54] 还发出那种咆哮的声音
[00:03:54 - 00:03:55] 这个就是说
[00:03:55 - 00:03:58] 他非常非常容易让人家认为
[00:03:58 - 00:03:59] 他是要搞点儿
[00:03:59 - 00:04:01] 这个坏人来了 抢劫犯了
[00:04:01 - 00:04:03] 你半夜十一点半从后门出来
[00:04:03 - 00:04:05] 还发出抛 从后门蹦出来
[00:04:05 - 00:04:06] 还发出抛笑的声音
[00:04:06 - 00:04:07] 就这种情况下
[00:04:07 - 00:04:09] 那么他就认为 在这种情况下就说
[00:04:09 - 00:04:12] 那么这个女婿的起行为呢
[00:04:12 - 00:04:13] 他有很大的过世
[00:04:13 - 00:04:15] 那么这个岳父在当时的情况下
[00:04:15 - 00:04:16] 他做出这种行为
[00:04:16 - 00:04:18] 就属于非常合理的
[00:04:18 - 00:04:19] 所以呢
[00:04:19 - 00:04:21] 这个岳父呢就把他这个女婿杀了就算
[00:04:21 - 00:04:22] 败杀了
[00:04:22 - 00:04:23] 就是败杀了
[00:04:23 - 00:04:23] 就算一外嘛
[00:04:23 - 00:04:24] 就算一外
[00:04:24 - 00:04:26] 然后我觉得这个事在中国不太可能发生
[00:04:26 - 00:04:28] 主要就是因为咱们中国是献腔的
[00:04:29 - 00:04:31] 就是比如说首先第一咱们中国献腔
[00:04:31 - 00:04:33] 第二中国的治安环境比美国要好很多
[00:04:33 - 00:04:35] 人没有那么多恐惧感
[00:04:35 - 00:04:35] 对
[00:04:35 - 00:04:36] 没有那么多恐惧感
[00:04:36 - 00:04:37] 你像这个事你发生在美国
[00:04:37 - 00:04:38] 对吧
[00:04:38 - 00:04:40] 但美国人可能觉得11点半人来敲我们
[00:04:40 - 00:04:42] 可能他首先第一想法是来打劫的
[00:04:42 - 00:04:43] 对
[00:04:43 - 00:04:43] 对吧
[00:04:43 - 00:04:43] 对吧
[00:04:43 - 00:04:44] 对吧
[00:04:44 - 00:04:45] 他甚至加着不如背着枪
[00:04:45 - 00:04:46] 万一又打劫了
[00:04:46 - 00:04:48] 我在这在中国的话11点钟
[00:04:48 - 00:04:48] 哎
[00:04:48 - 00:04:49] 是不是外卖到了
[00:04:49 - 00:04:50] 哈哈
[00:04:50 - 00:04:52] 你说说的可能会说
[00:04:52 - 00:04:53] 是不是邻居有急的
[00:04:53 - 00:04:54] 有生个急病
[00:04:54 - 00:04:55] 是不是生意疾病来找我
[00:04:55 - 00:04:56] 是不是来找我帮忙的
[00:04:56 - 00:04:56] 对不对
[00:04:56 - 00:04:58] 这就是社会
[00:04:58 - 00:04:58] 对
[00:04:58 - 00:04:59] 这是社会环境的问题
[00:04:59 - 00:04:59] 对
[00:04:59 - 00:05:01] 咱的环境还是要安全什么
[00:05:01 - 00:05:02] 但是杨老师在中国有一个事
[00:05:02 - 00:05:03] 在美国可能不一定
[00:05:03 - 00:05:05] 但是中国现在是越来越多
[00:05:05 - 00:05:06] 什么事呢
[00:05:06 - 00:05:06] 我不知道你
[00:05:06 - 00:05:08] 这不叫现在年轻人特别喜欢玩一个东西
[00:05:08 - 00:05:09] 叫做密室逃脱
[00:05:09 - 00:05:10] 听说过
[00:05:10 - 00:05:11] 听说过吧
[00:05:11 - 00:05:12] 这个密室逃脱
[00:05:12 - 00:05:15] 很多都是那种特别恐怖的密室逃脱
[00:05:15 - 00:05:15] 然后的话
[00:05:15 - 00:05:17] 出有专门的他们叫NPC
[00:05:17 - 00:05:20] 就是里边的一个密室逃脱里边的这么一个人物
[00:05:20 - 00:05:21] 去吓唬人
[00:05:21 - 00:05:23] 去下估里边玩这个游戏的人
[00:05:23 - 00:05:25] 然后的话去导致这种刺激感
[00:05:25 - 00:05:27] 在进入这个游戏场景之前
[00:05:28 - 00:05:29] 肯定这个游戏者
[00:05:29 - 00:05:31] 就是我们游戏的管理人员
[00:05:31 - 00:05:32] 会跟游戏者说
[00:05:32 - 00:05:33] 说里边那吓唬你的
[00:05:33 - 00:05:33] 那是真人
[00:05:34 - 00:05:34] 不准打
[00:05:35 - 00:05:36] 你不准打
[00:05:36 - 00:05:37] 他吓唬你一下
[00:05:37 - 00:05:38] 你不准打
[00:05:38 - 00:05:40] 但是保不起
[00:05:40 - 00:05:41] 会有那么几个
[00:05:41 - 00:05:43] 入戏太深的
[00:05:44 - 00:05:45] 过激反应比较强烈的
[00:05:46 - 00:05:46] 这个时候
[00:05:46 - 00:05:48] 这个游戏里边的人去吓唬他
[00:05:48 - 00:05:50] 你虽然告诉他不准打
[00:05:50 - 00:05:52] 但是他回头以后光给人一脚给人弄死了
[00:05:52 - 00:05:55] 这个在咱们中国要不要负责任
[00:05:55 - 00:05:56] 我觉得是这样
[00:05:56 - 00:05:59] 这个就还相当于是一个假想方位
[00:05:59 - 00:06:01] 我觉得应该要承担责任
[00:06:01 - 00:06:01] 为什么
[00:06:01 - 00:06:03] 就是你进去之前
[00:06:03 - 00:06:06] 人家告诉你这个是真的
[00:06:06 - 00:06:07] 你不能够打
[00:06:07 - 00:06:09] 然后你说那你们弄得那么像
[00:06:09 - 00:06:11] 我想不起来
[00:06:11 - 00:06:12] 我弄得像是我的事
[00:06:12 - 00:06:14] 但是我跟你说过
[00:06:14 - 00:06:17] 你就应当认识到你不应该打
[00:06:17 - 00:06:19] 这还是有过错的
[00:06:19 - 00:06:20] 这是有过错的,是吧?
[00:06:20 - 00:06:21] 这个理论上是应该是
[00:06:21 - 00:06:22] 那就过世之人死亡吧
[00:06:22 - 00:06:23] 过世之人死亡
[00:06:23 - 00:06:25] 但是应该会判得极轻
[00:06:25 - 00:06:26] 那当然了
[00:06:26 - 00:06:28] 尤其是说如果他那个做的特别特别像
[00:06:28 - 00:06:29] 因为你如果不是特别像
[00:06:29 - 00:06:31] 人们也不会入心那么深
[00:06:31 - 00:06:32] 那我现在在正向的
[00:06:32 - 00:06:35] 比如说我现在我做的太像了
[00:06:35 - 00:06:37] 一句话把人给吓死
[00:06:37 - 00:06:38] 那这个东西的话
[00:06:38 - 00:06:40] 但是虽然我之前我也跟你们说
[00:06:40 - 00:06:41] 胆小者深入
[00:06:41 - 00:06:43] 然后的话有心脏病的深入
[00:06:43 - 00:06:45] 有高血压的深入
[00:06:45 - 00:06:47] 这人确实他没有心脏病史
[00:06:47 - 00:06:48] 确实也没有高血压
[00:06:48 - 00:06:50] 年轻人玩的这个东西都比较多
[00:06:50 - 00:06:51] 他就想虚拟到自己
[00:06:51 - 00:06:54] 往往你会发现玩那种东西的人越胆小
[00:06:54 - 00:06:55] 他越玩那种东西
[00:06:55 - 00:06:58] 那你如果说他真的作为了过于想把人给吓死了
[00:06:58 - 00:06:59] 那他要不要承担责任
[00:06:59 - 00:07:01] 我觉得这个不需要承担
[00:07:01 - 00:07:02] 不需要承担是吧
[00:07:02 - 00:07:04] 我告诉你那游戏有风险
[00:07:04 - 00:07:06] 这个玩你玩这个游戏有虚紧身
[00:07:06 - 00:07:08] 而且我是有可能会吓死人的
[00:07:08 - 00:07:10] 你点亮点亮自己
[00:07:10 - 00:07:11] 自陷风险
[00:07:12 - 00:07:12] 自陷风险
[00:07:12 - 00:07:14] 对 被害人自陷风险
[00:07:14 - 00:07:17] 反正我们在这样的节目当中已经告诉大家了
[00:07:17 - 00:07:19] 像这种被害人自陷死亡的
[00:07:19 - 00:07:20] 包括像给人这种意外
[00:07:20 - 00:07:21] 结果意外没给成
[00:07:21 - 00:07:24] 最后给人给弄成悲剧了
[00:07:24 - 00:07:25] 这都是有可能的
[00:07:25 - 00:07:27] 所以说希望大家在以后玩这种游戏的时候
[00:07:27 - 00:07:30] 包括说在做事情给人惊喜的时候
[00:07:30 - 00:07:34] 都要考虑一下要惊喜而不是要惊吓
[00:07:34 - 00:07:36] 这个后果是很严重的
[00:07:36 - 00:07:37] 好吗
[00:07:37 - 00:07:38] 我们感谢杨老师
[00:07:38 - 00:07:39] 给我们讲解了这么重要的一个内容
[00:07:39 - 00:07:41] 咱们本期节目就是这样
[00:07:41 - 00:07:42] 咱们下期节目再见
[00:07:42 - 00:07:43] 谢谢大家
[00:07:43 - 00:07:43] 好的
[00:07:43 - 00:07:44] 拜拜
