BV号：BV1MSQiBjEHA
标题：BV1MSQiBjEHA
链接：https://www.bilibili.com/video/BV1MSQiBjEHA
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-02 23:57:46

[00:00:00 - 00:00:02] 不是不能学 但是你得有考研的决心啊
[00:00:02 - 00:00:05] 女生 学电器工程自动化可以吗
[00:00:05 - 00:00:07] 你要本科毕业就业的话
[00:00:07 - 00:00:08] 个人不是特别便宜
[00:00:08 - 00:00:11] 只要你要是能考研的话 还不错
[00:00:11 - 00:00:12] 但是的话 你得 婚姻
[00:00:12 - 00:00:14] 你现在考研考什么样党司的学校
[00:00:14 - 00:00:15] 如果是娘性国王的话
[00:00:15 - 00:00:16] 就得报内心
[00:00:16 - 00:00:18] 爹地不知主高校啊
[00:00:18 - 00:00:19] 二龙四虎啊
[00:00:19 - 00:00:20] 我们地方的地头蛇啊
[00:00:20 - 00:00:21] 得看你多少分啊
[00:00:21 - 00:00:22] 他不是不能学
[00:00:22 - 00:00:24] 但是你得有考研的决心啊
[00:00:24 - 00:00:26] 法学本科好就业吗
[00:00:26 - 00:00:28] 法学本科从就业这个角度来讲的话
[00:00:28 - 00:00:30] 我是特别好就应
[00:00:30 - 00:00:31] 因为大多数的绿索
[00:00:31 - 00:00:32] 其实它没有多少人的
[00:00:32 - 00:00:33] 像苏州站的城市
[00:00:33 - 00:00:34] 大一点的绿索
[00:00:34 - 00:00:35] 也就是30多个人
[00:00:35 - 00:00:37] 它每年新招的硬接生人数
[00:00:37 - 00:00:39] 更是非常非常的少
[00:00:39 - 00:00:39] 企业法务
[00:00:39 - 00:00:41] 首先这个公司得特别大
[00:00:41 - 00:00:42] 才会招法务
[00:00:42 - 00:00:44] 小的企业基本上是没有法务的
[00:00:44 - 00:00:45] 法学个人建议是什么呢
[00:00:45 - 00:00:46] 你先去考虑区区的资格证
[00:00:46 - 00:00:47] 再去考公园
[00:00:47 - 00:00:49] 在公园待一段时间以后的话
[00:00:49 - 00:00:50] 能上去上去上不去的话
[00:00:50 - 00:00:52] 你再出来去绿索
[00:00:52 - 00:00:53] 会更合适一些
