BV号：BV1zh411W7H7
标题：BV1zh411W7H7
链接：https://www.bilibili.com/video/BV1zh411W7H7
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-04-03 22:40:23

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 然后我们上周讨论的话题是我们在报纸验的时候
[00:00:05 - 00:00:07] 如果分你分高了1本分的线分的不多
[00:00:07 - 00:00:11] 你是选择一个所谓的1本目的还是选择一个2本的前端
[00:00:11 - 00:00:15] 那么我们4%的考生和家长觉得还是要报1本的
[00:00:15 - 00:00:19] 也有5%的家长觉得如果2本里边有更好的选择
[00:00:19 - 00:00:20] 我愿意考虑2本
[00:00:20 - 00:00:21] 实际上我想跟大家说
[00:00:21 - 00:00:24] 1本和2本的界线分的蛮有那么明显
[00:00:24 - 00:00:27] 那你说有的学校在你们省时1本在别的省时2本
[00:00:27 - 00:00:29] 有的学校在你们省时2本在别的省时1本
[00:00:29 - 00:00:31] 那有个学校在你们省
[00:00:31 - 00:00:33] 因为一本又有二本
[00:00:33 - 00:00:35] 那你说它是一本还是二本呢
[00:00:35 - 00:00:37] 那你经常会劝那些
[00:00:37 - 00:00:40] 就是一本目的报不了好学校的家长和考生
[00:00:40 - 00:00:41] 我竟然会劝他们
[00:00:41 - 00:00:44] 我觉得你这个事情的BI的事情是什么吗
[00:00:44 - 00:00:46] 是你以为你上了一个一本
[00:00:46 - 00:00:48] 但你到了学校以后你发现
[00:00:48 - 00:00:50] 就你自己是一本
[00:00:50 - 00:00:51] 你周围的同学都是二本
[00:00:51 - 00:00:53] 你以为你占便宜了
[00:00:53 - 00:00:54] 但其实并没有
[00:00:54 - 00:00:57] 而这个世界上最幸福的事情是什么呢
[00:00:57 - 00:00:58] 你以为你上成二本
[00:00:58 - 00:01:00] 你以为有亏啊
[00:01:00 - 00:01:02] 但是到了学校以后你才发现
[00:01:03 - 00:01:06] 原来你这个学校在别的省都是一本
[00:01:07 - 00:01:09] 就你,因为是二本,咱们这个就叫债便宜
[00:01:10 - 00:01:12] 所以说大家在报主任的时候对于一本和二本呢
[00:01:13 - 00:01:13] 我真的建议
[00:01:14 - 00:01:16] 不要把他借下花的那么明显
[00:01:16 - 00:01:18] 说我上了一本了我就比二本强
[00:01:18 - 00:01:20] 真的不一定,好不好
[00:01:20 - 00:01:23] 那么我们下一周给大家讨论一个很有意思的话题
[00:01:23 - 00:01:24] 就是很多同学都已经
[00:01:25 - 00:01:27] 即将步入大学的生活
[00:01:27 - 00:01:31] 大学的生活有一个组织就很好玩,叫做学生会
[00:01:31 - 00:01:34] 在网上以后发现对学生会这个事了,保贬不一样
[00:01:35 - 00:01:37] 有的人说你千万不要加入学生会,那就是浪费时间
[00:01:37 - 00:01:41] 有的人说你一定要加入学生会,那你能锻炼你的能力
[00:01:41 - 00:01:45] 你觉得该不该,让我们的大医生加入学生会呢
[00:01:45 - 00:01:47] 欢迎大家参与我们的讨论
