BV号：BV1yU4y1w7Ee
标题：BV1yU4y1w7Ee
链接：https://www.bilibili.com/video/BV1yU4y1w7Ee
识别语言：zh
语言置信度：1
分段数：86
生成时间：2026-04-03 22:09:21

[00:00:00 - 00:00:02] 第六种导师叫控制性导师
[00:00:02 - 00:00:04] 你几乎就是他的私人财产
[00:00:04 - 00:00:05] 对吧
[00:00:05 - 00:00:07] 轻瓢切你的学术成果
[00:00:07 - 00:00:09] 重你成为他的家农
[00:00:10 - 00:00:11] 你要什么家农吗
[00:00:11 - 00:00:12] 什么接孩子 洗袜的
[00:00:12 - 00:00:13] 全是你的活
[00:00:13 - 00:00:14] 有没有这样的导师
[00:00:14 - 00:00:15] 有的
[00:00:15 - 00:00:18] 大家每年在微博都能看到我这样的人
[00:00:18 - 00:00:18] 对吧
[00:00:18 - 00:00:20] 每年各个大学都会有这样的
[00:00:20 - 00:00:21] 啊
[00:00:21 - 00:00:21] 啪
[00:00:22 - 00:00:24] 基本上跟的就是这种导师
[00:00:24 - 00:00:25] 对吧
[00:00:25 - 00:00:26] 这六种导师
[00:00:26 - 00:00:28] 每个学校我给你说都用
[00:00:28 - 00:00:30] 肯定有啊
[00:00:30 - 00:00:31] 所以说各位同学请注意啊
[00:00:31 - 00:00:33] 如果说你们考试年纪生以后
[00:00:33 - 00:00:34] 你选导师的时候
[00:00:34 - 00:00:36] 千万不要问师兄师姐
[00:00:36 - 00:00:37] 下面这个问题
[00:00:37 - 00:00:38] 说大哥大姐我想问一下
[00:00:38 - 00:00:39] 咱们小女生哪个导师比较好
[00:00:39 - 00:00:40] 这个问题不要问
[00:00:40 - 00:00:41] 为什么
[00:00:41 - 00:00:43] 乳汁蜜糖比之批说
[00:00:43 - 00:00:43] 知道吗
[00:00:43 - 00:00:45] 她认为好的导师对于你来讲
[00:00:45 - 00:00:46] 不一定是好的
[00:00:46 - 00:00:47] 能明白吗
[00:00:47 - 00:00:48] 她认为比较好
[00:00:48 - 00:00:50] 她会自己很主观
[00:00:50 - 00:00:51] 我举个简单的例子
[00:00:51 - 00:00:52] 比如说大家找男朋友
[00:00:52 - 00:00:53] 找女朋友
[00:00:53 - 00:00:54] 你的标准肯定是不一样的嘛
[00:00:54 - 00:00:55] 对吧
[00:00:55 - 00:00:56] 她的标准不一定是用女
[00:00:56 - 00:00:58] 找导师也一样
[00:00:59 - 00:00:59] 知道吧
[00:00:59 - 00:01:00] 你怎么知道
[00:01:00 - 00:01:01] 你问的那个师出师姐
[00:01:01 - 00:01:02] 他不是那种
[00:01:02 - 00:01:04] 就是喜欢
[00:01:04 - 00:01:06] 控制型导师的那种人呢
[00:01:07 - 00:01:08] 对吧
[00:01:08 - 00:01:10] 说不定他很享受啊
[00:01:10 - 00:01:10] 对吧
[00:01:10 - 00:01:11] 你问他哪个导师比较好
[00:01:11 - 00:01:12] 啊
[00:01:12 - 00:01:13] come on
[00:01:13 - 00:01:14] 再狠一点
[00:01:14 - 00:01:15] 哈哈
[00:01:15 - 00:01:16] 这不好说
[00:01:16 - 00:01:16] 知道吧
[00:01:16 - 00:01:17] 这都不好说
[00:01:17 - 00:01:19] 所以说你不要问那种
[00:01:19 - 00:01:19] 你要问什么
[00:01:19 - 00:01:20] 你比如说张导师
[00:01:20 - 00:01:21] 我弄的很强
[00:01:21 - 00:01:22] 张导师我就是来滑水的
[00:01:23 - 00:01:23] 那你就问他
[00:01:23 - 00:01:25] 咱们学校哪个导师
[00:01:25 - 00:01:26] 滑水比较容易
[00:01:26 - 00:01:26] 对吧
[00:01:26 - 00:01:28] 那你说老师我动力性很强
[00:01:28 - 00:01:29] 我就是来读博士的
[00:01:29 - 00:01:30] 那你就问他
[00:01:30 - 00:01:30] 大哥我想问一下
[00:01:30 - 00:01:31] 咱们学校哪个导师
[00:01:31 - 00:01:33] 我跟着他读博士相对比较容易
[00:01:33 - 00:01:34] 大家能理解吧
[00:01:34 - 00:01:35] 就是选导师的时候
[00:01:35 - 00:01:37] 一定要按照自己的需求去选
[00:01:37 - 00:01:37] 你别傻了吧
[00:01:37 - 00:01:38] 你问
[00:01:38 - 00:01:39] 咱们学校哪个导师比较好
[00:01:39 - 00:01:39] 对吧
[00:01:39 - 00:01:40] 说不定
[00:01:40 - 00:01:41] 你就很爽
[00:01:41 - 00:01:41] 是吧
[00:01:41 - 00:01:43] 所以说大家这个一定要注意
