BV号：BV1i6AoeXEpn
标题：BV1i6AoeXEpn
链接：https://www.bilibili.com/video/BV1i6AoeXEpn
识别语言：zh
语言置信度：1
分段数：103
生成时间：2026-04-03 05:52:17

[00:00:00 - 00:00:01] 刚才这个家长问的问题是
[00:00:01 - 00:00:02] 他老师家长说
[00:00:02 - 00:00:03] 我想报计算机类的专业
[00:00:03 - 00:00:05] 但是你看这些都叫计算机
[00:00:05 - 00:00:07] 很多家长就会以为什么呢
[00:00:07 - 00:00:08] 只有计算机科学
[00:00:08 - 00:00:09] 计算机不叫计算机
[00:00:09 - 00:00:11] 其他东西就不叫计算机了吗
[00:00:11 - 00:00:12] 其他技术也是计算机
[00:00:12 - 00:00:14] 他这叫做一级学科
[00:00:14 - 00:00:16] 叫专业大类
[00:00:16 - 00:00:17] 来 各位家长
[00:00:17 - 00:00:18] 记住我下面说的两句话
[00:00:18 - 00:00:19] 首先第一
[00:00:19 - 00:00:22] 从学习内容的角度来讲
[00:00:22 - 00:00:24] 专业大类
[00:00:24 - 00:00:25] 下面的本科专业
[00:00:25 - 00:00:27] 学习的内容
[00:00:27 - 00:00:28] 其实是差不多的
[00:00:28 - 00:00:29] 听懂了吗
[00:00:29 - 00:00:32] 从学习内容的角度来讲
[00:00:32 - 00:00:34] 专业大类下面的本科专业
[00:00:34 - 00:00:36] 学习的内容是差不多的
[00:00:36 - 00:00:37] 比如说张老师
[00:00:37 - 00:00:39] 我现在计算机类
[00:00:39 - 00:00:42] 你学计算机类里边的哪一个专业
[00:00:42 - 00:00:43] 它的基础内容
[00:00:43 - 00:00:45] 都是计算机组成员里
[00:00:45 - 00:00:47] 计算机网络操作系统数据结构
[00:00:47 - 00:00:49] 它是基本内容
[00:00:49 - 00:00:51] 基本内容都是差不多的
[00:00:51 - 00:00:53] 来 我们直播间上过大学
[00:00:53 - 00:00:54] 或者正在上大学的朋友
[00:00:54 - 00:00:55] 你告诉我们直播间的家长
[00:00:55 - 00:00:57] 老张讲的对不对
[00:00:57 - 00:00:59] 你同一个专业类
[00:00:59 - 00:01:02] 里边学的内容是差不多的
[00:01:02 - 00:01:04] 没有你想象当中那么大
[00:01:04 - 00:01:07] 我们本科阶段的学习内容叫做
[00:01:07 - 00:01:09] 宽研究生阶段叫做
[00:01:09 - 00:01:11] 专博士阶段叫做
[00:01:11 - 00:01:14] 你本科阶段的学习内容
[00:01:14 - 00:01:17] 同一专业大类专业和专业之间
[00:01:17 - 00:01:20] 想象的差别没有你想象的那么大
[00:01:20 - 00:01:20] 知道吧
[00:01:20 - 00:01:22] 这是我给大家说的第一句话
[00:01:22 - 00:01:24] 同一个专业大类
[00:01:24 - 00:01:26] 下边的本科专业学习内容差不多
[00:01:26 - 00:01:27] 第二
[00:01:27 - 00:01:31] 在考供在考央国起的时候
[00:01:31 - 00:01:33] 他对于专业类的话分
[00:01:33 - 00:01:36] 其实就是这个中国本科专业目录
[00:01:36 - 00:01:38] 来我们考过供的朋友
[00:01:38 - 00:01:39] 告诉我们直播间的家长
[00:01:39 - 00:01:41] 是不是考供的时候
[00:01:41 - 00:01:43] 对于专业的话分
[00:01:43 - 00:01:48] 他所参照的其实就是中国本科专业目录
[00:01:48 - 00:01:49] 就是你看的这个东西
[00:01:49 - 00:01:51] 所以说有的家长会发现
[00:01:51 - 00:01:52] 就包括有的朋友
[00:01:52 - 00:01:54] 他考供他刚考
[00:01:54 - 00:01:56] 刚准备口供
[00:01:56 - 00:01:57] 他的口供就结束了
[00:01:57 - 00:01:58] 为什么
[00:01:58 - 00:01:59] 因为他的专业
[00:01:59 - 00:02:01] 口供当中他是小专业
[00:02:01 - 00:02:02] 他没有岗
[00:02:02 - 00:02:03] 他没有岗
[00:02:03 - 00:02:04] 大家一定要去注意一下
[00:02:04 - 00:02:06] 他这个专业类的划分
[00:02:06 - 00:02:08] 那比较占便宜的办法是什么呢
[00:02:08 - 00:02:09] 比较占便宜的办法就是
[00:02:09 - 00:02:11] 你想去一届比较好的学校
[00:02:11 - 00:02:12] 分又不够
[00:02:12 - 00:02:13] 那你就可以报
[00:02:13 - 00:02:15] 你想上的那个专业
[00:02:15 - 00:02:17] 同一个专业类下面
[00:02:17 - 00:02:19] 分相对就低的那个专业
[00:02:19 - 00:02:20] 举个例子
[00:02:21 - 00:02:22] 举个例子
[00:02:22 - 00:02:23] 比如说张老师
[00:02:23 - 00:02:26] 我们家孩子特别想上计算积累
[00:02:26 - 00:02:28] 但是分不够
[00:02:28 - 00:02:30] 结果发现计算积累里边有一个专业
[00:02:30 - 00:02:31] 大家看到这个专业了吗
[00:02:31 - 00:02:33] 叫做智能科学与技术
[00:02:33 - 00:02:36] 同一个学校计算积科学与技术的分比较高
[00:02:36 - 00:02:38] 智能科学与技术的分可能相对就低
[00:02:38 - 00:02:40] 那么既然智能科学与技术
[00:02:40 - 00:02:42] 跟计算积科学与技术它是同一个专业类
[00:02:42 - 00:02:44] 那我计算积科学与技术分不够
[00:02:44 - 00:02:46] 我就报智能科学与技术
[00:02:46 - 00:02:46] 听懂了吗
[00:02:46 - 00:02:48] 智能科学与技术的分
[00:02:48 - 00:02:49] 在同一个学校
[00:02:49 - 00:02:50] 很可能比计算机可续续计数
[00:02:50 - 00:02:52] 大概低个3到5分
[00:02:52 - 00:02:52] 5到8分
[00:02:52 - 00:02:53] 这都有可能
[00:02:53 - 00:02:54] 这样的话
[00:02:54 - 00:02:55] 你就可以用比较低的分
[00:02:55 - 00:02:56] 上
[00:02:56 - 00:02:59] 你想上到这个学校的计算机类里边的
