BV号：BV1mf4y1h7hR
标题：BV1mf4y1h7hR
链接：https://www.bilibili.com/video/BV1mf4y1h7hR
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-04-03 23:44:07

[00:00:02 - 00:00:04] 比如说大家特别喜欢报名专业
[00:00:04 - 00:00:06] 很多家人都很喜欢报名专业
[00:00:06 - 00:00:08] 这个专业有小运动专业
[00:00:09 - 00:00:10] 外国专业
[00:00:10 - 00:00:12] 动不动加上说张老师不喜欢还能够运动专业
[00:00:12 - 00:00:14] 说张老师不喜欢还能够运动专业
[00:00:14 - 00:00:16] 实际上小运动专业还有一个更加的戏本
[00:00:16 - 00:00:18] 叫小运动专业
[00:00:18 - 00:00:20] 比如说大家看到的那一种演络
[00:00:20 - 00:00:22] 叫阿玛哈拉女来各位家人我问一下
[00:00:22 - 00:00:24] 每个国家说一点说阿玛哈拉女
[00:00:24 - 00:00:26] 知道吗?知道这个说法
[00:00:26 - 00:00:27] 知道吗?
[00:00:27 - 00:00:28] 因为他们一路都不知道
[00:00:28 - 00:00:30] 对不对?我给你说我也不知道
[00:00:30 - 00:00:33] 但这些主要主义学员干啥呢
[00:00:33 - 00:00:34] 干啥
[00:00:34 - 00:00:36] 主要主义学员
[00:00:36 - 00:00:38] 我告诉你这种小主义义乖
[00:00:38 - 00:00:39] 到时候他妈妈说
[00:00:39 - 00:00:40] 有点心情就好玩对不对
[00:00:40 - 00:00:41] 老师我学这个
[00:00:41 - 00:00:42] 我跟你说
[00:00:42 - 00:00:43] 你想报国不一定有报
[00:00:43 - 00:00:44] 为什么
[00:00:44 - 00:00:45] 这种乖乖主义乖
[00:00:45 - 00:00:46] 就说那时候给我北外
[00:00:46 - 00:00:48] 主义义乖就给北外
[00:00:48 - 00:00:50] 北外三年找两儿
[00:00:50 - 00:00:51] 三年找两儿
[00:00:51 - 00:00:52] 干啥
[00:00:52 - 00:00:55] 主要主义学员的乖
[00:00:55 - 00:00:56] 他跟这说这个语言的国家
[00:00:56 - 00:00:58] 交易贸易额很少
[00:00:58 - 00:00:59] 明白吗
[00:00:59 - 00:01:00] 不像
[00:01:00 - 00:01:02] 东西啊 主要怎么样 帮外交官
[00:01:02 - 00:01:05] 你会发现北京外国人大学对自己的定位是什么
[00:01:05 - 00:01:06] 就中国外交家的有来
[00:01:06 - 00:01:08] 不是中国翻译人才的有来
[00:01:08 - 00:01:09] 明白吗
[00:01:09 - 00:01:10] 是不是那像小语者
[00:01:10 - 00:01:11] 小语者这种专业
[00:01:11 - 00:01:12] 我说实话各位
[00:01:12 - 00:01:12] 我一般情况下
[00:01:12 - 00:01:14] 我报价就会高感的
[00:01:14 - 00:01:16] 为什么我个人认为
[00:01:16 - 00:01:18] 只是我个人认为啊
[00:01:18 - 00:01:20] 语言它是一个工具
[00:01:20 - 00:01:21] 它不应该是一个工具
