BV号：BV1C64y1D7kR
标题：BV1C64y1D7kR
链接：https://www.bilibili.com/video/BV1C64y1D7kR
识别语言：zh
语言置信度：1
分段数：165
生成时间：2026-04-04 00:44:08

[00:00:00 - 00:00:01] 比聯考成績還要重要的
[00:00:01 - 00:00:04] 就是我們這一次的模擬田報支援
[00:00:04 - 00:00:06] 尤其是像江蘇省啊
[00:00:06 - 00:00:07] 福建省啊
[00:00:07 - 00:00:10] 湖南湖北廣東這五個省份的同學和家長
[00:00:10 - 00:00:12] 那麼你就一定要充分理解一下
[00:00:12 - 00:00:15] 這個物理和歷史分裂計劃
[00:00:15 - 00:00:20] 它到底是什麼含義
[00:00:20 - 00:00:22] 目前新高考八省聯考的成績
[00:00:22 - 00:00:23] 大多數都已經出來了
[00:00:23 - 00:00:26] 那麼有好多同學特別著急的就在那邊說
[00:00:26 - 00:00:27] 哎呀完了完了
[00:00:27 - 00:00:29] 張老師你看我這個聯考啊
[00:00:29 - 00:00:30] 就考了這麼點分
[00:00:30 - 00:00:32] 我這個高考可怎麼辦呢
[00:00:32 - 00:00:34] 這我要不要去復讀啊
[00:00:34 - 00:00:36] 我跟妳說話不要說得太早
[00:00:36 - 00:00:37] 聯考和模擬券的目的
[00:00:37 - 00:00:39] 是讓妳能夠查取補露
[00:00:39 - 00:00:40] 對妳剝露的知識點
[00:00:40 - 00:00:43] 能進行規整再學習
[00:00:43 - 00:00:44] 它不是一個定性的
[00:00:44 - 00:00:46] 它不是說妳這輩子就這樣了
[00:00:46 - 00:00:47] 妳高考的時候妳也就這樣了
[00:00:47 - 00:00:48] 不是這樣的
[00:00:48 - 00:00:51] 那大家千萬不要覺得什麼聯考
[00:00:51 - 00:00:52] 我當時我考什麼檔次
[00:00:52 - 00:00:54] 然後我高考我就是一個什麼檔次
[00:00:54 - 00:00:55] 我跟妳說還早著呢
[00:00:55 - 00:00:57] 妳不當的最後一刻呀
[00:00:57 - 00:00:58] 誰也沒有資格
[00:00:58 - 00:00:59] 他說妳不行
[00:00:59 - 00:01:00] 你拿我来举例子
[00:01:00 - 00:01:02] 你当年我高考还有生100天的时候
[00:01:02 - 00:01:04] 我那时候全校2倍多名
[00:01:04 - 00:01:07] 我最后那次月考我全校3倍多名
[00:01:07 - 00:01:07] 更差
[00:01:07 - 00:01:10] 这成绩当时也就能将将上个本科
[00:01:11 - 00:01:13] 高考前一个月30天左右
[00:01:13 - 00:01:14] 最后这么一考我就废了
[00:01:14 - 00:01:14] 你知道吧
[00:01:14 - 00:01:16] 就是考了3倍多我已经不行了
[00:01:16 - 00:01:19] 我老师包括说当时我家里边人的
[00:01:19 - 00:01:19] 对吧
[00:01:19 - 00:01:21] 就是说张雪峰肯定没就
[00:01:21 - 00:01:21] 对吧
[00:01:21 - 00:01:22] 这孩子可惜了
[00:01:22 - 00:01:22] 对吧
[00:01:22 - 00:01:24] 你说你当年中考的时候成绩挺好的
[00:01:24 - 00:01:25] 对吧
[00:01:25 - 00:01:26] 然后你到现代就成这样了
[00:01:26 - 00:01:28] 但是我呢
[00:01:28 - 00:01:29] 没有放弃我自己
[00:01:29 - 00:01:32] 当时我怎么说呢就是
[00:01:32 - 00:01:33] 修使心吧
[00:01:33 - 00:01:34] 挽救了我
[00:01:34 - 00:01:35] 我就觉得当年我中课考那么好对吧
[00:01:35 - 00:01:36] 结果高考考成这样
[00:01:36 - 00:01:39] 那以后我不得定在我们学校那个吃卤柱上啊
[00:01:39 - 00:01:40] 对吧
[00:01:40 - 00:01:42] 我就相信只要我肯下功夫
[00:01:42 - 00:01:43] 我就一定会有突破
[00:01:43 - 00:01:44] 果不切然
[00:01:44 - 00:01:46] 我最后那一个月就疯狂的学
[00:01:46 - 00:01:47] 疯狂的学
[00:01:47 - 00:01:48] 疯狂的学
[00:01:48 - 00:01:50] 最后高考考到了我们全校
[00:01:50 - 00:01:51] 60多名
[00:01:51 - 00:01:53] 也超过了一本线
[00:01:53 - 00:01:54] 在那一刻我就知道
[00:01:54 - 00:01:55] 我这一个月的努力
[00:01:55 - 00:01:56] 我没有百费
[00:01:56 - 00:02:00] 所以說同學們 你只要你自己不放心你自己
[00:02:00 - 00:02:03] 全世界的人 他都不能說你不行
[00:02:03 - 00:02:05] 加油 你們是最棒的
[00:02:05 - 00:02:07] 當然除了這個 比聯考成績還要重要的
[00:02:07 - 00:02:10] 就是我們這一次的模擬田報志願
[00:02:10 - 00:02:13] 大家一定要去熟悉一下志願田報的規則
[00:02:13 - 00:02:17] 尤其是像江蘇省 福建省 湖南湖北廣東
[00:02:17 - 00:02:19] 這五個省份的同學和家長
[00:02:19 - 00:02:24] 你們的省份是院校家專業組的模式來報考的
[00:02:24 - 00:02:26] 那么你就一定要充分理解一下
[00:02:26 - 00:02:29] 物理和历史分裂计划
[00:02:29 - 00:02:30] 它到底是什么含义
[00:02:30 - 00:02:33] 你所谓的物理和历史分裂计划
[00:02:33 - 00:02:34] 它指的就是在高校
[00:02:34 - 00:02:36] 在安排招生计划的时候
[00:02:36 - 00:02:38] 它会将物理和历史两个类别
[00:02:38 - 00:02:40] 来进行分别编辑化
[00:02:40 - 00:02:42] 就有点像咱们文理分科一样
[00:02:42 - 00:02:42] 知道吧
[00:02:42 - 00:02:44] 就当年有的专业是文理建招
[00:02:44 - 00:02:45] 右招 理科 右招 文科
[00:02:45 - 00:02:46] 它是分裂计划
[00:02:46 - 00:02:47] 那么在录取的时候
[00:02:47 - 00:02:50] 要把选物理的考生和选历史的考生
[00:02:50 - 00:02:53] 按照两个类别分成本科 专科
[00:02:53 - 00:02:54] 来分裂计划招生
[00:02:54 - 00:02:55] 来分别划线
[00:02:55 - 00:02:58] 来分别进行投档的录取
[00:02:58 - 00:02:58] 为什么呢
[00:02:58 - 00:03:00] 因为物理和历史的考试题
[00:03:00 - 00:03:01] 那难度不一样
[00:03:01 - 00:03:02] 你混带一起招生的话
[00:03:02 - 00:03:02] 怎么样
[00:03:02 - 00:03:04] 会出现不公平
[00:03:04 - 00:03:05] 那你选物理的就跟选物理的比
[00:03:05 - 00:03:07] 选历史的就跟选历史的比
[00:03:07 - 00:03:08] 这个大家能理解吧
[00:03:08 - 00:03:09] 就相对会共公平一些
[00:03:09 - 00:03:11] 那么物理历史分裂计划
[00:03:11 - 00:03:13] 那这就意味着
[00:03:13 - 00:03:15] 如果你说选科目是物理的话
[00:03:15 - 00:03:16] 那么你报考的时候
[00:03:16 - 00:03:18] 就有可能会出现
[00:03:18 - 00:03:21] 原文理兼招的社会人的学科专业
[00:03:21 - 00:03:24] 这个专业跟功课类别的专业
[00:03:24 - 00:03:25] 会形成一个院校专业组
[00:03:26 - 00:03:27] 比如像计算机和中文
[00:03:27 - 00:03:29] 它很可能就成为一个院校专业组
[00:03:29 - 00:03:32] 如果报考这些学校和专业组的话
[00:03:32 - 00:03:34] 那么你叫苏豪杖的心理准备
[00:03:34 - 00:03:36] 你有可能被调寄到一个
[00:03:36 - 00:03:40] 原文理兼招的社会人文学科专业的
[00:03:40 - 00:03:41] 这种心理准备
[00:03:41 - 00:03:43] 比如说你报计算机
[00:03:43 - 00:03:43] 对吧
[00:03:43 - 00:03:45] 然后的话你被调寄到了学习中文
[00:03:45 - 00:03:47] 被调寄到了学习社会工作
[00:03:47 - 00:03:48] 对吧
[00:03:48 - 00:03:50] 大家要做好这种心理准备
[00:03:50 - 00:03:53] 通俗一点讲的就是有一些学校的某些专业首选科目
[00:03:53 - 00:03:55] 是要求物理历史均科
[00:03:55 - 00:03:56] 二选科目不做要求
[00:03:56 - 00:03:58] 你像这一种的话
[00:03:58 - 00:04:00] 很有可能像中文那计算机
[00:04:00 - 00:04:02] 他这种就有可能会成为一个专业组
[00:04:02 - 00:04:03] 那么大家在选的时候
[00:04:03 - 00:04:05] 一定要去注意一下哪些学校
[00:04:05 - 00:04:07] 纯属和人类学科和计算机
[00:04:07 - 00:04:09] 土木这种理工科专业是一个专业组
[00:04:09 - 00:04:13] 那哪些学校你即使是专业组里边
[00:04:13 - 00:04:15] 你条计的专业也是工科的营业能接受的
[00:04:15 - 00:04:17] 那么同理的你像金融和计算机
[00:04:17 - 00:04:18] 也可能会因为什么
[00:04:18 - 00:04:20] 首选科目是历史和物理均科
[00:04:20 - 00:04:23] 然后第二科目是不做要求而成为一个专业组
[00:04:23 - 00:04:25] 但是有的学校呢
[00:04:25 - 00:04:27] 它不会出现历史的选科
[00:04:27 - 00:04:29] 比如说像有的学校的基金融专业
[00:04:29 - 00:04:30] 它是什么
[00:04:30 - 00:04:31] 只要求必选物理
[00:04:31 - 00:04:33] 没有要求必选历史
[00:04:33 - 00:04:33] 知道吧
[00:04:33 - 00:04:35] 或者说不是物理和历史的均科
[00:04:35 - 00:04:37] 因为大家一掉了解每个学校的不同的要求
[00:04:37 - 00:04:40] 那么大家一定要去看一下
[00:04:40 - 00:04:42] 每个学校每个专业的这种选科要求
[00:04:42 - 00:04:43] 这个太重要了
[00:04:43 - 00:04:45] 看一下在某一个学校里边
[00:04:46 - 00:04:47] 哪几个专业
[00:04:47 - 00:04:49] 会成为一个专业组
[00:04:49 - 00:04:50] 那你要为你将来的报考
[00:04:50 - 00:04:51] 呢
[00:04:51 - 00:04:52] 提前做好准备
