BV号：BV1UL41177N2
标题：BV1UL41177N2
链接：https://www.bilibili.com/video/BV1UL41177N2
识别语言：zh
语言置信度：1
分段数：30
生成时间：2026-04-03 21:12:07

[00:00:00 - 00:00:02] 如果说你们学不进去了的话
[00:00:02 - 00:00:04] 你可以在这个社会上找到
[00:00:04 - 00:00:05] 这个社会的四个群体
[00:00:05 - 00:00:07] 第一个地方就是苏州北的一个
[00:00:07 - 00:00:08] 公共集合站
[00:00:08 - 00:00:09] 每个地方的大巴车站
[00:00:09 - 00:00:09] 知道吧
[00:00:09 - 00:00:10] 然后第二个地方
[00:00:10 - 00:00:11] 你可以去一下苏州火车站
[00:00:11 - 00:00:12] 第三个地方的话
[00:00:12 - 00:00:14] 你可以去一下苏州北站
[00:00:14 - 00:00:15] 高铁站
[00:00:15 - 00:00:17] 第四个地方的离这也不是很远
[00:00:17 - 00:00:18] 你可以去一下红球机场
[00:00:18 - 00:00:20] 你会发现这四个地方
[00:00:20 - 00:00:22] 人穿的衣服是不一样的
[00:00:22 - 00:00:23] 盐摊橘子也是不一样的
[00:00:23 - 00:00:25] 这个气质也是不一样的
[00:00:25 - 00:00:26] 然后的话
[00:00:26 - 00:00:26] 当你学不进去的时候
[00:00:26 - 00:00:27] 你就到这四个地方
[00:00:27 - 00:00:29] 尤其是那个大巴车
[00:00:29 - 00:00:32] 然后的话你从苏州坐达巴到一个下边的小县城
[00:00:32 - 00:00:35] 然后的话你感受一下你平时坐达巴车出行
[00:00:35 - 00:00:37] 那个抽球阿拉伯大概是一个什么样的情况
[00:00:37 - 00:00:40] 那么你想成为这几类人的哪一类人
[00:00:40 - 00:00:41] 你就好好想一想
[00:00:41 - 00:00:45] 然后你再考虑考虑今天你到底要不要把学习这个事给坚持下去
[00:00:45 - 00:00:49] 因为你从那种所谓的低层到一步一步高层
[00:00:49 - 00:00:52] 你都体验过以后你才知道你自己想要的阶层是哪一层
