BV号：BV1e54y1o7Z9
标题：BV1e54y1o7Z9
链接：https://www.bilibili.com/video/BV1e54y1o7Z9
识别语言：zh
语言置信度：1
分段数：60
生成时间：2026-04-03 19:18:52

[00:00:00 - 00:00:03] 我们的报志院的时候经常有这样的一种说法叫做
[00:00:03 - 00:00:05] 土建土建土建不分家
[00:00:05 - 00:00:09] 那土建真的就是完全一样的吗
[00:00:09 - 00:00:11] 他们两个是相关专业吗
[00:00:11 - 00:00:14] 大家对这种专业感兴趣的话一定要拿小本本记下来
[00:00:14 - 00:00:17] 韩斗斗又问我说赵老师建筑学后土门工程是不是一个专业
[00:00:17 - 00:00:20] 大家注意建筑学后土门工程
[00:00:20 - 00:00:22] 它是完全不同的专业
[00:00:22 - 00:00:24] 它在上大学主要学的专业和都不一样
[00:00:24 - 00:00:26] 有人说老师它咋就不一样了
[00:00:26 - 00:00:28] 不都跟该房间有关系吗
[00:00:28 - 00:00:29] 这个大家你要了解
[00:00:29 - 00:00:32] 如果说你要是属于建筑学
[00:00:32 - 00:00:34] 它上大学是没有物理
[00:00:34 - 00:00:36] 没有化学
[00:00:36 - 00:00:37] 没有塑学
[00:00:37 - 00:00:39] 没有生物的一个学科
[00:00:39 - 00:00:41] 建筑学它是一门横跨工程技术
[00:00:41 - 00:00:42] 和人为艺术的学科
[00:00:42 - 00:00:43] 像建筑学
[00:00:43 - 00:00:44] 城市规划
[00:00:44 - 00:00:45] 风景圆林
[00:00:45 - 00:00:47] 这都属于建筑学大类
[00:00:47 - 00:00:49] 而属于建筑学的这么一个大学科之下
[00:00:49 - 00:00:52] 要说建筑学是工学和艺术的结合
[00:00:52 - 00:00:53] 那也是不为过的
[00:00:53 - 00:00:55] 而土木工程这个团业
[00:00:55 - 00:00:57] 跟我们的生活可能就更贴近
[00:00:57 - 00:00:58] 这个专业
[00:00:58 - 00:01:02] 大家一到知道,我们要掌握各种土木工程学科的基本理论和基本知识
[00:01:02 - 00:01:09] 在房屋的建筑,地下的建筑,道路,隧道,桥梁,水田站,港口,
[00:01:09 - 00:01:14] 近海工程结构等土木工程的理由当中从事规划设计,
[00:01:14 - 00:01:16] 施工管理和研究界方面的工作
[00:01:16 - 00:01:18] 你像我本科学的专业叫几排水,对吧?
[00:01:18 - 00:01:20] 还有包括像建筑间续与技能化
[00:01:20 - 00:01:23] 这都是属于这个土木大类里边的专业
[00:01:23 - 00:01:26] 包括研究程阶段的,它施工工程、短工工程
[00:01:26 - 00:01:29] 都是属于土木工程下边的研究生的二级学科
[00:01:29 - 00:01:31] 如果说你要非说这两个说明的差别就是
[00:01:31 - 00:01:33] 建筑学它是只管设计
[00:01:33 - 00:01:34] 不管盖
[00:01:34 - 00:01:37] 而土木的话它是只管盖的
[00:01:37 - 00:01:37] 对吧
[00:01:37 - 00:01:38] 你如何施工
[00:01:38 - 00:01:40] 哪种结构会更好一些
[00:01:40 - 00:01:42] 那如何把图纸上的这个东西
[00:01:42 - 00:01:43] 变成一个现实的东西
[00:01:43 - 00:01:45] 这个就是土木
[00:01:45 - 00:01:46] 还有注意一点的就是
[00:01:46 - 00:01:47] 土木这个专业
[00:01:47 - 00:01:48] 一般是四年制的本科
[00:01:48 - 00:01:50] 但建筑学大多数都愿效
[00:01:50 - 00:01:53] 得上五年也有四年制的学校
[00:01:53 - 00:01:55] 这个大家一定要提前了解一下
[00:01:55 - 00:01:58] 当然作为相关专业的院校选择上还是比较共兴的
[00:01:58 - 00:02:01] 除了我们知道的像什么图件的老八笑以外
[00:02:01 - 00:02:03] 像正经大学、胡能大学、神扬建筑大学
[00:02:03 - 00:02:06] 在建筑学和土木这种专业上都是非常不错的
[00:02:06 - 00:02:10] 那大家知不知道有哪八个学座被称为土木建筑的老八笑呢
[00:02:10 - 00:02:13] 欢迎在评论当中来写出他们的名字
