BV号：BV1Yd4y147XX
标题：BV1Yd4y147XX
链接：https://www.bilibili.com/video/BV1Yd4y147XX
识别语言：zh
语言置信度：1
分段数：40
生成时间：2026-04-03 16:53:15

[00:00:00 - 00:00:02] 大家一定要让孩子对未来充满心情
[00:00:02 - 00:00:03] 充满期待
[00:00:03 - 00:00:05] 我就不知道大家有没有这种感受
[00:00:05 - 00:00:06] 就是现在的大学生也好
[00:00:06 - 00:00:07] 高中生也好
[00:00:07 - 00:00:08] 很多人都怎么样
[00:00:08 - 00:00:09] 两个字
[00:00:09 - 00:00:09] 迷茫
[00:00:09 - 00:00:10] 有这种感受吗
[00:00:10 - 00:00:13] 就经常有人去所谓的迷茫
[00:00:13 - 00:00:15] 有些朋友他迷茫
[00:00:15 - 00:00:17] 他都把时间浪费在了迷茫上
[00:00:17 - 00:00:21] 他没有把时间去放在所谓的提升自己
[00:00:21 - 00:00:23] 所以说经常我接受一些记者的采访
[00:00:23 - 00:00:24] 他们就问我
[00:00:24 - 00:00:24] 说张老师
[00:00:24 - 00:00:26] 你在年轻的时候有没有迷茫过
[00:00:26 - 00:00:27] 我跟大家说实话
[00:00:27 - 00:00:29] 我我没怎么迷茫过
[00:00:29 - 00:00:30] 我自己没怎么迷茫过
[00:00:30 - 00:00:32] 因为我是那种所谓的
[00:00:32 - 00:00:33] 干一行爱一行的人
[00:00:33 - 00:00:34] 迷茫什么呢
[00:00:34 - 00:00:35] 你有工作
[00:00:35 - 00:00:37] 干就完了呀
[00:00:37 - 00:00:38] 你为什么要所谓的去迷茫呢
[00:00:38 - 00:00:39] 你干嘛
[00:00:39 - 00:00:40] 你努力呀
[00:00:40 - 00:00:42] 去提升自己呀
[00:00:42 - 00:00:43] 去让自己的思维高度
[00:00:43 - 00:00:46] 去让自己的认知变得跟别人不一样啊
[00:00:46 - 00:00:49] 所以说你会发现那帮买的起房的人
[00:00:49 - 00:00:51] 他基本上不太会抱怨房价高
[00:00:51 - 00:00:53] 他把时间都花在了
[00:00:53 - 00:00:55] 怎么去挣钱去买这个房子上
[00:00:55 - 00:00:56] 那些所谓不迷茫的人
[00:00:56 - 00:00:58] 他不是说所谓的不迷茫
[00:00:58 - 00:01:02] 而是说他把时间都用在了提升自己身上
[00:01:02 - 00:01:04] 而不是把时间用在迷茫上
[00:01:04 - 00:01:05] 知道吗
