BV号：BV1i54y1V7Q6
标题：BV1i54y1V7Q6
链接：https://www.bilibili.com/video/BV1i54y1V7Q6
识别语言：zh
语言置信度：1
分段数：60
生成时间：2026-04-03 23:53:30

[00:00:00 - 00:00:05] 你知道你在报计院的时候其实是一个怎么选的问题
[00:00:05 - 00:00:09] 因为你会发现你孩子的这个分能上的学校能上的教育很多
[00:00:09 - 00:00:11] 因为你会发现报计院的时候考到好的不着急
[00:00:11 - 00:00:13] 考到不好的也不着急
[00:00:13 - 00:00:14] 真的
[00:00:14 - 00:00:15] 考到好的不着急为什么
[00:00:15 - 00:00:17] 那么从来情况就是优大
[00:00:17 - 00:00:18] 对吧
[00:00:18 - 00:00:19] 从来情况就是优大
[00:00:19 - 00:00:20] 考到不好的也不着急
[00:00:20 - 00:00:21] 对吧
[00:00:21 - 00:00:22] 因为你会发现
[00:00:22 - 00:00:24] 如果说你的分领本科先都没过的话
[00:00:24 - 00:00:26] 你能收到好多通知书
[00:00:26 - 00:00:29] 因为一大堆的民本的大传希望你的孩子去上
[00:00:29 - 00:00:33] 最难受的是什么?最难受的可能是再多多多倍加上
[00:00:33 - 00:00:35] 还在这分吧,上不上下不下
[00:00:35 - 00:00:38] 你说的好吗?没那么好
[00:00:38 - 00:00:40] 你说的不好吗?开心
[00:00:41 - 00:00:43] 这个是最难的
[00:00:43 - 00:00:46] 而且有些时候你会发现,在新高考报数院的时候
[00:00:46 - 00:00:49] 你说孩子那个分数,你说你在看是孩子模仿的成绩
[00:00:49 - 00:00:51] 你说他考6122
[00:00:51 - 00:00:53] 但是我才发现,在孩子高考的时候
[00:00:53 - 00:00:55] 他那个成绩完全不一样
[00:00:55 - 00:00:58] 为什么呢?因为山东省大家都知道我们是负分
[00:00:58 - 00:01:00] 如果说你没有跟全省
[00:01:00 - 00:01:02] 所有的考成在某一颗上
[00:01:02 - 00:01:04] 好像比较过的话
[00:01:04 - 00:01:07] 你现在这个分数只是你自己在贪魔考的分数
[00:01:07 - 00:01:10] 因为你不知道你跟曲谱那边的人比怎么样
[00:01:10 - 00:01:12] 你不知道你跟轻刀那边的人比怎么样
[00:01:12 - 00:01:15] 你不知道你跟鸟神、鸟神那边的人比怎么样
[00:01:15 - 00:01:16] 大家能不理解吗
[00:01:16 - 00:01:19] 因为你是分质
[00:01:19 - 00:01:21] 分质也引起了很多的争议
[00:01:21 - 00:01:23] 我不知道该怎么能理解为什么要分质
[00:01:23 - 00:01:26] 很多家人就说他们说我觉得分质不公平
[00:01:26 - 00:01:29] 這個說服務人員不公平的山東的家長不多
[00:01:29 - 00:01:31] 總共是特定的家長
[00:01:31 - 00:01:34] 因為這時候曾經出過去年出過一個怪事
[00:01:34 - 00:01:38] 一個孩子的物理倦面說炒了八本服務服了六七
[00:01:38 - 00:01:43] 倦面說八本服務服了六七
[00:01:43 - 00:01:46] 憑什麼呀
[00:01:46 - 00:01:48] 八本服務服六七啊
[00:01:48 - 00:01:50] 因為這時候去年選物理的人太好
[00:01:50 - 00:01:53] 山東去年選物理的人不到百分之四十
[00:01:53 - 00:01:56] 結果你會發現去年選物理的就可能在那兒便宜
[00:01:56 - 00:01:58] 結果加上怎麼樣
[00:01:58 - 00:02:00] 就像发现去年选物理在陪的
[00:02:00 - 00:02:02] 今年全选物理
[00:02:02 - 00:02:04] 其实这有一定是个好事
[00:02:04 - 00:02:06] 这有一定是个好事
[00:02:06 - 00:02:07] 因为他这种方法
[00:02:07 - 00:02:08] 其实你选不选物理也好
[00:02:08 - 00:02:09] 还是怎么报社员也好
[00:02:09 - 00:02:11] 真的就是一个选择的问题啊
[00:02:11 - 00:02:12] 我们说真的
[00:02:12 - 00:02:13] 高考保随
[00:02:13 - 00:02:15] 同分不同命
