BV号：BV16T4y1E76t
标题：BV16T4y1E76t
链接：https://www.bilibili.com/video/BV16T4y1E76t
识别语言：zh
语言置信度：1
分段数：55
生成时间：2026-04-04 02:10:52

[00:00:00 - 00:00:02] 大家好 我上學習變得更快樂的張學鋒老師
[00:00:02 - 00:00:04] 最近大家可能會從我參加的一些節目上
[00:00:04 - 00:00:06] 包括我最近微博上的畫風上
[00:00:06 - 00:00:10] 能隱約感覺到似乎在我身上要有大事發生
[00:00:10 - 00:00:15] 沒錯 就是我今天要正式宣布要進入代貨主播界了
[00:00:15 - 00:00:17] 就是我要去做代貨主播
[00:00:17 - 00:00:20] 有的人就說張老師你為什麼老師當的好好的要去當代貨主播呢
[00:00:20 - 00:00:23] 給大家講一下我的心路歷程
[00:00:23 - 00:00:27] 我是在去年的時候接觸到代貨主播這個名詞的
[00:00:27 - 00:00:30] 我就看到网上有很多文章就写他们有多么的厉害
[00:00:30 - 00:00:32] 然后的话带着多少多少多少货
[00:00:32 - 00:00:34] 我当时看到这些文章的时候我就感觉啊
[00:00:34 - 00:00:35] 骗子
[00:00:35 - 00:00:36] 又想骗我买东西
[00:00:36 - 00:00:38] 我才不像当呢
[00:00:38 - 00:00:41] 包括我自己内心对于这个职业是拒绝的
[00:00:41 - 00:00:43] 像今年有一个节目叫报款来了
[00:00:43 - 00:00:46] 在刚开始找我的时候我是拒绝的
[00:00:46 - 00:00:47] 我说我是一个老师
[00:00:47 - 00:00:48] 我干嘛要去带货呢
[00:00:48 - 00:00:50] 这样的话在学生心中的形象不就塌了吗
[00:00:50 - 00:00:50] 对不对
[00:00:50 - 00:00:53] 但是直到一个事情的发生对我产生了影响
[00:00:53 - 00:00:57] 就是罗永浩老师罗老师他去做带货主播了
[00:00:57 - 00:01:00] 你要知道羅老師在我們這一代人心中的地位呢
[00:01:00 - 00:01:03] 就跟我在你們心中那一項是一樣的
[00:01:03 - 00:01:06] 就是羅老師的段子是伴隨著我整個大學生涯的
[00:01:06 - 00:01:09] 所以說我就覺得他居然也輸出在後主播了
[00:01:09 - 00:01:11] 這個事我就特別的關注
[00:01:11 - 00:01:14] 然後羅老師在直播那一天我也去看了
[00:01:14 - 00:01:15] 看完以後的話兩點感受
[00:01:15 - 00:01:18] 第一點感受就是東西真的太便宜了
[00:01:18 - 00:01:19] 我覺得我不買啊
[00:01:19 - 00:01:21] 我都對不起那個價格
[00:01:21 - 00:01:23] 我就想知道他為什麼這麼便宜
[00:01:23 - 00:01:24] 最要命的是什麼呢
[00:01:24 - 00:01:26] 你發現真買不到
[00:01:26 - 00:01:29] 你会发现有些大主播那个真是抢不到
[00:01:29 - 00:01:31] 我就想知道他价格为什么那么便宜
[00:01:31 - 00:01:33] 我就对这个行业产生了兴趣
[00:01:33 - 00:01:34] 然后第二呢
[00:01:34 - 00:01:35] 产生兴趣以后的话
[00:01:35 - 00:01:38] 我就看到这些带货主播都是什么样
[00:01:38 - 00:01:38] 我看完以后呢
[00:01:38 - 00:01:42] 我发现现在市面上所有的带货主播就是
[00:01:42 - 00:01:46] 没有我想象当中那种满分的带货主播
[00:01:46 - 00:01:49] 然后我就想就是这个事我能不能试一试
[00:01:49 - 00:01:50] 他们都说
[00:01:50 - 00:01:51] 哎 张老师你没问题的
[00:01:51 - 00:01:54] 说归说到底能不能行
[00:01:54 - 00:01:56] 失落的是嘛 拉出来溜溜
[00:01:56 - 00:01:59] 所以说今天 我决定要进入待货主播这个行业
[00:01:59 - 00:02:01] 有点会老是你就是为了钱
[00:02:01 - 00:02:02] 啊 真不是啊
[00:02:02 - 00:02:04] 我们下一个视频再告诉你我到底为了什么
