BV号：BV1zNQPY2E1x
标题：BV1zNQPY2E1x
链接：https://www.bilibili.com/video/BV1zNQPY2E1x
识别语言：zh
语言置信度：1
分段数：89
生成时间：2026-04-03 05:39:18

[00:00:00 - 00:00:01] 女生工程是什麼來
[00:00:01 - 00:00:03] 剛才那個家長問張老師水生工程是什麼
[00:00:03 - 00:00:04] 水生工程屬於什麼
[00:00:04 - 00:00:05] 看到了嗎
[00:00:05 - 00:00:06] 電子信息大內
[00:00:06 - 00:00:08] 而且家長你問這個專業啊
[00:00:08 - 00:00:09] 大家你看到這個專業大內裡邊
[00:00:09 - 00:00:10] 後面有一個字母T
[00:00:10 - 00:00:11] 你已經看到了吧
[00:00:11 - 00:00:12] 有的專業有這個字母T
[00:00:12 - 00:00:14] 你看這個專業是不是有六位代碼啊
[00:00:14 - 00:00:15] 有的是六位代碼
[00:00:15 - 00:00:17] 有的是後面加了一個字母T
[00:00:17 - 00:00:18] 有的後面加TK
[00:00:18 - 00:00:19] 很多家長就問張老師
[00:00:19 - 00:00:21] 加T和加TK是什麼意思
[00:00:21 - 00:00:22] 加T和加TK
[00:00:22 - 00:00:24] 這個叫做特殊專業
[00:00:24 - 00:00:25] 叫做特殊專業
[00:00:25 - 00:00:28] 就是全國開設這個專業的學校並不多
[00:00:28 - 00:00:29] 是極為特殊的
[00:00:29 - 00:00:33] 是在原来中国本科专业目录定下来完以后
[00:00:33 - 00:00:37] 在这个专业类当中新丰社的一个本科专业
[00:00:37 - 00:00:39] 这个它后面就会加T
[00:00:39 - 00:00:40] 加TK
[00:00:40 - 00:00:42] 那老师加TK加TK代表着什么呢
[00:00:42 - 00:00:44] 代表着它是一个特殊专业类
[00:00:44 - 00:00:49] 它是在这个专业类当中的一个非常非常细分的气氛方向
[00:00:49 - 00:00:51] 那老师在这个气氛方向的说明什么呢
[00:00:51 - 00:00:54] 有的学校有这个专业是水平真的高
[00:00:54 - 00:00:56] 有的学校有这个专业的话
[00:00:56 - 00:00:58] 其实就是为了玩概念
[00:00:58 - 00:00:59] 那什么老师我怎么分辨出来
[00:00:59 - 00:01:01] 它是水平真的高还是为了玩概念
[00:01:01 - 00:01:04] 来 我教大家一个辩别方法
[00:01:04 - 00:01:07] 如果说这个学校在这个专业的开社上
[00:01:07 - 00:01:09] 它是有博士点的
[00:01:09 - 00:01:11] 那它代表它技术高
[00:01:11 - 00:01:13] 但是如果说它是一个名漫大学
[00:01:13 - 00:01:14] 这玩概念
[00:01:14 - 00:01:15] 大家能明白吗
[00:01:15 - 00:01:17] 我给你举个简单的例子
[00:01:17 - 00:01:18] 比如说各位家长
[00:01:18 - 00:01:20] 你看计算机大列里面有一个专业
[00:01:20 - 00:01:21] 叫什么
[00:01:21 - 00:01:22] 叫做区块链工程
[00:01:22 - 00:01:23] 看到了吗
[00:01:23 - 00:01:24] 这是有个专业叫区块链工程
[00:01:24 - 00:01:25] 可能打算什么诚实
[00:01:25 - 00:01:27] 老师什么叫区块链
[00:01:27 - 00:01:28] 就原来找的比较晚的比他必
[00:01:28 - 00:01:30] 这就叫趋快链知道吧
[00:01:30 - 00:01:30] 趋快链
[00:01:30 - 00:01:33] 趋快链工程属于什么专业计算机大类
[00:01:33 - 00:01:35] 但这个时候有一个学校985
[00:01:35 - 00:01:37] 他说来
[00:01:37 - 00:01:38] 都来看都来看啊
[00:01:38 - 00:01:40] 都不来我治学趋快链工程
[00:01:40 - 00:01:42] 我计算机有博士点
[00:01:42 - 00:01:43] 各位家长
[00:01:43 - 00:01:46] 一个计算机有博士点的学校
[00:01:46 - 00:01:48] 说他能教学生玩趋快链
[00:01:48 - 00:01:49] 信不信
[00:01:49 - 00:01:50] 信呢
[00:01:50 - 00:01:53] 人家是计算机有博士点的学校啊
[00:01:53 - 00:01:55] 叫我的孩子玩趋快链
[00:01:55 - 00:01:56] 我信的人家有博士点
[00:01:56 - 00:01:58] 人家这个专业是这样的
[00:01:58 - 00:02:00] 但是还有一个学校
[00:02:00 - 00:02:03] 他连计算机的数字一点都没有
[00:02:03 - 00:02:05] 他说都来看都来看
[00:02:05 - 00:02:07] 我来教你区合连工程
[00:02:07 - 00:02:08] 你敢信吗
[00:02:08 - 00:02:09] 他连计算机说些点都没有
[00:02:09 - 00:02:11] 他说我教你玩区合连工程
[00:02:11 - 00:02:13] 我教你区合连工程
[00:02:13 - 00:02:14] 你敢信吗
[00:02:14 - 00:02:15] 听懂了吧
[00:02:15 - 00:02:17] 所以说你这个专业
[00:02:17 - 00:02:19] 他代替代替配
[00:02:19 - 00:02:21] 这个学校又不要报
[00:02:21 - 00:02:22] 你就看他
[00:02:22 - 00:02:23] 博鼠的一级学科
[00:02:23 - 00:02:25] 有没有博士点就完了
[00:02:25 - 00:02:26] 他说如果有博士点
[00:02:26 - 00:02:27] 没牛逼
[00:02:27 - 00:02:28] 他如果连算这点都没有
[00:02:28 - 00:02:29] 拉倒吧
[00:02:29 - 00:02:30] 我有你的
