BV号：BV1Vx411t7Ev
标题：BV1Vx411t7Ev
链接：https://www.bilibili.com/video/BV1Vx411t7Ev
识别语言：zh
语言置信度：1
分段数：263
生成时间：2026-04-04 12:29:39

[00:00:04 - 00:00:05] 我问你个问题啊
[00:00:05 - 00:00:06] 刚才你有一句话
[00:00:06 - 00:00:09] 你老说这个考研生很重要
[00:00:09 - 00:00:11] 中国马云马化腾
[00:00:11 - 00:00:13] 美国的乔布斯
[00:00:13 - 00:00:14] 阿克伯格
[00:00:14 - 00:00:15] Spencerx公司
[00:00:15 - 00:00:16] 就是特斯拉公司
[00:00:16 - 00:00:18] 老左马斯科
[00:00:18 - 00:00:19] 他们的学历你知道吗
[00:00:19 - 00:00:21] 举作我来回答您这个问题啊
[00:00:21 - 00:00:23] 马云他当年高考其实考得很差
[00:00:23 - 00:00:24] 据说他数学考的
[00:00:24 - 00:00:25] 可能不是那么特别的高
[00:00:25 - 00:00:26] 然后的话呢
[00:00:26 - 00:00:27] 他上了一个学校
[00:00:27 - 00:00:28] 也非221非985
[00:00:28 - 00:00:29] 但是举作
[00:00:29 - 00:00:30] 我想跟你说的是
[00:00:30 - 00:00:32] 这个事是在20年前
[00:00:32 - 00:00:33] 20年前的话
[00:00:33 - 00:00:36] 大專生也找工作是沒有問題的
[00:00:36 - 00:00:38] 二十年前那個時候大學畢業還能包分配
[00:00:38 - 00:00:40] 但是如果說在今天這個社會
[00:00:40 - 00:00:42] 你再說杭州十分大學
[00:00:42 - 00:00:44] 這個學校也當然非常的好
[00:00:44 - 00:00:45] 但是你不可否認的是
[00:00:45 - 00:00:47] 它跟現在的青華北大差距
[00:00:47 - 00:00:48] 說實話是越拉越大的
[00:00:48 - 00:00:51] 像剛才說到什麼喬布斯什麼的
[00:00:51 - 00:00:53] 他們都是在美國長青藤明校
[00:00:53 - 00:00:54] 來退學畢業的
[00:00:54 - 00:00:56] 首先是你得考進長青藤明校
[00:00:56 - 00:00:58] 它並不是一個學歷為主的
[00:00:58 - 00:00:59] 但是還有一點的是
[00:00:59 - 00:01:02] 他們首先要到明校這個階段
[00:01:02 - 00:01:04] 而在中国现在考个名校说实话
[00:01:04 - 00:01:06] 举动您要知道它有多难
[00:01:06 - 00:01:09] 尤其是像在河北河南山东这样的省份
[00:01:09 - 00:01:10] 他们想考个清华 想考北大
[00:01:10 - 00:01:11] 想考九八五的话
[00:01:11 - 00:01:14] 面临的压力是相当大相当大的
[00:01:14 - 00:01:15] 而且在中国这个环境
[00:01:15 - 00:01:16] 我也急不建议大家
[00:01:16 - 00:01:18] 你本科没有毕业
[00:01:18 - 00:01:19] 就直接退学去创业
[00:01:19 - 00:01:21] 个人非常不建议
[00:01:21 - 00:01:22] 雪峰 我想问一下
[00:01:22 - 00:01:24] 你是真的相信考研能够改变
[00:01:24 - 00:01:25] 很多人的人生
[00:01:25 - 00:01:27] 还是因为你做了考研的这个事之后
[00:01:27 - 00:01:28] 我是真的相信
[00:01:28 - 00:01:29] 不算能说服自己
[00:01:29 - 00:01:30] 我觉得考研真是很重要
[00:01:30 - 00:01:31] 我是真的相信
[00:01:31 - 00:01:32] 我是真的相信
[00:01:32 - 00:01:34] 我是两者不冲突
[00:01:34 - 00:01:34] 我是真的相信
[00:01:34 - 00:01:35] 不冲突吗
[00:01:35 - 00:01:36] 卢月老师
[00:01:36 - 00:01:38] 我给你举一个这样的例子
[00:01:38 - 00:01:40] 就是您做节目也比较多
[00:01:40 - 00:01:40] 你有兴趣的话
[00:01:40 - 00:01:42] 你可以做一样调研
[00:01:42 - 00:01:43] 这种调研是什么调研呢
[00:01:43 - 00:01:45] 在我的老家黑东江七七哈尔
[00:01:45 - 00:01:46] 有这么一个学校叫做
[00:01:46 - 00:01:47] 七七哈尔大学
[00:01:47 - 00:01:48] 如果你有兴趣的话
[00:01:48 - 00:01:50] 你在今年的九十月份
[00:01:50 - 00:01:51] 你到七七哈尔大学处
[00:01:51 - 00:01:52] 看一看
[00:01:52 - 00:01:53] 什么样的企业
[00:01:53 - 00:01:54] 到七七哈尔大学去做品
[00:01:54 - 00:01:56] 你在北京一个学校
[00:01:56 - 00:01:57] 叫北京科技大学
[00:01:57 - 00:01:57] 你再看一看
[00:01:57 - 00:01:58] 什么样的企业
[00:01:58 - 00:01:59] 到北京科技大学做品
[00:01:59 - 00:02:02] 你再看看什麼樣的企業到七花百大照片
[00:02:02 - 00:02:03] 他們去什麼樣的企業
[00:02:03 - 00:02:05] 他們給這個學生多少錢一個月的工資
[00:02:05 - 00:02:06] 您去看一看
[00:02:06 - 00:02:07] 您就知道了
[00:02:08 - 00:02:10] 在中國幾乎所有的烏拜牆企業
[00:02:10 - 00:02:12] 在世界所有的烏拜牆企業
[00:02:12 - 00:02:13] 都告訴你學歷不重要
[00:02:13 - 00:02:15] 但是他們不會去西班牙大學照片
[00:02:16 - 00:02:18] 他們說的都是假話
[00:02:19 - 00:02:20] 學歷很重要
[00:02:20 - 00:02:22] 在國外是有具體的數字
[00:02:22 - 00:02:23] 只要你長青登大學畢業
[00:02:23 - 00:02:25] 你是一些名校的MBA畢業的話
[00:02:25 - 00:02:28] 你進入世界烏拜牆的這個機率非常高
[00:02:28 - 00:02:30] 而且你的进去之后这个起点
[00:02:30 - 00:02:31] 心水就会很高高
[00:02:31 - 00:02:33] 我们不谈抽血压变黑天鹅的故事
[00:02:33 - 00:02:35] 我们只谈那些大多数的天鹅
[00:02:35 - 00:02:37] 他们是怎么出来的
[00:02:37 - 00:02:38] 当你不是天鹅的时候
[00:02:38 - 00:02:40] 我是想办法让你变成一个天鹅
[00:02:40 - 00:02:41] 这就是我做的事情
[00:02:41 - 00:02:43] 反对
[00:02:43 - 00:02:43] 反对
[00:02:43 - 00:02:44] 没问题
[00:02:44 - 00:02:46] 人人都想成为天鹅吗
[00:02:46 - 00:02:47] 是
[00:02:47 - 00:02:48] 但成为天鹅的路
[00:02:48 - 00:02:49] 只有考研一条吗
[00:02:49 - 00:02:50] 或者是
[00:02:50 - 00:02:51] 考研是非常有效的一条吗
[00:02:51 - 00:02:53] 我认为不是的
[00:02:53 - 00:02:53] 当然有很多条
[00:02:53 - 00:02:55] 我给您举个简单的例子
[00:02:55 - 00:02:55] 比如说
[00:02:55 - 00:02:57] 天鹅老师
[00:02:57 - 00:02:58] 他现在就是一个天鹅
[00:02:58 - 00:02:59] 绝对的大天鹅
[00:02:59 - 00:03:00] 你别管傻傻的
[00:03:00 - 00:03:01] 反正天鹅很大
[00:03:01 - 00:03:02] 对吧
[00:03:02 - 00:03:03] 这个
[00:03:03 - 00:03:03] 真的
[00:03:03 - 00:03:05] 他的人生很励志
[00:03:05 - 00:03:05] 对不对
[00:03:05 - 00:03:06] 我也看过
[00:03:06 - 00:03:08] 天鹅老师在演说家的一些演讲
[00:03:08 - 00:03:09] 当年一个卖杂串的
[00:03:09 - 00:03:11] 一个在串里边跳街舞的
[00:03:11 - 00:03:14] 现在成为全国的MV的红人
[00:03:14 - 00:03:15] 没有问题
[00:03:15 - 00:03:15] 但是
[00:03:15 - 00:03:16] 老师
[00:03:16 - 00:03:17] 还是那个东西
[00:03:17 - 00:03:17] 比例的问题
[00:03:17 - 00:03:18] 比例
[00:03:18 - 00:03:19] 还是那个比例的问题
[00:03:19 - 00:03:20] 我给您举个例子
[00:03:20 - 00:03:22] 中国的大学本科
[00:03:22 - 00:03:23] 每年周深人数
[00:03:23 - 00:03:25] 大概在350万左右
[00:03:25 - 00:03:26] 那么九八共大学
[00:03:26 - 00:03:27] 21共同大学
[00:03:27 - 00:03:29] 21共同大学的中国一共是116所
[00:03:29 - 00:03:31] 这116所21共同大学
[00:03:31 - 00:03:33] 他们每年招到本科生的人数
[00:03:33 - 00:03:34] 大概在大几十万
[00:03:34 - 00:03:36] 在七八十万左右
[00:03:36 - 00:03:37] 七八十万的人
[00:03:37 - 00:03:40] 都可以进一个所谓的叫21共同大学
[00:03:40 - 00:03:42] 国家21世纪100所名校
[00:03:42 - 00:03:44] 这样的学校里边去读书
[00:03:44 - 00:03:45] 但是有多少人
[00:03:45 - 00:03:47] 就比如说八十万人
[00:03:47 - 00:03:48] 他可以进21大学
[00:03:48 - 00:03:49] 但是如果在直播界
[00:03:49 - 00:03:50] 第八十万人
[00:03:50 - 00:03:52] 他是什么样子
[00:03:52 - 00:03:53] 那就不好说了
[00:03:53 - 00:03:55] 那真的就不好说了
[00:03:55 - 00:03:55] 你比如说
[00:03:55 - 00:03:57] 天后哥他不可能一直唱一人为酒醉
[00:03:57 - 00:03:58] 对
[00:03:58 - 00:03:59] 你唱一年的话
[00:03:59 - 00:04:00] 你的粉绝对刷刷往下掉
[00:04:00 - 00:04:01] 对
[00:04:01 - 00:04:02] 难道他不学习吗
[00:04:02 - 00:04:04] 他也要学习的
[00:04:04 - 00:04:05] 你看说那个学习跟他那个学习
[00:04:05 - 00:04:07] 他那个也不轻松的
[00:04:07 - 00:04:09] 他不是唯一的道路
[00:04:09 - 00:04:09] 但是我说的是
[00:04:09 - 00:04:11] 他是大多数人的道路
[00:04:11 - 00:04:13] 我没有说你们所有的人都要考验
[00:04:13 - 00:04:15] 如果说你觉得你本科毕业以后
[00:04:15 - 00:04:16] 找不到一个比较好的工作
[00:04:16 - 00:04:17] 考验是一条道路
[00:04:17 - 00:04:19] 当然你可以去考公务员
[00:04:19 - 00:04:20] 你可以去找工作
[00:04:20 - 00:04:21] 你可以去出国留学
[00:04:21 - 00:04:23] 考验只是一个选择
[00:04:23 - 00:04:25] 其实我想给大家传递的精神就是
[00:04:25 - 00:04:27] 当你觉得现在你需要改变的时候
[00:04:27 - 00:04:29] 该改变的时候就一定要去改变
[00:04:31 - 00:04:32] 但我想告诉你
[00:04:32 - 00:04:33] 相对于考研来说
[00:04:33 - 00:04:35] 最重要的对于年轻人的竞生之路
[00:04:35 - 00:04:36] 是工作
[00:04:36 - 00:04:37] 不是出国
[00:04:37 - 00:04:37] 不是考公务员
[00:04:37 - 00:04:38] 不是考研
[00:04:38 - 00:04:39] 是工作
[00:04:39 - 00:04:39] 不是工作
[00:04:39 - 00:04:40] 我给你取个例子
[00:04:40 - 00:04:41] 一个西哈尔大学的毕业生
[00:04:41 - 00:04:43] 他将来做什么工作
[00:04:43 - 00:04:43] 你告诉我
[00:04:43 - 00:04:45] 我告诉你
[00:04:45 - 00:04:47] 我自己公司的员工
[00:04:47 - 00:04:48] 没有一个重点
[00:04:48 - 00:04:50] 所以说你不是世界企业伍败墙
[00:04:58 - 00:04:59] 一个学生本科毕业之后
[00:04:59 - 00:05:01] 最好的竞生之路
[00:05:01 - 00:05:01] 就是在工作中
[00:05:01 - 00:05:02] 不但出了挫折
[00:05:02 - 00:05:04] 找到自己该有的方向
[00:05:04 - 00:05:05] 再决定释出国考公务员
[00:05:05 - 00:05:06] 还是考研
[00:05:06 - 00:05:07] 而不是一头扎到考研大军去
[00:05:07 - 00:05:09] 只有一少部分人
[00:05:09 - 00:05:10] 应该继续攻读
[00:05:10 - 00:05:11] 该研究的学业
[00:05:11 - 00:05:12] 而大多数人
[00:05:12 - 00:05:13] 应该到工作中去锻炼自己
[00:05:13 - 00:05:15] 而不是考研来锻炼自己
[00:05:15 - 00:05:16] 他没机会
[00:05:16 - 00:05:18] 他根本就没机会
[00:05:18 - 00:05:19] 我在七七二二大学上大学
[00:05:19 - 00:05:20] 我根本就没机会
[00:05:20 - 00:05:21] 结束这样的节目
[00:05:21 - 00:05:22] 老乡
[00:05:22 - 00:05:24] 我是七七二二人
