BV号：BV1YJ411C7X7
标题：BV1YJ411C7X7
链接：https://www.bilibili.com/video/BV1YJ411C7X7
识别语言：zh
语言置信度：1
分段数：378
生成时间：2026-04-04 04:49:04

[00:00:02 - 00:00:04] 然后金融国贸财政区一经济产业经济
[00:00:04 - 00:00:06] 老共经济国民经济数量经济同学
[00:00:06 - 00:00:07] 国防经济
[00:00:07 - 00:00:08] 用十个专业
[00:00:08 - 00:00:08] 这一贯口
[00:00:08 - 00:00:09] 专业
[00:00:09 - 00:00:12] 这些学校每年的招生都是有变化的
[00:00:12 - 00:00:16] 每一年都是有变化的
[00:00:16 - 00:00:18] 你明明是为他好
[00:00:18 - 00:00:20] 他把你扔口里了
[00:00:20 - 00:00:21] 事实用了都你说
[00:00:21 - 00:00:23] 他当然又自己说的这么道理
[00:00:23 - 00:00:31] 对吧
[00:00:31 - 00:00:32] 你知道我们这个行业
[00:00:32 - 00:00:33] 还有一个建设学习
[00:00:33 - 00:00:35] 一定是一个最大的难处是什么
[00:00:35 - 00:00:36] 就是最难最难的
[00:00:36 - 00:00:38] 就是有的时候我再给大家去讲
[00:00:38 - 00:00:39] 一些专业的时候
[00:00:39 - 00:00:40] 每个专业我都能讲
[00:00:40 - 00:00:42] 每个专业我几乎都能讲
[00:00:42 - 00:00:42] 是
[00:00:42 - 00:00:44] 比如说经济学他跟学生和专处
[00:00:44 - 00:00:46] 经济学一共是两个一级学科
[00:00:46 - 00:00:47] 叫理论经济学和英文经济学
[00:00:47 - 00:00:48] 英文经济学一共10个二级学科
[00:00:48 - 00:00:50] 包括金融国贸财政区
[00:00:50 - 00:00:51] 一级经济产业经济劳动经济
[00:00:51 - 00:00:52] 国民经济数量经济统计学
[00:00:52 - 00:00:53] 国防经济
[00:00:53 - 00:00:54] 一共10个专业
[00:00:54 - 00:00:55] 这一贯口
[00:00:55 - 00:00:55] 对对对
[00:00:55 - 00:00:56] 这个没办法
[00:00:56 - 00:00:57] 你就得这么搜
[00:00:57 - 00:00:58] 你这么搜以后
[00:00:58 - 00:00:58] 大家就觉得
[00:00:58 - 00:00:59] 哦 准议
[00:00:59 - 00:01:00] 你看人家10个本业
[00:01:00 - 00:01:01] 是吧 如屬加碧
[00:01:01 - 00:01:02] 是
[00:01:02 - 00:01:03] 对吧 然后的话
[00:01:03 - 00:01:04] 再加上经济学还有六个专业硕士
[00:01:04 - 00:01:06] 金融硕士 保险硕士 税务硕士 国义商务硕士
[00:01:06 - 00:01:08] 英勇统计硕士 资产评估硕士
[00:01:08 - 00:01:10] 然后还有半个叫做审计硕士
[00:01:10 - 00:01:11] 审计硕士再把是零二开锁
[00:01:11 - 00:01:14] 但是考试科目是与管理业专业硕士是一样的
[00:01:14 - 00:01:14] 对
[00:01:14 - 00:01:16] 你要聊有些专业
[00:01:16 - 00:01:17] 倒背如流
[00:01:17 - 00:01:17] 对
[00:01:17 - 00:01:18] 你要倒背如流
[00:01:18 - 00:01:18] 然后的话呢
[00:01:18 - 00:01:20] 几乎我可以做到大部分的专业
[00:01:20 - 00:01:21] 中国大部分的任何专业
[00:01:21 - 00:01:23] 我都可以给你做到这样的道别录流
[00:01:23 - 00:01:25] 这个东西是需要时间历练
[00:01:25 - 00:01:25] 当然了
[00:01:25 - 00:01:27] 和普段学习的
[00:01:27 - 00:01:28] 你这记忆力我也很佩服
[00:01:28 - 00:01:28] 对
[00:01:28 - 00:01:30] 然后你知道最麻烦的是什么吗
[00:01:30 - 00:01:31] 最麻烦的是
[00:01:31 - 00:01:32] 你比如像金融学金融学全国
[00:01:32 - 00:01:35] 一共大概有几百个社时间
[00:01:35 - 00:01:38] 大家经常考的一些学校
[00:01:38 - 00:01:38] 一些比较好的学校
[00:01:38 - 00:01:40] 其实是很多的
[00:01:40 - 00:01:42] 每个专业都大概有五六十个
[00:01:42 - 00:01:44] 可能大家特别想考的
[00:01:44 - 00:01:45] 因为它有区域性的名校
[00:01:45 - 00:01:47] 有那种全国性的名校
[00:01:47 - 00:01:49] 这些学校每年的招生都是我变化的
[00:01:49 - 00:01:51] 因为你每年还得了解这个里边的
[00:01:51 - 00:01:53] 名额分配的问题整个的调整是吧
[00:01:53 - 00:01:54] 他照多少人
[00:01:54 - 00:01:55] 对吧
[00:01:55 - 00:01:56] 他保存比例是多少高
[00:01:56 - 00:01:56] 对吧
[00:01:56 - 00:01:58] 他负责分分线有多少分
[00:01:58 - 00:01:58] 对吧
[00:01:58 - 00:01:59] 那你这个人
[00:01:59 - 00:02:00] 你刚过负责分线
[00:02:00 - 00:02:02] 能不能最后被录取
[00:02:02 - 00:02:04] 那有的学校他富士查个比是1比1
[00:02:04 - 00:02:05] 我照十个人
[00:02:05 - 00:02:06] 我让十个人来富士
[00:02:06 - 00:02:07] 十个人基本上都被录取
[00:02:07 - 00:02:09] 你找面试别跟老师干起来都没事
[00:02:09 - 00:02:10] 有的学校是什么呢
[00:02:10 - 00:02:12] 照十个人让七十个人富士
[00:02:12 - 00:02:12] 我遇过一个
[00:02:12 - 00:02:13] 我见到过一个随便探的学校
[00:02:13 - 00:02:14] 我也不说那个学校了
[00:02:14 - 00:02:16] 我见到过一个随便探的学校
[00:02:16 - 00:02:19] 招十个人让七十个人不知道六十个人
[00:02:19 - 00:02:20] 那你是这种学校
[00:02:20 - 00:02:23] 那第二个就是后面的男学就出来了
[00:02:24 - 00:02:25] 这种学校你该不该给学生
[00:02:27 - 00:02:28] 你该不该告诉学生
[00:02:28 - 00:02:29] 是
[00:02:29 - 00:02:29] 对吗
[00:02:29 - 00:02:30] 对
[00:02:30 - 00:02:31] 你说他是不是坑
[00:02:31 - 00:02:33] 我觉得挺坑的
[00:02:33 - 00:02:36] 招十个人让七十个人不知道六十个人
[00:02:36 - 00:02:37] 你说你一年努力
[00:02:38 - 00:02:40] 终于说我要复试学了
[00:02:40 - 00:02:42] 觉得我好像考上西方很大一去
[00:02:42 - 00:02:44] 你看七十个人在
[00:02:44 - 00:02:47] 对 去了70个人 然后一问多少 多少 多少 死了
[00:02:47 - 00:02:49] 对 他很不贵
[00:02:50 - 00:02:53] 那你说这个大科目级别的学校 你说你要不要告诉学校
[00:02:53 - 00:02:56] 你告诉学生吧 你就要告诉我更多的学生
[00:02:56 - 00:02:58] 因为那是一个非常热闻的转意
[00:02:59 - 00:03:01] 告诉学生吧 你说你不要报这个学校
[00:03:02 - 00:03:03] 你说你说起调了吧
[00:03:03 - 00:03:05] 就是比如说你要我们有学员
[00:03:05 - 00:03:06] 因为那种不是我们的学员
