BV号：BV1xg41197uN
标题：BV1xg41197uN
链接：https://www.bilibili.com/video/BV1xg41197uN
识别语言：zh
语言置信度：1
分段数：55
生成时间：2026-04-03 19:10:33

[00:00:00 - 00:00:01] 很多人在报政院的时候呢
[00:00:01 - 00:00:02] 发现有两个专业的名字啊
[00:00:02 - 00:00:03] 叫的很像
[00:00:03 - 00:00:04] 一个叫的元凌
[00:00:04 - 00:00:05] 一个叫的元异
[00:00:05 - 00:00:06] 就问我说张老师
[00:00:06 - 00:00:07] 这是不是相关专业
[00:00:07 - 00:00:08] 怎么说呢
[00:00:08 - 00:00:09] 应该叫
[00:00:09 - 00:00:10] 明师特别相关
[00:00:10 - 00:00:12] 你说完全不相关吗
[00:00:12 - 00:00:12] 这么说也不行
[00:00:12 - 00:00:13] 为什么
[00:00:13 - 00:00:15] 因为元凌和元异
[00:00:15 - 00:00:15] 它是
[00:00:15 - 00:00:16] 所谓的都叫
[00:00:16 - 00:00:18] 农学的专业
[00:00:18 - 00:00:19] 它本身毕业以后
[00:00:19 - 00:00:21] 都属于农学的学士
[00:00:21 - 00:00:21] 研究生毕业以后
[00:00:21 - 00:00:23] 都属于农学的硕士
[00:00:23 - 00:00:24] 但这里边有一个专业
[00:00:24 - 00:00:24] 叫做
[00:00:24 - 00:00:25] 风景元凌
[00:00:25 - 00:00:26] 风景元凌是属于
[00:00:26 - 00:00:28] 工学学士和工学作词
[00:00:28 - 00:00:31] 风景圆林它主要是在搞设计
[00:00:31 - 00:00:32] 那么圆林这个专业
[00:00:32 - 00:00:34] 是又有设计
[00:00:34 - 00:00:35] 又有种植
[00:00:35 - 00:00:37] 但列为偏种植
[00:00:37 - 00:00:38] 因为你看
[00:00:38 - 00:00:40] 风景圆林一般都是五年制
[00:00:40 - 00:00:42] 圆林专业一般都是四年制
[00:00:42 - 00:00:44] 而就是又偏所谓的设计
[00:00:44 - 00:00:46] 又有所谓的种植
[00:00:46 - 00:00:48] 但是更偏种植一些
[00:00:48 - 00:00:49] 而圆异这个专业
[00:00:49 - 00:00:52] 它将来考研以后分成几个方向
[00:00:52 - 00:00:53] 包括果树学
[00:00:53 - 00:00:55] 蔬菜学和这个圆异学
[00:00:55 - 00:00:58] 就是果树蔬菜这种专业
[00:00:58 - 00:01:00] 就是说它是专门种蔬菜种果树的
[00:01:00 - 00:01:02] 它不是所谓的种元林的
[00:01:02 - 00:01:03] 大家能明白了
[00:01:03 - 00:01:04] 所以说的话
[00:01:04 - 00:01:06] 一个是属于叫植物生产类
[00:01:06 - 00:01:09] 元林的话它属于林学大类
[00:01:09 - 00:01:10] 而且是偏种植的
[00:01:10 - 00:01:12] 而风景元林它是属于工学
[00:01:12 - 00:01:14] 那个是这篇设计的
[00:01:14 - 00:01:15] 那个是五年日
[00:01:15 - 00:01:18] 是原来属于建筑学大类的一个方向
[00:01:18 - 00:01:19] 大家明白了吗
[00:01:19 - 00:01:20] 它是不一样的
