BV号：BV1uN4y1w7wu
标题：BV1uN4y1w7wu
链接：https://www.bilibili.com/video/BV1uN4y1w7wu
识别语言：zh
语言置信度：1
分段数：88
生成时间：2026-04-03 17:15:53

[00:00:00 - 00:00:02] 这个明显是词不熟
[00:00:02 - 00:00:03] 又听得清我说了吗
[00:00:03 - 00:00:06] 如果你对词提前熟悉两年
[00:00:06 - 00:00:08] 脑袋大概知道讲什么
[00:00:08 - 00:00:11] 好 你在拍的时候你的眼睛就会很薄
[00:00:11 - 00:00:12] 我说为什么要熟悉
[00:00:12 - 00:00:14] 熟悉是为了让自己的心放松
[00:00:14 - 00:00:16] 让自己的潜意
[00:00:16 - 00:00:18] 你老依赖于自己的词你就紧张
[00:00:18 - 00:00:21] 你的眼睛如果收一篇的一点
[00:00:21 - 00:00:22] 你就会怕
[00:00:22 - 00:00:24] 哎呀 是我要看错了
[00:00:24 - 00:00:26] 或者没看到 说错了怎么办
[00:00:26 - 00:00:27] 这个我给他说两点
[00:00:27 - 00:00:29] 就像他我带词物前给他们叫教育学
[00:00:29 - 00:00:30] 那十个二月
[00:00:30 - 00:00:32] 那个东西是刻在我骨子里面
[00:00:32 - 00:00:33] 是在我DNA里面
[00:00:33 - 00:00:36] 是我弄了这个穿帽子去掉啊
[00:00:37 - 00:00:40] 是我弄了很多年很多年以后的话
[00:00:40 - 00:00:42] 这个东西我一定特别特别的熟了
[00:00:42 - 00:00:43] 我理解它
[00:00:43 - 00:00:45] 比如说你去录这个视频的话
[00:00:45 - 00:00:46] 你说我录了600分
[00:00:46 - 00:00:48] 那你之前说我说你要再录这个视频的话
[00:00:48 - 00:00:50] 一个选别就没有问题了
[00:00:50 - 00:00:51] 你再录的话你可能
[00:00:51 - 00:00:52] 可能今天准备的不是
[00:00:52 - 00:00:53] 你真的要去看一下600分
[00:00:53 - 00:00:55] 大概上什么样的学校
[00:00:55 - 00:00:56] 你充分的理解600分
[00:00:56 - 00:00:57] 是不是真的说
[00:00:57 - 00:00:58] 非就85除2有
[00:00:58 - 00:00:59] 说二二有
[00:00:59 - 00:01:01] 有没有可能6百分上不了二二有的情况
[00:01:01 - 00:01:01] 对吧
[00:01:01 - 00:01:03] 然后的话第一理解
[00:01:03 - 00:01:03] 然后你认可他嘛
[00:01:03 - 00:01:04] 这是数据
[00:01:04 - 00:01:06] 这是江苏省教育考试院
[00:01:06 - 00:01:08] 哪个省教育考试院的数据
[00:01:08 - 00:01:09] 告诉我们的
[00:01:09 - 00:01:10] 你到那个小镜河认网站里面
[00:01:10 - 00:01:11] 就是史实
[00:01:11 - 00:01:12] 对吧
[00:01:12 - 00:01:13] 然后的话
[00:01:13 - 00:01:13] 理解这儿
[00:01:13 - 00:01:14] 然后熟悉
[00:01:14 - 00:01:17] 这个事我今年报了好几周六百分的人
[00:01:17 - 00:01:18] 这也是我再数几乎过了
[00:01:18 - 00:01:19] 对吧
[00:01:19 - 00:01:21] 我跟他说我最早联系演讲的时候
[00:01:21 - 00:01:21] 我刚开始过海角
[00:01:21 - 00:01:22] 我最早联系演讲的时候
[00:01:22 - 00:01:23] 我干嘛
[00:01:24 - 00:01:25] 我就对大街上
[00:01:25 - 00:01:26] 车水马路去讲
[00:01:27 - 00:01:28] 我半夜11点半
[00:01:28 - 00:01:30] 我就当大街上的吃水马龙
[00:01:30 - 00:01:31] 是我的学生
[00:01:31 - 00:01:32] 我用哪个语气词
[00:01:32 - 00:01:33] 我就用哪个语气词
[00:01:33 - 00:01:34] 我用什么动作
[00:01:34 - 00:01:35] 我用什么动作
[00:01:35 - 00:01:35] 我用什么表情
[00:01:35 - 00:01:37] 我就用什么表情
[00:01:37 - 00:01:39] 我反复的对着大街上的吃水马龙
[00:01:39 - 00:01:40] 我这个事大概大概
[00:01:40 - 00:01:42] 我相信三个月
[00:01:42 - 00:01:43] 就是每天晚上没什么事
[00:01:43 - 00:01:44] 面对大街上的吃水马龙
[00:01:44 - 00:01:45] 就开始跌跌
[00:01:45 - 00:01:46] 就要去开始讲
[00:01:46 - 00:01:47] 我都讲那些内容
[00:01:47 - 00:01:49] 然后讲着讲着讲着发起来
[00:01:49 - 00:01:50] 越讲就说越讲就说
[00:01:50 - 00:01:51] 越讲就说
[00:01:51 - 00:01:53] 就还就是不错了
[00:01:53 - 00:01:54] 然后你就慢慢对它
[00:01:54 - 00:01:55] 理解这个事情
[00:01:55 - 00:01:57] 所以大家对这种东西的时候
[00:01:57 - 00:01:58] 如果你刚刚是在补兼
[00:01:58 - 00:02:00] 你们都可以去先练习
[00:02:00 - 00:02:01] 比如说你自己在收防流
[00:02:01 - 00:02:02] 或者你在装一个防灯
[00:02:02 - 00:02:03] 然后的话
[00:02:03 - 00:02:04] 再去
[00:02:04 - 00:02:05] 路都可以
