BV号：BV11K4y1g7Ye
标题：BV11K4y1g7Ye
链接：https://www.bilibili.com/video/BV11K4y1g7Ye
识别语言：zh
语言置信度：1
分段数：56
生成时间：2026-04-03 23:41:07

[00:00:02 - 00:00:05] 當然你現在應該多兩個工作
[00:00:05 - 00:00:06] 一個工作什麼
[00:00:06 - 00:00:08] 你要過後還要再這場工作
[00:00:08 - 00:00:09] 對不對
[00:00:09 - 00:00:12] 各位家長一定要保持好冷靜的心情
[00:00:12 - 00:00:13] 我知道有個家長
[00:00:13 - 00:00:13] 哎
[00:00:13 - 00:00:14] 有沒有這種感覺
[00:00:14 - 00:00:15] 孩子就考生
[00:00:15 - 00:00:16] 你比孩子都緊張
[00:00:17 - 00:00:18] 是不是
[00:00:18 - 00:00:19] 千萬不要表現出來
[00:00:19 - 00:00:21] 各位也知道嗎
[00:00:21 - 00:00:22] 我媽媽其實就過了
[00:00:22 - 00:00:24] 非常非常反對的典範
[00:00:25 - 00:00:26] 我媽媽當時幹了個什麼事呢
[00:00:26 - 00:00:27] 一一悲小
[00:00:28 - 00:00:29] 你現在以前可能
[00:00:29 - 00:00:30] 我不管你怎麼
[00:00:30 - 00:00:31] 還能夠過海了啊
[00:00:31 - 00:00:33] 这几天千万不要这么说
[00:00:33 - 00:00:34] 我妈当时没说
[00:00:34 - 00:00:39] 麻烦麻烦
[00:00:39 - 00:00:40] 不管我
[00:00:40 - 00:00:42] 你接着她就干了第二个
[00:00:42 - 00:00:43] 你千万不要这么说
[00:00:43 - 00:00:44] 特殊对待
[00:00:44 - 00:00:45] 她刚说
[00:00:45 - 00:00:47] 平时我们回家吃饭的时候
[00:00:47 - 00:00:48] 两张都汉
[00:00:48 - 00:00:49] 我刚发现那天我妈说
[00:00:49 - 00:00:50] 我妈说
[00:00:50 - 00:00:51] 我妈说
[00:00:51 - 00:00:52] 我妈说
[00:00:52 - 00:00:53] 对不起
[00:00:53 - 00:00:54] 你亲得这条鸡
[00:00:54 - 00:00:56] 闹心疼
[00:00:56 - 00:00:57] 闹心疼
[00:00:57 - 00:00:58] 然后第三
[00:00:58 - 00:01:00] 还有什么人家能干吗呢
[00:01:00 - 00:01:01] 你想想想想
[00:01:01 - 00:01:02] 再聊一遍
[00:01:02 - 00:01:03] 有一个家长跟我说
[00:01:03 - 00:01:07] 我当时我觉得我们家孩子考试前几章
[00:01:07 - 00:01:09] 他每次考试前几章
[00:01:09 - 00:01:11] 我要不要找个心理医生给他看一看
[00:01:11 - 00:01:14] 你应该找个心理医生看一看
[00:01:14 - 00:01:17] 大家觉得要找个心理医生看一看吗
[00:01:17 - 00:01:18] 考强的
[00:01:18 - 00:01:20] 你找个心理医生去给他输到
[00:01:20 - 00:01:22] 他不越是有越紧张吧
[00:01:22 - 00:01:31] 你为了那种事我越紧张
[00:01:31 - 00:01:33] 你要抱抱
[00:01:33 - 00:01:35] 不管你考试成这样
[00:01:35 - 00:01:36] 我不是你爸
[00:01:36 - 00:01:40] 成样我们不是你最坚强的公论
