BV号：BV1fJ411L7Ch
标题：BV1fJ411L7Ch
链接：https://www.bilibili.com/video/BV1fJ411L7Ch
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-04 03:51:07

[00:00:00 - 00:00:01] 大家要知道
[00:00:01 - 00:00:02] 你们在考研的时候总说一个事
[00:00:02 - 00:00:03] 说张老师
[00:00:03 - 00:00:05] 我考哪个学校的什么专业
[00:00:05 - 00:00:06] 戴同学你要知道
[00:00:06 - 00:00:07] 有的学校会出现这种情况
[00:00:07 - 00:00:08] 什么情况呢
[00:00:08 - 00:00:10] 叫做同意院校不同
[00:00:10 - 00:00:11] 就是同意院校同意专业
[00:00:11 - 00:00:13] 不同院系找生
[00:00:13 - 00:00:14] 什么就不同院系找生
[00:00:14 - 00:00:16] 你比如说清华大学的土木
[00:00:16 - 00:00:17] 清华大学的土木你会发现
[00:00:17 - 00:00:19] 土木系有
[00:00:19 - 00:00:20] 水利系有
[00:00:20 - 00:00:21] 环境系也有
[00:00:21 - 00:00:22] 而这三个系呢
[00:00:22 - 00:00:23] 它都叫土木工程专业
[00:00:23 - 00:00:25] 但是考试科目完全不一样
[00:00:25 - 00:00:26] 老师完全不一样
[00:00:26 - 00:00:28] 研究方向完全不一样
[00:00:28 - 00:00:30] 所以大家注意一下你要報考的學
[00:00:30 - 00:00:32] 另外一下我們李公科同學要注意一下
[00:00:32 - 00:00:35] 李公科同學注意一下你的考試科目
[00:00:36 - 00:00:37] 你的考試科目
[00:00:37 - 00:00:41] 因為李公立專業的專業科一般都可以選考
[00:00:41 - 00:00:44] 可能大家現在還沒有看你目標院校的招生信息
[00:00:44 - 00:00:46] 到時候你看你目標院校的考試科目
[00:00:46 - 00:00:47] 專業科這一欄
[00:00:47 - 00:00:48] 就是什麼什麼
[00:00:48 - 00:00:51] 或 啥啥啥 或啥啥啥
[00:00:51 - 00:00:52] 它這個或是什麼意思呢
[00:00:52 - 00:00:53] 是讓你二選一或三選一
[00:00:53 - 00:00:54] 知道吧
[00:00:54 - 00:00:55] 你選了一個去報考
[00:00:55 - 00:00:56] 大家注意一下啊
[00:00:56 - 00:00:58] 你別老是我以為考的是那個呢
[00:00:58 - 00:01:00] 你以为你以为的就是你以为的
[00:01:00 - 00:01:01] 他不一定知道吗
