BV号：BV1jV411x7Xv
标题：BV1jV411x7Xv
链接：https://www.bilibili.com/video/BV1jV411x7Xv
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 23:20:12

[00:00:00 - 00:00:04] 那中国的高校的时间都经历过三个阶段
[00:00:04 - 00:00:06] 第一个阶段就是从成立到西遷
[00:00:06 - 00:00:09] 当然我们说的是那些历史比较悠久的学校
[00:00:09 - 00:00:12] 比如说像同纪大学、复旦大学
[00:00:12 - 00:00:15] 包括清华、北大、南开都经历过西遷
[00:00:15 - 00:00:18] 因为当时大家都知道我们成立的时候的话
[00:00:18 - 00:00:19] 当时新中国还没有成立嘛
[00:00:19 - 00:00:21] 后来我们经历了抗认战争
[00:00:21 - 00:00:23] 抗认战争主要在东边打对吧
[00:00:23 - 00:00:25] 然后为了保全中国的这帮大学
[00:00:25 - 00:00:28] 我们主要是把大学都往西边去签
[00:00:28 - 00:00:29] 這個簡單跟大家說一下
[00:00:29 - 00:00:31] 其實大地會發展在整個抗戰期間
[00:00:31 - 00:00:34] 咱們中國的就是抗戰期間
[00:00:34 - 00:00:37] 中國的大學生士兵其實並不多
[00:00:37 - 00:00:39] 這個主要是因為接受了
[00:00:39 - 00:00:41] 當時第一次世界大戰的時候
[00:00:41 - 00:00:42] 英國和法國的教訓
[00:00:42 - 00:00:43] 一戰期間
[00:00:43 - 00:00:46] 英國和法國的很多大學生應徵入伍
[00:00:46 - 00:00:47] 結果呢
[00:00:47 - 00:00:49] 全都死在了戰場上
[00:00:49 - 00:00:52] 但是你仗打完以後的國家是需要建設的
[00:00:52 - 00:00:53] 所以說那個時候
[00:00:53 - 00:00:55] 我們的任務是什麼
[00:00:55 - 00:00:56] 打仗前線是軍人的事情
[00:00:56 - 00:00:58] 我们的大学上在后方好好学习
[00:00:58 - 00:00:59] 将来我们打赢了
[00:00:59 - 00:01:01] 我们要建设国家
[00:01:01 - 00:01:02] 为什么在新农国城里
[00:01:02 - 00:01:03] 或我们能够那么快的去
[00:01:03 - 00:01:06] 有一些人才去进行国家的建设
[00:01:06 - 00:01:08] 这个跟当时我们的整个的战略
[00:01:08 - 00:01:09] 是不无关系的
[00:01:09 - 00:01:10] 可以说这个战略是非常正确的
