BV号：BV1TKSFYCEUi
标题：BV1TKSFYCEUi
链接：https://www.bilibili.com/video/BV1TKSFYCEUi
识别语言：zh
语言置信度：1
分段数：81
生成时间：2026-04-03 07:33:44

[00:00:00 - 00:00:02] 但是就是我想跟大家说的是什么呢
[00:00:02 - 00:00:03] 就是留学这一块
[00:00:03 - 00:00:04] 是几点吧
[00:00:04 - 00:00:05] 首先第一的话呢就是
[00:00:05 - 00:00:06] 你要不要去考虑中外合作漫学
[00:00:06 - 00:00:08] 然后让孩子有个国外的这种体制
[00:00:08 - 00:00:10] 如果说你家里条件不错
[00:00:10 - 00:00:11] 非常好
[00:00:11 - 00:00:13] 然后的话你花这点钱
[00:00:13 - 00:00:14] 不通不养
[00:00:14 - 00:00:15] 那你该花就花
[00:00:15 - 00:00:18] 但是你不要抱着一个所谓回本的心态
[00:00:18 - 00:00:19] 就包括说有些家长说
[00:00:19 - 00:00:20] 张老师为我们家孩子
[00:00:20 - 00:00:21] 假如读了少女读了坤度
[00:00:21 - 00:00:23] 然后的话读了这个澳大利亚的学校
[00:00:23 - 00:00:24] 然后的话不让你能回本
[00:00:24 - 00:00:26] 你抱着这种心态你就别抱了
[00:00:26 - 00:00:27] 回不了本
[00:00:27 - 00:00:27] 难回本
[00:00:27 - 00:00:29] 那回本都是都是坑命的
[00:00:29 - 00:00:30] 知道吧
[00:00:30 - 00:00:31] 然后其次的话呢什么呢
[00:00:31 - 00:00:32] 就是刚才这个孩子问的说
[00:00:32 - 00:00:35] 哎我这个学校我在海外读书以后
[00:00:35 - 00:00:36] 回国的认可度高低
[00:00:36 - 00:00:37] 有两种情况
[00:00:37 - 00:00:38] 第一种情况的话呢
[00:00:38 - 00:00:39] 就是说你家里边有一定的资源
[00:00:39 - 00:00:42] 然后的话你早要在海外读一个
[00:00:42 - 00:00:43] 一个什么什么样的学校
[00:00:43 - 00:00:44] 然后你回来以后的话
[00:00:44 - 00:00:45] 有有一定的资源
[00:00:45 - 00:00:47] 然后能让你去想一定的办法
[00:00:47 - 00:00:49] 然后如果像这种情况下的话
[00:00:49 - 00:00:50] 那你去做这个投资
[00:00:50 - 00:00:52] 我个人觉得你满意就好
[00:00:52 - 00:00:52] 你满意就好
[00:00:52 - 00:00:54] 因为这种一般情况下
[00:00:54 - 00:00:56] 这种像像这种企业的话
[00:00:56 - 00:00:57] 公司也不会特别的高
[00:00:57 - 00:00:59] 然后的话你说不就帮你养个孩子吗
[00:00:59 - 00:01:01] 那就帮你养个孩子
[00:01:01 - 00:01:01] 对吧
[00:01:01 - 00:01:02] 那如果说你有这样的想法的话
[00:01:02 - 00:01:03] 那你没有问题
[00:01:03 - 00:01:04] 你只需要问
[00:01:04 - 00:01:06] 那个企业的招聘标准是什么
[00:01:06 - 00:01:06] 就可以
[00:01:06 - 00:01:07] 但是第二种
[00:01:07 - 00:01:09] 如果说你家里边自己资源
[00:01:09 - 00:01:10] 没有那么丰富
[00:01:10 - 00:01:13] 你非得让孩子去海外读一个硕士
[00:01:13 - 00:01:15] 或者是读一个一般的学弟
[00:01:15 - 00:01:16] 回了以后又靠孩子
[00:01:16 - 00:01:17] 自己去找工作的话
[00:01:17 - 00:01:18] 那你就告诉孩子
[00:01:18 - 00:01:19] 好好学习吧
[00:01:19 - 00:01:21] 因为企业在招聘的时候
[00:01:21 - 00:01:23] 只有一个原则
[00:01:23 - 00:01:24] 叫做
[00:01:24 - 00:01:25] 不养闲
[00:01:25 - 00:01:26] 很少有企业
[00:01:26 - 00:01:28] 会直接因为你是哪个学校的
[00:01:28 - 00:01:29] 而直接要吗
[00:01:29 - 00:01:30] 不可能
[00:01:30 - 00:01:31] 不可能
[00:01:31 - 00:01:33] 没有一个企业会因为你是哪个学校的
[00:01:33 - 00:01:34] 而直接要你
[00:01:34 - 00:01:35] 所以说的话
[00:01:35 - 00:01:37] 你别说说张老师我们家还在到海外
[00:01:37 - 00:01:39] 回来以后好不好好找工作
[00:01:39 - 00:01:41] 这个问题我觉得你问孩子
[00:01:41 - 00:01:42] 不要问我
[00:01:42 - 00:01:43] 现在
[00:01:43 - 00:01:45] 真的企业招聘一个人
[00:01:45 - 00:01:47] 还是蛮渗动的
[00:01:47 - 00:01:50] 越好的企业招聘人其实就越渗动
[00:01:50 - 00:01:51] 真是这样
[00:01:51 - 00:01:52] 对于说大家有的时候想
[00:01:52 - 00:01:53] 不要太简单
