BV号：BV1NJ411s7d4
标题：BV1NJ411s7d4
链接：https://www.bilibili.com/video/BV1NJ411s7d4
识别语言：zh
语言置信度：1
分段数：309
生成时间：2026-04-04 04:24:55

[00:00:02 - 00:00:05] 小杨老师 最近我们有一个非常有意思的话题
[00:00:05 - 00:00:10] 对于所有的行业都是有一个冲击的教育
[00:00:10 - 00:00:13] 人工智能对于我们这个行业的影响
[00:00:13 - 00:00:15] 我觉得是肯定替代不了的
[00:00:15 - 00:00:16] 希望以后不要打脸
[00:00:16 - 00:00:17] 就是这种事
[00:00:17 - 00:00:26] 大家好 欢迎收看小型督鼻托口秀大开眼界
[00:00:26 - 00:00:29] 我是让学习变得更快乐的张雪峰老师
[00:00:29 - 00:00:32] 关注大开眼界 了解不同职业背后的故事
[00:00:32 - 00:00:34] 为你的专业选择提供更多的帮助
[00:00:34 - 00:00:36] 我们本期请到的嘉宾是我们
[00:00:36 - 00:00:39] 我们的归国HR在北京的创刊人
[00:00:39 - 00:00:40] 我们的张连老师
[00:00:40 - 00:00:41] 张老师给大家打个招呼
[00:00:41 - 00:00:42] 大家好
[00:00:42 - 00:00:43] 张连老师
[00:00:43 - 00:00:45] 最近我们有一个非常有意思的话题
[00:00:45 - 00:00:49] 对于所有的行业都是有一个冲击的
[00:00:49 - 00:00:51] 叫人工智能
[00:00:51 - 00:00:53] 对于我们这个行业的影响
[00:00:53 - 00:00:53] 对
[00:00:53 - 00:00:56] 你看我前一阶段我上了一个节目
[00:00:56 - 00:00:57] 叫求职高手
[00:00:57 - 00:00:59] 在我们那个求职高手的节目当中
[00:00:59 - 00:01:01] 有占了一个环节
[00:01:01 - 00:01:03] 就是当一个求职的人
[00:01:03 - 00:01:06] 坐在台上跟老板去談薪資之前
[00:01:06 - 00:01:10] 會有這樣的一個人工智能的一個東西
[00:01:10 - 00:01:12] 對他進行評估
[00:01:12 - 00:01:13] 對
[00:01:13 - 00:01:15] 就會分析這個人他的強項
[00:01:15 - 00:01:17] 弱項或者怎麼樣的
[00:01:17 - 00:01:18] 性格特點等等
[00:01:18 - 00:01:21] 您對這種他這種東西有所了解嗎
[00:01:21 - 00:01:24] 現在這個應用開始就越來越廣泛
[00:01:24 - 00:01:27] 尤其是比如說在規模有很多這種出動公司
[00:01:27 - 00:01:31] 他其實就是在做這個招聘過程中的人工智能機器人
[00:01:31 - 00:01:34] 比如说负责在网上先跟候选人聊天
[00:01:34 - 00:01:35] 然后还有就是说
[00:01:35 - 00:01:37] 用人工智能跟候选人
[00:01:37 - 00:01:38] 对对对 聊天
[00:01:38 - 00:01:39] 对
[00:01:39 - 00:01:41] 这个那个Siri是差不多吗
[00:01:41 - 00:01:41] 对对对
[00:01:41 - 00:01:43] 大概就是跟他聊天
[00:01:43 - 00:01:43] 对吧
[00:01:43 - 00:01:44] 对对对 没错
[00:01:44 - 00:01:44] 比如说
[00:01:44 - 00:01:45] 其实他是一个模型
[00:01:45 - 00:01:46] 就是说
[00:01:46 - 00:01:48] 这个人工智能的机器人
[00:01:48 - 00:01:48] 可以跟你讲说
[00:01:48 - 00:01:50] 我这个职位是干什么的
[00:01:50 - 00:01:51] 我的职位是在哪的
[00:01:51 - 00:01:53] 我这个职位大概的要求
[00:01:53 - 00:01:54] 然后你有什么简单的问题
[00:01:54 - 00:01:56] 他是可以回答的
[00:01:56 - 00:01:56] 对
[00:01:56 - 00:01:58] 那他不就是期待了很多
[00:01:58 - 00:01:59] 我们刚开始说
[00:01:59 - 00:02:02] 人资的一些工作对对吧
[00:02:02 - 00:02:04] 对所以我们是紧张了一下
[00:02:04 - 00:02:07] 对然后他对他会对这个人有一个
[00:02:07 - 00:02:09] 可能会自动生成一个报告
[00:02:09 - 00:02:12] 他可能不像说我们人可能有些主观的
[00:02:12 - 00:02:14] 对吧比如说我举个简单的例子啊
[00:02:14 - 00:02:16] 可能说我是不是华人
[00:02:16 - 00:02:18] 我对华人有上的好歹倾向吗
[00:02:18 - 00:02:19] 什么样的对吧
[00:02:19 - 00:02:22] 那这个或者说另外一个人对
[00:02:22 - 00:02:24] 某一类的人可能有所偏见
[00:02:24 - 00:02:26] 或者倾向或者男生或者女生
