BV号：BV1kS4y1h7NB
标题：BV1kS4y1h7NB
链接：https://www.bilibili.com/video/BV1kS4y1h7NB
识别语言：zh
语言置信度：1
分段数：72
生成时间：2026-04-03 19:33:04

[00:00:00 - 00:00:02] 到最後一個月比的就是三個事
[00:00:02 - 00:00:03] 你要有態度
[00:00:03 - 00:00:04] 要有信心
[00:00:04 - 00:00:05] 要有方法
[00:00:05 - 00:00:06] 三者加起來
[00:00:06 - 00:00:07] 往前衝
[00:00:07 - 00:00:08] 記住各位家長
[00:00:08 - 00:00:10] 回頭告訴你的孩子
[00:00:10 - 00:00:12] 到最後一個月比的是什麼
[00:00:12 - 00:00:13] 三個事
[00:00:13 - 00:00:14] 一就要學習態度
[00:00:14 - 00:00:17] 你這個分在你們當地可能不高
[00:00:17 - 00:00:17] 但是我告訴你
[00:00:17 - 00:00:20] 你身邊會有一幫人放縱自己
[00:00:20 - 00:00:20] 百爛
[00:00:20 - 00:00:22] 千萬離這幫百爛的人遠一點
[00:00:22 - 00:00:25] 這幫人自己會見你一身髒
[00:00:25 - 00:00:28] 最後這三十多天少玩一會兒
[00:00:28 - 00:00:31] 你想想一個戰士在馬上衝鋒前
[00:00:31 - 00:00:32] 他會幹嘛
[00:00:32 - 00:00:33] 他會擦槍
[00:00:33 - 00:00:34] 他會準備子彈
[00:00:34 - 00:00:36] 不是在這玩遊戲你說對吧
[00:00:36 - 00:00:39] 所以說你一定要在最後的階段學習態度
[00:00:39 - 00:00:40] 一定要專政
[00:00:40 - 00:00:42] 林立邦白爛的人演藝點
[00:00:42 - 00:00:44] 第二你要有這個自信
[00:00:44 - 00:00:46] 你如果自己都不相信你自己的話
[00:00:46 - 00:00:47] 沒人救得了你
[00:00:47 - 00:00:50] 你記住人的自信會影響行為
[00:00:50 - 00:00:52] 行為會影響結果
[00:00:52 - 00:00:55] 結果會讓你下一次面對坑南的時候
[00:00:55 - 00:00:56] 更加提心
[00:00:56 - 00:00:58] 你自己說張老師我努力
[00:00:58 - 00:00:59] 我一定能上个本科
[00:00:59 - 00:01:01] 你就会更加努力学习
[00:01:01 - 00:01:03] 最后结果就是好的
[00:01:03 - 00:01:05] 当你以后面对再大困难的时候
[00:01:05 - 00:01:06] 你想起你高考这点经历
[00:01:06 - 00:01:08] 这就叫良性循环
[00:01:08 - 00:01:09] 如果你没有私信
[00:01:09 - 00:01:10] 你就会消极行为
[00:01:10 - 00:01:12] 进而结果不好
[00:01:12 - 00:01:13] 你还会跟自己说
[00:01:13 - 00:01:14] 你看我就说我不行吧
[00:01:14 - 00:01:15] 完了
[00:01:15 - 00:01:16] 你进入到了一个恶性循环
[00:01:16 - 00:01:18] 那你进入到良性循环
[00:01:18 - 00:01:20] 还会进入到恶性循环
[00:01:20 - 00:01:22] 你自己现在是有决定权利
[00:01:22 - 00:01:22] 第三
[00:01:22 - 00:01:24] 像你这个分数段
[00:01:24 - 00:01:25] 我就教你两招
[00:01:25 - 00:01:27] 第一招要有地方使
[00:01:27 - 00:01:31] 你拿不下的章节不要试图去拿下了
[00:01:31 - 00:01:32] 因为你拿不下了
[00:01:32 - 00:01:33] 你两年半都没学会
[00:01:33 - 00:01:35] 你只望30多天能学会吗
[00:01:35 - 00:01:36] 不可能的
[00:01:36 - 00:01:39] 把时间和精力用在你能拿下的章节上
[00:01:39 - 00:01:40] 复习的时候有地方式
[00:01:40 - 00:01:44] 考试的时候记住难题别抠了
[00:01:44 - 00:01:46] 你自己考试都是你有没有这样的精力
[00:01:46 - 00:01:47] 你抠一个难题
[00:01:47 - 00:01:49] 它不是拿时间累出来的
[00:01:49 - 00:01:52] 你说老师我再想20分钟我就想得出来了
[00:01:52 - 00:01:54] 想不出来你一辈子都想得出来
[00:01:54 - 00:01:56] 那你升学的考试时间
[00:01:56 - 00:01:58] 对于难题你不会过
[00:01:58 - 00:01:59] 剩下的时间你干嘛
[00:01:59 - 00:02:01] 你翻过头来把前面的题好好看一看
[00:02:01 - 00:02:06] 你卷得上做出来的题能得分就已经
