BV号：BV1Tv41167EN
标题：BV1Tv41167EN
链接：https://www.bilibili.com/video/BV1Tv41167EN
识别语言：zh
语言置信度：1
分段数：163
生成时间：2026-04-04 02:12:58

[00:00:00 - 00:00:03] 这是一个教你怎么在高考职院填冒当中
[00:00:03 - 00:00:05] 如何选学校 如何选专业
[00:00:05 - 00:00:08] 如何报职院不后悔的付费专栏
[00:00:11 - 00:00:13] 那么我们今天要给大家讲的呢
[00:00:13 - 00:00:16] 是关于专业之间的相关性
[00:00:16 - 00:00:19] 那么我们前两节课给大家讲的很多相关性
[00:00:19 - 00:00:22] 比如说像这个同意学院相关专业呀
[00:00:22 - 00:00:24] 比如像同意医学科的相关专业
[00:00:24 - 00:00:27] 但往往呢你会发现有两个专业
[00:00:27 - 00:00:30] 它既可能不是同一个学院的
[00:00:30 - 00:00:31] 它又可能怎么样
[00:00:31 - 00:00:33] 不是同意一級學科的
[00:00:33 - 00:00:37] 但它其實也是相關專業
[00:00:37 - 00:00:38] 那這個時候呢
[00:00:38 - 00:00:39] 大家主要看什麼呢
[00:00:39 - 00:00:41] 主要要看這個專業的
[00:00:41 - 00:00:44] 它的培養方案當中的專業課
[00:00:44 - 00:00:45] 那麼大家要知道
[00:00:45 - 00:00:47] 我們上大學學的某一個專業以後的話
[00:00:47 - 00:00:49] 要學習
[00:00:49 - 00:00:50] 要學什麼呢
[00:00:50 - 00:00:52] 有公共課和專業課
[00:00:52 - 00:00:54] 這個公共課就公共基礎課
[00:00:54 - 00:00:57] 就是幾乎我們全國所有專業
[00:00:57 - 00:00:58] 所有學校同學都學的
[00:00:58 - 00:01:01] 比如像政治學啊英語啊
[00:01:01 - 00:01:03] 不管你学什么专业我们都要学的
[00:01:03 - 00:01:07] 那么还有就是你专业的相关的专业课
[00:01:07 - 00:01:11] 而这些专业课有的是非常重要的必修专业课
[00:01:11 - 00:01:13] 而有的专业课是从修专业课
[00:01:13 - 00:01:16] 还有的专业课是选修专业课
[00:01:16 - 00:01:18] 那么必修从修和选修
[00:01:18 - 00:01:22] 就构成了我们上大学的大多数的课程
[00:01:22 - 00:01:26] 那么一个大学生他上大学上4年
[00:01:26 - 00:01:29] 那么基本上大多数的专业都要上
[00:01:29 - 00:01:32] 將近幾十門專業課
[00:01:32 - 00:01:33] 而專業和專業之間呢
[00:01:33 - 00:01:36] 大家會發現他有相關性和
[00:01:36 - 00:01:37] 交叉性
[00:01:37 - 00:01:39] 那麼這就是我們給大家說的
[00:01:39 - 00:01:42] 關於本科專業計劃當中的
[00:01:42 - 00:01:43] 主幹專業課
[00:01:43 - 00:01:45] 大家一般請問一下趙老師
[00:01:45 - 00:01:46] 那這個主幹專業課我
[00:01:46 - 00:01:48] 應該怎麼找去哪找
[00:01:48 - 00:01:51] 其實呢大家你在登陸一個學校的網站以後
[00:01:51 - 00:01:53] 那麼你會發現他有一個什麼
[00:01:53 - 00:01:56] 叫學院網站或者說本科的招生網
[00:01:56 - 00:01:57] 這兩個網站都可以
[00:01:57 - 00:01:59] 然後你會發現有個東西叫什麼呢
[00:01:59 - 00:02:01] 叫做本科培養方案
[00:02:01 - 00:02:03] 那麼每一個專業
[00:02:03 - 00:02:06] 都有一個叫本科階段的培養方案
[00:02:06 - 00:02:07] 它在培養方案當中的話
[00:02:07 - 00:02:08] 首先它會告訴你說
[00:02:08 - 00:02:10] 我們這個專業是培養什麼樣的人
[00:02:10 - 00:02:10] 對吧
[00:02:10 - 00:02:11] 然後的話
[00:02:11 - 00:02:12] 我會給你說一個非常大概的東西
[00:02:12 - 00:02:14] 說這個專業到底是幹嘛的
[00:02:14 - 00:02:16] 這些其實都不是特別的重要
[00:02:16 - 00:02:17] 重要的是什麼呢
[00:02:17 - 00:02:19] 重要的是你要看一下
[00:02:19 - 00:02:22] 它在本科期間都上哪些專業課
[00:02:22 - 00:02:24] 因為你要知道專業和專業之間
[00:02:24 - 00:02:28] 沒有大家想像的那麼獨立
[00:02:28 - 00:02:30] 这是你要知道有些专业它有一个什么
[00:02:30 - 00:02:32] 它叫一个综合应用性
[00:02:32 - 00:02:33] 咱们随便给大家举一个例子
[00:02:33 - 00:02:35] 比如说现在
[00:02:35 - 00:02:37] 你说老师我想学一个专业叫做航空航天
[00:02:37 - 00:02:39] 老师我想航空航天
[00:02:39 - 00:02:40] 航空航天是什么呢
[00:02:40 - 00:02:42] 它是一个产业
[00:02:42 - 00:02:43] 航空航天是一个产业
[00:02:43 - 00:02:46] 那我们航空航天假如说最基本的一个东西
[00:02:46 - 00:02:48] 说张老师我现在要干嘛
[00:02:48 - 00:02:49] 我要造一个大飞机
[00:02:50 - 00:02:52] 老师我现在我搞个飞机出来
[00:02:52 - 00:02:54] 那各位同学你讲讲你搞个飞机出来
[00:02:54 - 00:02:55] 设计到什么样的专业呢
[00:02:55 - 00:02:57] 设计到什么样的专业呢
[00:02:57 - 00:02:59] 那专业和专业之间要不要配合呢
[00:02:59 - 00:03:01] 比如像飞机它本身是一个什么样的装置
[00:03:01 - 00:03:03] 它叫机械装置 对吧
