BV号：BV1Qf4y1m7BZ
标题：BV1Qf4y1m7BZ
链接：https://www.bilibili.com/video/BV1Qf4y1m7BZ
识别语言：zh
语言置信度：1
分段数：114
生成时间：2026-04-04 02:19:44

[00:00:00 - 00:00:03] 这是一个教你怎么在高考的志愿填冒当中
[00:00:03 - 00:00:05] 如何选学校 如何选专业
[00:00:05 - 00:00:08] 如何报志愿不后悔的付费专栏
[00:00:11 - 00:00:14] 而如果说你是学的社会人文学科
[00:00:14 - 00:00:15] 大家一定要注意一下什么呢
[00:00:15 - 00:00:17] 先看成是再看学校
[00:00:17 - 00:00:20] 社会人文学科是极看学校的
[00:00:21 - 00:00:22] 社会人文学科是极看学校的
[00:00:22 - 00:00:23] 为什么
[00:00:23 - 00:00:25] 社会人文学科的专业排名
[00:00:25 - 00:00:28] 没有那么特别实际的意义
[00:00:29 - 00:00:30] 你看
[00:00:30 - 00:00:31] 中文專業
[00:00:32 - 00:00:34] 中文專業很多學校都有
[00:00:34 - 00:00:35] 咱們隨便舉幾個例子
[00:00:37 - 00:00:37] 中文專業每個校都有
[00:00:37 - 00:00:38] 你看什麼
[00:00:38 - 00:00:40] 哈爾濱市方大學哈士大
[00:00:42 - 00:00:43] 學校很好
[00:00:43 - 00:00:45] 黑中江最好的市方大學
[00:00:45 - 00:00:45] 對吧
[00:00:45 - 00:00:46] 但還有一個學校叫什麼
[00:00:46 - 00:00:46] 叫北施大
[00:00:48 - 00:00:49] 北施大
[00:00:49 - 00:00:51] 我問大家北施大好還是哈士大好
[00:00:51 - 00:00:52] 你這還問嗎
[00:00:53 - 00:00:55] 北施大北京市方大學是
[00:00:55 - 00:00:56] 咱們中國市方大學裡邊
[00:00:56 - 00:00:57] 最牛的最厲害的
[00:00:57 - 00:00:58] 對不對
[00:00:58 - 00:00:58] 排名第一的學校
[00:00:58 - 00:00:59] 對不對
[00:00:59 - 00:01:00] 哈爾濱市方大學也不錯
[00:01:00 - 00:01:03] 但是叫北施大肯定是有差距的
[00:01:03 - 00:01:05] 咱們隨便舉幾個例子 社會人學科的例子
[00:01:05 - 00:01:08] 你說 各位同學 你在哈士大學中文
[00:01:08 - 00:01:11] 你寫的文章一定會比北施大同學寫的差嗎
[00:01:12 - 00:01:13] 那不一定吧
[00:01:13 - 00:01:17] 你在哈士大學外語 你說的外語老外聽不聽得懂
[00:01:18 - 00:01:19] 他也聽得懂吧
[00:01:19 - 00:01:22] 你在哈士大學歷史 你學的康熙是乾隆的爺爺
[00:01:22 - 00:01:24] 你在北大學的是反的嗎
[00:01:24 - 00:01:26] 你學的是一樣的
[00:01:26 - 00:01:27] 大家發現了嗎
[00:01:27 - 00:01:29] 這種社會人學科它的專業排名
