BV号：BV1XBwCzAEMs
标题：BV1XBwCzAEMs
链接：https://www.bilibili.com/video/BV1XBwCzAEMs
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-04-03 00:00:52

[00:00:00 - 00:00:01] 有的好的专科
[00:00:01 - 00:00:03] 那分数线比公办本科分都高
[00:00:03 - 00:00:06] 要是孩子成绩刚好能上二本
[00:00:06 - 00:00:08] 是选最差的本科还是专科
[00:00:08 - 00:00:10] 你要是刚好能上二本的话
[00:00:10 - 00:00:11] 最好的大专
[00:00:11 - 00:00:12] 你分也不够
[00:00:12 - 00:00:14] 你们不要以为专科分
[00:00:14 - 00:00:15] 就一定会比本科分
[00:00:15 - 00:00:16] 你能有的好的专科
[00:00:16 - 00:00:19] 那分数线比公办本科分都高
[00:00:19 - 00:00:21] 女生学数据科学
[00:00:21 - 00:00:22] 与大数据技术怎么样
[00:00:22 - 00:00:24] 没问题
[00:00:24 - 00:00:25] 我跟各位女生这样说
[00:00:25 - 00:00:28] 你的孩子只要能通过学历壁垒的话
[00:00:28 - 00:00:30] 其实什么专业就业都没有问题
[00:00:30 - 00:00:30] 但是如果说老师
[00:00:30 - 00:00:31] 我从本科学毕业
[00:00:31 - 00:00:33] 直接就业的准备这张
[00:00:33 - 00:00:34] 确实是有些专业本科学毕业
[00:00:34 - 00:00:35] 它的就业环境
[00:00:35 - 00:00:36] 它不太适合女生
[00:00:36 - 00:00:37] 那你说老师
[00:00:37 - 00:00:39] 我能不能学数据科学大师剧
[00:00:39 - 00:00:40] 放进去
[00:00:40 - 00:00:41] 随便学 没问题
[00:00:41 - 00:00:44] 环境科学和环境工程有什么区别
[00:00:44 - 00:00:45] 环境工程呢
[00:00:45 - 00:00:48] 是用工程学的方法解决环境问题
[00:00:48 - 00:00:50] 比如说我怎么把醋变成水
[00:00:50 - 00:00:50] 对吧
[00:00:50 - 00:00:52] 或者说把这个污水变成能喝的
[00:00:52 - 00:00:53] 这叫环境工程
[00:00:53 - 00:00:54] 那环境科学是什么呢
[00:00:54 - 00:00:56] 环境询学它本质叫做环境评价
[00:00:56 - 00:01:01] 在施工共产当中可能会对周围的生态造成一定的影响
[00:01:01 - 00:01:05] 那我这个影响是不是大到你这个工程就必须得停
[00:01:05 - 00:01:06] 能不能做这个工程
[00:01:06 - 00:01:07] 这个叫做环凭
[00:01:07 - 00:01:08] 这叫环可
[00:01:08 - 00:01:10] 所以说一个是学工程学的方法解决环境问题
[00:01:10 - 00:01:11] 一个是做环境评价
[00:01:11 - 00:01:12] 两个还是不一样的
