BV号：BV1cJ411j7oG
标题：BV1cJ411j7oG
链接：https://www.bilibili.com/video/BV1cJ411j7oG
识别语言：zh
语言置信度：1
分段数：91
生成时间：2026-04-04 03:44:54

[00:00:00 - 00:00:01] 教授我面試要注意點什麼呢
[00:00:01 - 00:00:03] 我們教大家面試三法寶
[00:00:04 - 00:00:05] 面試三法寶同學
[00:00:05 - 00:00:06] 你爸我這三招學會了
[00:00:06 - 00:00:08] 你面試肯定能通過
[00:00:08 - 00:00:09] 不通過你來找我了
[00:00:09 - 00:00:09] 好吧
[00:00:09 - 00:00:10] 面試三法寶同學
[00:00:10 - 00:00:11] 首先第一招
[00:00:11 - 00:00:13] 同學面試的時候一定要怎麼樣
[00:00:13 - 00:00:14] 自信
[00:00:16 - 00:00:17] 自信知道嗎
[00:00:18 - 00:00:20] 我行你們都不行
[00:00:20 - 00:00:21] 知道嗎
[00:00:21 - 00:00:22] 要有這種收我齊齊的感覺
[00:00:22 - 00:00:23] 面試遇到這麼一同學
[00:00:23 - 00:00:25] 這哥們過來問你了
[00:00:25 - 00:00:26] 同學你是哪個學校過來的
[00:00:26 - 00:00:27] 你倒挺實在
[00:00:27 - 00:00:29] 你倒實話實說了
[00:00:29 - 00:00:30] 我辅船十游学院的
[00:00:30 - 00:00:32] 他说我是东北大学的
[00:00:33 - 00:00:35] 小样的他恶心你是吧
[00:00:35 - 00:00:36] 有的人就被恶心到了
[00:00:36 - 00:00:38] 有的人说是他东北大学的
[00:00:38 - 00:00:39] 我辅船十游学院的
[00:00:39 - 00:00:40] 老师肯定要他别人要我
[00:00:40 - 00:00:42] 你这么想就错了你知道吧
[00:00:42 - 00:00:43] 你该怎么想
[00:00:43 - 00:00:45] 同学你看他一个东北大学的
[00:00:45 - 00:00:46] 你一个腐油的
[00:00:46 - 00:00:47] 你们两个考研考了一个分
[00:00:47 - 00:00:49] 你说谁应该害臊啊
[00:00:50 - 00:00:51] 是不是他呀
[00:00:51 - 00:00:52] 他恶心就恶意他
[00:00:52 - 00:00:53] 能明白吗
[00:00:53 - 00:00:54] 他说过来跟你说哎呀我东大的
[00:00:54 - 00:00:55] 同学你东大的
[00:00:55 - 00:00:56] 你一个东大的
[00:00:56 - 00:00:57] 跟我一个腐油的考一个分
[00:00:57 - 00:00:59] 你还有脸了你
[00:00:59 - 00:01:00] 我要你我 糟死了
[00:01:00 - 00:01:02] 老子在东大糟 糟了我眼了
[00:01:02 - 00:01:04] 你还考研丢人不丢人
[00:01:04 - 00:01:05] 我呸是不是
[00:01:05 - 00:01:06] 你说说说对我没有道理
[00:01:07 - 00:01:07] 对不对
[00:01:08 - 00:01:09] 他明显更害臊对不对
[00:01:09 - 00:01:11] 而同学另外咱们终究古话
[00:01:11 - 00:01:13] 说的就是给你听的叫什么
[00:01:13 - 00:01:14] 叫光脚吧不怕
[00:01:15 - 00:01:16] 穿鞋的咱就是那个
[00:01:16 - 00:01:18] 光脚的同学你怕什么
[00:01:19 - 00:01:20] 是不是同学我就这么说
[00:01:20 - 00:01:22] 你考大连理文明口上
[00:01:22 - 00:01:23] 调技你能接受吗
[00:01:24 - 00:01:26] 给你调技到沈阳
[00:01:26 - 00:01:27] 香港恒临大学能接受吗
[00:01:27 - 00:01:29] 调及到史洋理工
[00:01:30 - 00:01:31] 调及回府邮
[00:01:32 - 00:01:33] 反正老子待四年了
[00:01:33 - 00:01:35] 大不了再待三年了对吧
[00:01:35 - 00:01:37] 你调及府邮你勉强可以接受
[00:01:37 - 00:01:38] 他一个东北大学的命考上
[00:01:38 - 00:01:40] 调及到你府邮他能接受吗
[00:01:41 - 00:01:43] 他装死他你知道吧
[00:01:43 - 00:01:44] 所以他说如果我是你
[00:01:44 - 00:01:45] 我就主动出击
[00:01:45 - 00:01:46] 你别等他找你
[00:01:46 - 00:01:47] 你找他去你知道吧
[00:01:47 - 00:01:48] 一问他
[00:01:48 - 00:01:48] 哥们儿
[00:01:49 - 00:01:50] 你哪个学校过来的
[00:01:50 - 00:01:51] 他说我东北大学的
[00:01:51 - 00:01:52] 你怎么说
[00:01:52 - 00:01:53] 同学
[00:01:53 - 00:01:55] 你说你考不上课怎么办
[00:01:55 - 00:01:56] 也是不是
[00:01:56 - 00:01:58] 你要是考不上的话
[00:01:58 - 00:01:59] 你可就能挑剔了
[00:01:59 - 00:02:00] 你找好挑剔的学校了吗
[00:02:00 - 00:02:02] 去我们府有啊是吧
[00:02:02 - 00:02:04] 我们大府是老牛逼来是不是
[00:02:04 - 00:02:05] 同学你可发现
[00:02:05 - 00:02:06] 他一个东大的
[00:02:06 - 00:02:07] 你一个府有的
[00:02:07 - 00:02:09] 你们两个谁更害怕考不上
[00:02:09 - 00:02:10] 是不是他呀
[00:02:10 - 00:02:12] 那你怕他干什么呀
[00:02:12 - 00:02:13] 自信了吧这回
[00:02:13 - 00:02:14] 一档自信知道吧
