BV号：BV1eJ411p7ZQ
标题：BV1eJ411p7ZQ
链接：https://www.bilibili.com/video/BV1eJ411p7ZQ
识别语言：zh
语言置信度：1
分段数：375
生成时间：2026-04-04 03:33:59

[00:00:02 - 00:00:03] 你得去去去去
[00:00:03 - 00:00:04] 我现在讲我刚考完这个考试
[00:00:04 - 00:00:05] 我到你的律所
[00:00:05 - 00:00:07] 我应聘的职位是什么呢
[00:00:07 - 00:00:08] 应该是律师助
[00:00:08 - 00:00:09] 我都已经过了
[00:00:09 - 00:00:10] 你得去我怎么还对你的呢
[00:00:10 - 00:00:12] 那因为你刚刚过嘛
[00:00:12 - 00:00:14] 每三年一个反思
[00:00:14 - 00:00:15] 就是第一个三年
[00:00:15 - 00:00:16] 你叫反思一下
[00:00:16 - 00:00:18] 是不是还适合做律师
[00:00:18 - 00:00:19] 你要是不适合
[00:00:19 - 00:00:21] 你要觉得我不开心
[00:00:21 - 00:00:23] 那你可以去转到其他的行里
[00:00:23 - 00:00:26] 你可以去去说投资是吧
[00:00:26 - 00:00:27] 去去去去
[00:00:27 - 00:00:34] 大家好
[00:00:34 - 00:00:36] 欢迎收看小型独逼脱口秀大开演戒
[00:00:36 - 00:00:38] 我是让学习变得更快乐的张雪峰老师
[00:00:38 - 00:00:40] 关注大开眼界
[00:00:40 - 00:00:41] 了解更多职业背后的故事
[00:00:41 - 00:00:43] 为你的选择提供更多的帮助
[00:00:43 - 00:00:45] 我们本期讲到的嘉宾呢依然说
[00:00:45 - 00:00:47] 我们通常律师事务所的合伙人
[00:00:47 - 00:00:48] 我们的工程老师
[00:00:48 - 00:00:50] 光老师跟大家打个招呼吧
[00:00:50 - 00:00:51] 哈喽 大家好
[00:00:51 - 00:00:51] 来 光老师
[00:00:51 - 00:00:52] 我们上期谈到了关于
[00:00:52 - 00:00:55] 就是考这个律师团阅资格证
[00:00:55 - 00:00:58] 我想替这个广大学法律团阅问一下
[00:00:58 - 00:01:00] 我考完这个律师团阅资格证
[00:01:00 - 00:01:01] 我过了以后
[00:01:01 - 00:01:04] 我就可以去当一个律师了吗
[00:01:04 - 00:01:07] 首先你得被一个律所聘用
[00:01:07 - 00:01:08] 我刚考完这个考试
[00:01:08 - 00:01:09] 我到你的律所
[00:01:09 - 00:01:11] 我应聘的职位是什么呢
[00:01:11 - 00:01:12] 应该是律师助理
[00:01:12 - 00:01:13] 我都已经过了那个任务
[00:01:13 - 00:01:14] 怎么还助理了呢
[00:01:14 - 00:01:15] 因为你刚刚过
[00:01:15 - 00:01:17] 刚刚过这个任务
[00:01:17 - 00:01:19] 你毕业了之后
[00:01:19 - 00:01:22] 你跟律所签订了劳动合同以后
[00:01:22 - 00:01:26] 你就有资格拿着你的法律
[00:01:26 - 00:01:27] 从业资格证
[00:01:27 - 00:01:29] 然后去当实习律师
[00:01:29 - 00:01:31] 就是你在你去申请做实习律师
[00:01:31 - 00:01:33] 就是实习律师
[00:01:33 - 00:01:35] 对 时期律师大概要有一年的时间
[00:01:35 - 00:01:37] 这个比那律师助理好听多了
[00:01:37 - 00:01:38] 好不好 助理律师好听多了
[00:01:38 - 00:01:42] 但实际上时期律师在所内的位置还是助理
[00:01:42 - 00:01:43] 还是律师助理
[00:01:43 - 00:01:47] 然后的话我当开始当时期律师
[00:01:47 - 00:01:49] 当时期律师以后我就可以当律师了
[00:01:49 - 00:01:52] 时期律师的话要有一年多的时间
[00:01:52 - 00:01:54] 这个是司法局和律协规定的
[00:01:54 - 00:01:57] 就是要有一年的时期期
[00:01:57 - 00:01:58] 你申请
[00:01:58 - 00:02:00] 你申请之后要有一年
[00:02:00 - 00:02:01] 不过是谁来说的算吗
[00:02:01 - 00:02:02] 这个是要考核的
[00:02:02 - 00:02:03] 还要考
[00:02:03 - 00:02:05] 对 要有一个培训
[00:02:05 - 00:02:07] 目前北京市围棋一个月的培训
[00:02:07 - 00:02:10] 在一年内要选择
[00:02:10 - 00:02:12] 选择一个月是绿鞋和司法局组织的
[00:02:12 - 00:02:14] 是绿鞋和司法局类组织
[00:02:14 - 00:02:14] 对
[00:02:14 - 00:02:15] 要有一个培训
[00:02:15 - 00:02:17] 但是我考过的一个律师冲击资格证
[00:02:17 - 00:02:19] 我还得再考一个
[00:02:19 - 00:02:20] 这个相对来说比较简单
[00:02:20 - 00:02:24] 只要你在所内一直做着业务
[00:02:24 - 00:02:25] 不管你是做诉讼也好
[00:02:25 - 00:02:26] 做飞速也好
[00:02:26 - 00:02:27] 你有自己的业务
[00:02:27 - 00:02:30] 然后考试是相对来说比较简单
[00:02:30 - 00:02:33] 你刚才不是说我是助理律师
[00:02:33 - 00:02:33] 对助理
[00:02:33 - 00:02:35] 那我又有业务
[00:02:35 - 00:02:38] 你助理的话你会协助律师去做业务
[00:02:38 - 00:02:39] 他的业务也算
[00:02:39 - 00:02:40] 对也算
[00:02:40 - 00:02:40] 对
[00:02:40 - 00:02:43] 你不管是你是诉讼的话
[00:02:43 - 00:02:46] 你可能会协助你的主办律师开庭
[00:02:46 - 00:02:46] 对吧
[00:02:46 - 00:02:48] 你也有机会站在法庭上
[00:02:48 - 00:02:49] 然后我过了一年半以后
[00:02:49 - 00:02:50] 我就可以去家
[00:02:50 - 00:02:51] 对
[00:02:51 - 00:02:52] 你通过之后
[00:02:52 - 00:02:54] 然后会给你发一个
[00:02:54 - 00:02:56] 就是职业律师的质
[00:02:56 - 00:02:56] 职业律师
[00:02:56 - 00:02:57] 对
[00:02:57 - 00:02:59] 我通过这个我才得
[00:02:59 - 00:03:01] 原来我看到完那个字还不算是吧
[00:03:01 - 00:03:03] 对 你没有通过这个实习期的话
[00:03:03 - 00:03:06] 你是没法独立的去代理案件
[00:03:06 - 00:03:07] 没法去签字的
[00:03:07 - 00:03:09] 那我有这个 我现在
[00:03:09 - 00:03:10] 有律师证的可以签字了
[00:03:10 - 00:03:11] 可以签字了
[00:03:11 - 00:03:13] 我说可以接了是吧
[00:03:13 - 00:03:14] 接案子了
[00:03:14 - 00:03:15] 理论上是可以接案子了
[00:03:15 - 00:03:17] 我现在我有这个律师
[00:03:17 - 00:03:18] 职业律师的这个证了
[00:03:19 - 00:03:21] 我也实习过了 我也实习过了
[00:03:21 - 00:03:22] 你必须挂在一个锁里
[00:03:22 - 00:03:23] 必须挂在一个锁里
[00:03:23 - 00:03:25] 对 你必须在一个律锁里
[00:03:25 - 00:03:25] 然后我才能去
[00:03:25 - 00:03:28] 你才能够以律师的身份出去接案子
[00:03:28 - 00:03:33] 而你收的律师费一定要进到所的账户
[00:03:33 - 00:03:35] 就不能进到我客人
[00:03:35 - 00:03:37] 律所要给客户开发票的
[00:03:38 - 00:03:39] 那一定要开发票的
[00:03:39 - 00:03:41] 是吧
[00:03:42 - 00:03:43] 我以为是
[00:03:43 - 00:03:44] 我假如找你来这个小伙子给你
[00:03:44 - 00:03:46] 对 从这儿给我了
[00:03:46 - 00:03:47] 对
[00:03:47 - 00:03:48] 不是这个样子的
[00:03:48 - 00:03:48] 不是这样的
[00:03:48 - 00:03:51] 假如我成为一个律师了
[00:03:51 - 00:03:55] 然后您是通商律师书所的合伙人
[00:03:55 - 00:03:55] 对
[00:03:55 - 00:03:57] 那怎么才能成为合伙人呢
[00:03:57 - 00:04:01] 或者说合伙人的所谓的
[00:04:01 - 00:04:02] 那我把钱给你锁了
[00:04:02 - 00:04:03] 那分多少钱呢
[00:04:03 - 00:04:05] 这个怎么分配呢
[00:04:05 - 00:04:09] 每个锁的收入分配机是不一样
[00:04:09 - 00:04:11] 比如说我想成为咱们锁合伙人
[00:04:11 - 00:04:13] 我得经过怎样的力量
[00:04:13 - 00:04:16] 首先我目前是分资合伙人
[00:04:16 - 00:04:20] 工资合伙人的意思是我还是拿工资的
[00:04:20 - 00:04:23] 我的上级是有权益合伙人
[00:04:23 - 00:04:24] 是有
[00:04:24 - 00:04:24] 五分的
[00:04:24 - 00:04:29] 對 是有更多權益的這個很資深的這個律師
[00:04:29 - 00:04:31] 合偶人在上面
[00:04:31 - 00:04:34] 我的底下應該是律師職業律師
[00:04:34 - 00:04:35] 對 他就不是合偶人了
[00:04:35 - 00:04:36] 對 他們就不是合偶人
[00:04:36 - 00:04:37] 職業律師律師助理
[00:04:37 - 00:04:39] 這個是基本的一個層級
[00:04:39 - 00:04:43] 像您剛才說的一個畢業生到了律所
[00:04:43 - 00:04:45] 首先是律師助理
[00:04:45 - 00:04:48] 那你律師助理可能會做一到兩年
[00:04:48 - 00:04:51] 同時你在外面所會做這個實習律師
[00:04:51 - 00:04:54] 相當於你在外面的身份是一個實習律師
[00:04:54 - 00:04:57] 你實際上在所內的title是一個律師助理
[00:04:57 - 00:05:00] 等你拿到了職業證之後
[00:05:00 - 00:05:01] 你可能在兩年之後了
[00:05:01 - 00:05:03] 你會就轉成職業律師
[00:05:03 - 00:05:05] 你轉成律師的名片上就會印著
[00:05:05 - 00:05:06] 印的是律師
[00:05:06 - 00:05:12] 律師可能要做一段時間吧
[00:05:12 - 00:05:13] 你少的話
[00:05:13 - 00:05:16] 咱們國家的法律規定
[00:05:16 - 00:05:20] 法律規定是如果你想成為司法局註冊的合夥人
[00:05:20 - 00:05:22] 必須要職業三年以上
[00:05:22 - 00:05:22] 最低三年
[00:05:22 - 00:05:23] 最低三年
[00:05:23 - 00:05:27] 那你想你用一到两年的时间拿到这个律师证
[00:05:28 - 00:05:31] 然后你要再职业三年基本上的五到六年
[00:05:31 - 00:05:33] 五到六年你可以升侯伯人
[00:05:33 - 00:05:34] 你可以在司法局去注册
[00:05:34 - 00:05:37] 就司法局的注册上你是一个partner
[00:05:38 - 00:05:40] 那我是否能成为一个侯伯人
[00:05:40 - 00:05:42] 是司法局决定的还是
[00:05:42 - 00:05:44] 还是律所自己来决定
[00:05:44 - 00:05:44] 律所自己
[00:05:44 - 00:05:45] 对
[00:05:45 - 00:05:47] 你在满足了司法局最低的要求之后
[00:05:47 - 00:05:49] 就是律所自己所的侯伯人开会
[00:05:49 - 00:05:52] 我今年就是我想申请
[00:05:52 - 00:05:54] 我举手我申请我写报告
[00:05:54 - 00:05:56] 给这个所立的管委会也好
[00:05:56 - 00:05:58] 有的合伙有的这个律所是
[00:05:58 - 00:06:00] 是合伙人大会
[00:06:00 - 00:06:02] 有的是管委会这个不一样的体制
[00:06:02 - 00:06:04] 就是你写一个报告
[00:06:04 - 00:06:06] 大家通常会这样
[00:06:06 - 00:06:08] 那宫上老师你看现在这么多律政剧啊
[00:06:08 - 00:06:10] 你觉得律政剧当中哪一颗
[00:06:10 - 00:06:12] 律政剧或者是哪一个角色
[00:06:12 - 00:06:15] 能够代表着像你也在这种成长情地呢
[00:06:15 - 00:06:17] 实话实说是没有
