BV号：BV1jq4y1E7cN
标题：BV1jq4y1E7cN
链接：https://www.bilibili.com/video/BV1jq4y1E7cN
识别语言：zh
语言置信度：1
分段数：23
生成时间：2026-04-04 00:04:34

[00:00:00 - 00:00:02] 新闻学总结一下就报道新闻写新闻
[00:00:02 - 00:00:03] 我给大家举个例子
[00:00:03 - 00:00:05] 就前两天我搬家那个事大家发现了吗
[00:00:05 - 00:00:06] 我给你说我这个人啊
[00:00:06 - 00:00:07] 就那段时间
[00:00:07 - 00:00:09] 天天在网上吃自己的瓜
[00:00:10 - 00:00:11] 知道吗
[00:00:11 - 00:00:12] 我就看那帮人怎么写我你知道吗
[00:00:12 - 00:00:14] 我咋用我都了解我
[00:00:14 - 00:00:17] 我为什么搬到苏陆那帮人在网上一顿分析啊
[00:00:17 - 00:00:17] 知道吧
[00:00:17 - 00:00:20] 有分析说是不是积分落户不够啊
[00:00:20 - 00:00:22] 是不是这孩子混得不好买不起房啊
[00:00:22 - 00:00:24] 还是苏陆给钱了啊
[00:00:24 - 00:00:26] 这这好像他们都知道是的你知道吧
[00:00:26 - 00:00:28] 我就成天在网上我就看这帮傻子写我
[00:00:28 - 00:00:29] 知道吧
[00:00:29 - 00:00:31] 有的写的还有点烤苦
[00:00:31 - 00:00:33] 有的写的它们完全不烤苦你知道吧
[00:00:33 - 00:00:34] 但你也不好反驳它
[00:00:34 - 00:00:36] 你看他们干的事其实就是新人学干的事
[00:00:36 - 00:00:38] 他们要针对一个事情去写东西
[00:00:38 - 00:00:39] 写的角度不同
