BV号：BV1oh4y187r1
标题：BV1oh4y187r1
链接：https://www.bilibili.com/video/BV1oh4y187r1
识别语言：zh
语言置信度：1
分段数：34
生成时间：2026-04-03 13:40:20

[00:00:00 - 00:00:00] 你好
[00:00:02 - 00:00:03] 张老师好
[00:00:03 - 00:00:05] 我怎么觉得你占我便宜呢
[00:00:07 - 00:00:08] 那个老师好
[00:00:08 - 00:00:10] 我是新高一的学生
[00:00:10 - 00:00:12] 周五我先想问一下就是
[00:00:12 - 00:00:13] 我这个选科
[00:00:13 - 00:00:15] 具体该怎么选
[00:00:15 - 00:00:17] 有点迷茫
[00:00:17 - 00:00:19] 不知道是误化生还是误化症
[00:00:19 - 00:00:21] 你误化肯定必选了是吧
[00:00:21 - 00:00:22] 对 误化肯定必选
[00:00:22 - 00:00:26] 你将来学医和考军警
[00:00:26 - 00:00:27] 你更倾向于哪吧
[00:00:27 - 00:00:31] 你叫倾向于就是军警类的
[00:00:31 - 00:00:32] 那证
[00:00:32 - 00:00:33] 但是物化证的话
[00:00:33 - 00:00:34] 他现在就是没有中点班
[00:00:34 - 00:00:35] 只有一个班
[00:00:35 - 00:00:37] 然后30多个人也就
[00:00:37 - 00:00:38] 物化生可能班多对吧
[00:00:38 - 00:00:39] 对6个班
[00:00:39 - 00:00:40] 然后有中点班
[00:00:40 - 00:00:42] 那同学我问一下
[00:00:42 - 00:00:43] 你如果要有重的
[00:00:43 - 00:00:44] 你要冲的中点班去的话
[00:00:44 - 00:00:45] 你能上中点班吗
[00:00:45 - 00:00:46] 目前在
[00:00:46 - 00:00:47] 目前在是吧
[00:00:47 - 00:00:47] 那就物化生
[00:00:47 - 00:00:49] 物化生
[00:00:49 - 00:00:51] 对好的
[00:00:51 - 00:00:53] 然后就是我在高中的时候
[00:00:53 - 00:00:56] 就是需要是刷特别多的体吗
