BV号：BV1W14y1M7Lw
标题：BV1W14y1M7Lw
链接：https://www.bilibili.com/video/BV1W14y1M7Lw
识别语言：zh
语言置信度：1
分段数：45
生成时间：2026-04-03 16:29:35

[00:00:00 - 00:00:01] 电力确实稳定
[00:00:01 - 00:00:03] 但是你想撑死撑不着
[00:00:03 - 00:00:04] 它不可能成正
[00:00:04 - 00:00:06] 稳定跟收入一定是成反比的
[00:00:06 - 00:00:08] 这个就需要你自己心态去把握好
[00:00:08 - 00:00:09] 就比如说
[00:00:09 - 00:00:10] 你很有可能你650分
[00:00:10 - 00:00:11] 到最后的时候
[00:00:11 - 00:00:13] 你去了一个电力系统
[00:00:13 - 00:00:14] 但是电力系统的话
[00:00:14 - 00:00:15] 一年二三十
[00:00:15 - 00:00:16] 了不得了
[00:00:16 - 00:00:16] 你还得分局
[00:00:16 - 00:00:18] 电力的话在不同单位
[00:00:18 - 00:00:19] 它不一样
[00:00:19 - 00:00:20] 江苏电局
[00:00:20 - 00:00:22] 叫宇宙第一局
[00:00:22 - 00:00:23] 我不知道有电力系统干的
[00:00:23 - 00:00:25] 张老师说的对不对
[00:00:25 - 00:00:26] 地位就这么高
[00:00:26 - 00:00:27] 你其他地方的话
[00:00:27 - 00:00:27] 基本上
[00:00:27 - 00:00:28] 你跟江苏电网的
[00:00:28 - 00:00:30] 相比是没法比的
[00:00:30 - 00:00:32] 但即使你是江苏电网
[00:00:32 - 00:00:34] 一年也就是二三十
[00:00:34 - 00:00:36] 他不可能有说收入成特别大的突破
[00:00:36 - 00:00:37] 结果有一天你发现
[00:00:37 - 00:00:38] 你有一个同学
[00:00:38 - 00:00:40] 他比你分低
[00:00:40 - 00:00:41] 但是他收入比你高
[00:00:41 - 00:00:43] 那你能接受这个事实
[00:00:43 - 00:00:44] 那你就可以
[00:00:44 - 00:00:45] 你要不能接受这个事实的话
[00:00:45 - 00:00:46] 那你最好就别抱这种
[00:00:46 - 00:00:48] 所以说的话看你自己的心态
[00:00:48 - 00:00:48] 如果说你说老实
[00:00:48 - 00:00:49] 我就是求稳定
[00:00:49 - 00:00:50] 那OK
[00:00:50 - 00:00:51] 那这个选择就没有问题
[00:00:51 - 00:00:53] 大家一定要学会一个事
[00:00:53 - 00:00:55] 就是看看自己有什么
[00:00:55 - 00:00:57] 而不是要看自己没有什么
[00:00:57 - 00:00:58] 因为你没有的东西
[00:00:58 - 00:00:59] 多了
