BV号：BV1kS411A7kq
标题：BV1kS411A7kq
链接：https://www.bilibili.com/video/BV1kS411A7kq
识别语言：zh
语言置信度：1
分段数：80
生成时间：2026-04-03 09:30:29

[00:00:00 - 00:00:03] 咱们国家这些大学在起名上都是有讲究的
[00:00:03 - 00:00:05] 就比如说以诚圣命名的大学
[00:00:05 - 00:00:08] 这种学校的实力资源基本都比较靠谱
[00:00:08 - 00:00:10] 当地给到的支持也很多位
[00:00:10 - 00:00:14] 比如今天要讲到的杨州大学就很值得推荐
[00:00:14 - 00:00:16] 杨大杨大那肯定是在杨州
[00:00:16 - 00:00:18] 杨州是历史文化名城
[00:00:18 - 00:00:19] 杨大历史也很有趣
[00:00:19 - 00:00:22] 1902年建校妥妥的百年老校
[00:00:22 - 00:00:25] 现在它也是江苏省和教育部农业农村部的
[00:00:25 - 00:00:29] 共建高校还是江苏省署重点综合性大学
[00:00:29 - 00:00:30] 整体实力没话说
[00:00:30 - 00:00:31] 另外呢
[00:00:31 - 00:00:34] 杨大师全国首批博士硕士学位授予单位
[00:00:34 - 00:00:35] 目前呢
[00:00:35 - 00:00:39] 已经成了咱们国家硕博点最多的双肥院校了
[00:00:39 - 00:00:39] 总共啊
[00:00:39 - 00:00:43] 有21个一级学科博士学位授权点
[00:00:43 - 00:00:46] 50个一级学科硕士学位授权点
[00:00:46 - 00:00:48] 三个博士专业学位类别
[00:00:48 - 00:00:51] 以及34个硕士专业学位类别
[00:00:51 - 00:00:53] 再加上22个博士后流动战
[00:00:53 - 00:00:55] 在升学上优势很大
[00:00:55 - 00:00:56] 每年呀
[00:00:56 - 00:00:59] 都有很多学生保养到清北这大
[00:00:59 - 00:01:00] 上交等985
[00:01:00 - 00:01:00] 而且
[00:01:00 - 00:01:01] 據說
[00:01:01 - 00:01:02] 他獲批薄細點的時候
[00:01:02 - 00:01:03] 還有一段佳話
[00:01:03 - 00:01:05] 大家可以去網上搜一下
[00:01:05 - 00:01:08] 他深受批駁的故事
[00:01:08 - 00:01:11] 作為在全國率先進行合併半學的高校
[00:01:11 - 00:01:14] 養大的學科專業覆蓋面了也很廣
[00:01:14 - 00:01:15] 涵蓋13大學科門類
[00:01:15 - 00:01:17] 不管你是想學經濟法學
[00:01:17 - 00:01:19] 還是想學醫學交叉學科
[00:01:19 - 00:01:21] 在這你都能找到
[00:01:21 - 00:01:23] 而且現在他的農業科學
[00:01:23 - 00:01:25] 進入到了ESI的全球前1千分之一
[00:01:25 - 00:01:27] 12個學科是前1%
[00:01:27 - 00:01:31] 还有一个学科在最新的学科评估里边评到了A等
[00:01:31 - 00:01:34] 专业上像热门的计算机压电器临床医学
[00:01:34 - 00:01:36] 都是国家级一流本科专业
[00:01:36 - 00:01:39] 目前光国一流专业就41个
[00:01:39 - 00:01:41] 另外它还有6个国家级特色专业
[00:01:41 - 00:01:44] 28个专业通过了工程教育
[00:01:44 - 00:01:47] 临床医学及师范类专业认证和评估
[00:01:47 - 00:01:48] 汉语原文学、化学
[00:01:48 - 00:01:53] 两个专业还获批了省级基础学科8基地
[00:01:53 - 00:01:55] 当然了课程上它也不赖
[00:01:55 - 00:01:59] 有39门国家级、一流本科课程和14门国家级精英课程
[00:01:59 - 00:02:03] 整个学科专业课程那是既有量又有致
[00:02:03 - 00:02:04] 第一次摆在这儿
[00:02:04 - 00:02:07] 扬大毕业生的就业率也很靠谱
[00:02:07 - 00:02:08] 每年都在95%以上
[00:02:08 - 00:02:10] 硬实力讲的差不多了
[00:02:10 - 00:02:11] 咱们下面再给大家讲讲
[00:02:11 - 00:02:13] 扬大今年招生上的一些变化
[00:02:13 - 00:02:16] 一来它在今年不仅新增了数字经济
[00:02:16 - 00:02:19] 农业智能装备工程两个专业
[00:02:19 - 00:02:20] 还新增了翻译家人工智能
[00:02:20 - 00:02:22] 双学式学位项目
[00:02:22 - 00:02:25] 再一个呢他在省内的招生计划增加了400多个
[00:02:25 - 00:02:28] 本省同学上好大学的机会又多了
[00:02:28 - 00:02:31] 今年扬大的招生专业拥有104个
[00:02:31 - 00:02:35] 普通类本科批次专业组设置的非常丰富
[00:02:35 - 00:02:36] 划分呢也很细
[00:02:36 - 00:02:38] 像大电子信息类
[00:02:38 - 00:02:39] 临床医学
[00:02:39 - 00:02:42] 师范法学类等等都有专门对应的专业组
[00:02:42 - 00:02:46] 让不同分数段的考生呢都能够根据自己的情况来进行选择
[00:02:46 - 00:02:48] 组内的专业特度呢也比较均衡
[00:02:48 - 00:02:49] 完全可以放心抱
[00:02:49 - 00:02:51] 总的来说像扬大这种
[00:02:51 - 00:02:54] 有底韻 有实力 有前景的学校
[00:02:54 - 00:02:55] 在他这个分数段里边
[00:02:55 - 00:02:57] 确实是个不错的选择
[00:02:57 - 00:02:59] 尤其是我们江苏的同学多关注一下
[00:02:59 - 00:03:00] 没毛病
