BV号：BV1dA411F7RQ
标题：BV1dA411F7RQ
链接：https://www.bilibili.com/video/BV1dA411F7RQ
识别语言：zh
语言置信度：1
分段数：106
生成时间：2026-04-03 22:28:16

[00:00:00 - 00:00:02] 大家好 我上学习变得更快的张雪凤老师
[00:00:02 - 00:00:04] 那么昨天有一个非常重磅的新闻
[00:00:04 - 00:00:06] 就是我们国家有七个省分裕
[00:00:06 - 00:00:09] 不如了我们新高考的序列范围
[00:00:09 - 00:00:10] 那么包括黑东江省
[00:00:10 - 00:00:11] 吉林省
[00:00:11 - 00:00:12] 甘肃省
[00:00:12 - 00:00:12] 江西省
[00:00:12 - 00:00:13] 安徽省
[00:00:13 - 00:00:13] 贵州省
[00:00:13 - 00:00:14] 和广西省
[00:00:14 - 00:00:15] 七个省份
[00:00:15 - 00:00:18] 那么从今年入学新高一开始实行
[00:00:18 - 00:00:20] 新高考改革
[00:00:20 - 00:00:22] 那么这七个省份的家长
[00:00:22 - 00:00:23] 首先你不用慌
[00:00:23 - 00:00:24] 我给大家检测分析一下
[00:00:24 - 00:00:27] 就是新高考改革的心在哪里
[00:00:27 - 00:00:28] 它主要是心在三个方面
[00:00:28 - 00:00:30] 第一个方面就是课改
[00:00:30 - 00:00:33] 就是我们所谓的取消文理分科
[00:00:33 - 00:00:35] 很多很多省份
[00:00:35 - 00:00:36] 他新闻报出来说
[00:00:36 - 00:00:37] 为了吸引大家的眼球说
[00:00:37 - 00:00:39] 我省金钱心高好改革
[00:00:39 - 00:00:40] 要取消文理分科
[00:00:40 - 00:00:42] 那么取消文理分科以后的话
[00:00:42 - 00:00:43] 我们将怎么改呢
[00:00:43 - 00:00:46] 七个省份都将采取的是三加一加二
[00:00:46 - 00:00:48] 就是物理历史二选一
[00:00:48 - 00:00:48] 剩下四科
[00:00:48 - 00:00:49] 任选二
[00:00:49 - 00:00:51] 考生在少光中期间
[00:00:51 - 00:00:52] 就跟我们选文理一样
[00:00:52 - 00:00:56] 首先我在物理和历史当中选择一科
[00:00:56 - 00:00:58] 作为高考的考试科目
[00:00:58 - 00:01:02] 那你選的物理的話呢很明顯是偏原來的理科
[00:01:02 - 00:01:04] 選歷史的話很明顯偏原來的文科
[00:01:04 - 00:01:06] 那麼剩下的四科
[00:01:06 - 00:01:07] 化學生物
[00:01:07 - 00:01:08] 地理和政治
[00:01:08 - 00:01:09] 這四科您認選二
[00:01:09 - 00:01:11] 那麼在判券的時候的話
[00:01:11 - 00:01:12] 大家注意啊
[00:01:12 - 00:01:14] 這是我們的第二個變化
[00:01:14 - 00:01:15] 就是我們的判券變化
[00:01:15 - 00:01:20] 那麼由原來的眷面分改為叫做等級負分
[00:01:20 - 00:01:24] 其中英語 數學和語文
[00:01:24 - 00:01:25] 這三科滿分150
[00:01:25 - 00:01:28] 眷面分就是你的實際考分
[00:01:28 - 00:01:30] 物理和历史不管你选哪一个
[00:01:30 - 00:01:33] 眷面分也是你的实际考分
[00:01:33 - 00:01:37] 而剩下的四颗将根据该科目考生
[00:01:37 - 00:01:40] 所考的眷面成绩
[00:01:40 - 00:01:42] 在该科目所有省份
[00:01:42 - 00:01:43] 就咱们这个省
[00:01:43 - 00:01:46] 所有选这一颗的同学当中的百分比
[00:01:46 - 00:01:49] 来进行等级复分
[00:01:49 - 00:01:50] 就要变成了一个复分制
[00:01:50 - 00:01:52] 其实这个大家不用去担心
[00:01:52 - 00:01:56] 那么首先你在所谓的3加1加2的时候
[00:01:56 - 00:01:58] 你到底选哪一颗
[00:01:58 - 00:01:59] 这个我们回头会给大家讲
[00:01:59 - 00:02:02] 你怎么去选科更加科学一些
[00:02:02 - 00:02:04] 那么分这个东西啊
[00:02:04 - 00:02:04] 大家比较关心
[00:02:04 - 00:02:06] 但实际上你不用太担心
[00:02:06 - 00:02:08] 因为你最后查成绩的时候
[00:02:08 - 00:02:11] 其实负分已经负好了
[00:02:11 - 00:02:13] 你不用了解说它什么负分规则
[00:02:13 - 00:02:14] 我看懂那个公式
[00:02:14 - 00:02:15] 你很难看懂的
[00:02:15 - 00:02:16] 而最最大家应该关心的是
[00:02:16 - 00:02:18] 第三点就是我们报口志愿的时候
[00:02:18 - 00:02:21] 我们由原来的以院校为导向
[00:02:21 - 00:02:22] 专业校服从条计
[00:02:22 - 00:02:26] 变成有的省份是院校加专业组
[00:02:26 - 00:02:28] 有我的省份是
[00:02:28 - 00:02:29] 专业家院校模式
[00:02:29 - 00:02:32] 其中已经公布改革方案的几个省份
[00:02:32 - 00:02:33] 那么贵州省
[00:02:33 - 00:02:35] 说我们是专业家院校模式
[00:02:35 - 00:02:37] 那么我们黑龙江省
[00:02:37 - 00:02:38] 甘肃省
[00:02:38 - 00:02:39] 安徽省
[00:02:39 - 00:02:40] 江西省
[00:02:40 - 00:02:41] 还有我们的广西省
[00:02:41 - 00:02:43] 这几个省份是
[00:02:43 - 00:02:45] 叫院校家专业组模式
[00:02:45 - 00:02:46] 那么越交家专业组模式的话
[00:02:46 - 00:02:48] 将保留有限球技
[00:02:48 - 00:02:50] 而不会是无限球技
[00:02:50 - 00:02:52] 选科要求相同的专业为
[00:02:52 - 00:02:54] 同一个专业组
[00:02:54 - 00:02:56] 而吉林省就比较厉害了
[00:02:56 - 00:02:59] 吉林省說我們到底用什麼樣的方式報考
[00:02:59 - 00:03:02] 我們到時候報考您再說
[00:03:02 - 00:03:04] 這是唯一一個說到時候再說的省份
[00:03:04 - 00:03:06] 那麼具體的信息
[00:03:06 - 00:03:10] 我們回頭會省份給大家看這樣的直播和講座
[00:03:10 - 00:03:11] 幫大家打議解惑
[00:03:11 - 00:03:13] 大家不要慌
[00:03:13 - 00:03:16] 總之不管怎麼來萬變不利其中
[00:03:16 - 00:03:19] 咱們的孩子只要好好學習成績高
[00:03:19 - 00:03:21] 咱們選擇的餘益就很大
[00:03:21 - 00:03:23] 到時候報支院找我就可以了
