BV号：BV1cx411r76M
标题：BV1cx411r76M
链接：https://www.bilibili.com/video/BV1cx411r76M
识别语言：zh
语言置信度：1
分段数：344
生成时间：2026-04-04 12:44:04

[00:00:05 - 00:00:06] 啊? 搞啥呀?
[00:00:06 - 00:00:10] 上!
[00:00:10 - 00:00:12] 好,欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:15 - 00:00:18] 那有的人说张老师我怎么才能调剂成功呢?
[00:00:18 - 00:00:19] 我教你调剂成功的办法
[00:00:19 - 00:00:20] 听张老师的课
[00:00:20 - 00:00:21] 我保证你有研究生去上
[00:00:21 - 00:00:22] 知道吧?
[00:00:22 - 00:00:24] 教你怎么调剂成功啊?
[00:00:24 - 00:00:24] 同学记住
[00:00:24 - 00:00:26] 调剂要想成功的话
[00:00:26 - 00:00:26] 记住两个字
[00:00:26 - 00:00:27] 百分之百成功
[00:00:27 - 00:00:29] 第一个字叫做快
[00:00:29 - 00:00:30] 第二个字叫做很
[00:00:31 - 00:00:33] 哎,你又快又很
[00:00:33 - 00:00:33] 调剂就成功了
[00:00:33 - 00:00:34] 知道吧?
[00:00:34 - 00:00:35] 那老师什么叫做快呢?
[00:00:35 - 00:00:36] 我给你解释一下快
[00:00:36 - 00:00:37] 快说的就是
[00:00:37 - 00:00:42] 你比别人更早的知道哪个学校有条级名额能理解吧
[00:00:42 - 00:00:44] 你比如说咱们学校就五个条级名额
[00:00:44 - 00:00:46] 招满了就不招了
[00:00:46 - 00:00:48] 你再来没你的事了
[00:00:48 - 00:00:49] 先到先得能理解吗
[00:00:49 - 00:00:51] 你比如同学这边就跟你早上起来拉屎
[00:00:51 - 00:00:52] 干课一个道理知道吗
[00:00:52 - 00:00:53] 你早上起来去拉屎
[00:00:53 - 00:00:55] 厕所五个课每个课都有人
[00:00:55 - 00:00:56] 你去完了没你的课
[00:00:56 - 00:00:58] 你就得找别的厕所能理解吧
[00:00:58 - 00:00:59] 你看画操理不操
[00:00:59 - 00:01:00] 对不对
[00:01:00 - 00:01:01] 张老师的课就是这么通俗一种
[00:01:01 - 00:01:02] 对不对
[00:01:02 - 00:01:03] 快大家理解了吧
[00:01:03 - 00:01:04] 然后同学我再说狠啊
[00:01:04 - 00:01:05] 什么叫的狠呢
[00:01:05 - 00:01:07] 同学你会发现有的学校
[00:01:07 - 00:01:08] 他球技的时候
[00:01:08 - 00:01:11] 他球技比报名竞争还极利
[00:01:11 - 00:01:12] 要报名没人报
[00:01:12 - 00:01:14] 球技好多人想球
[00:01:14 - 00:01:15] 知道吧
[00:01:15 - 00:01:15] 有这样的学校
[00:01:15 - 00:01:16] 你比如咱们
[00:01:17 - 00:01:18] 不说咱们学校了
[00:01:21 - 00:01:21] 内蒙古
[00:01:23 - 00:01:25] 内蒙古有个学校叫内功大
[00:01:26 - 00:01:28] 内蒙古工业大学
