BV号：BV12J41137HW
标题：BV12J41137HW
链接：https://www.bilibili.com/video/BV12J41137HW
识别语言：zh
语言置信度：1
分段数：248
生成时间：2026-04-04 06:56:25

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:04] 欢迎大家收看本期的法律其实很好玩
[00:00:05 - 00:00:07] 小张他是一个普通的公司之公
[00:00:07 - 00:00:09] 有一天他突然资金的出了点小问题
[00:00:09 - 00:00:13] 急于向一个小额放贷公司借了一笔钱
[00:00:14 - 00:00:15] 这笔钱借过以后
[00:00:15 - 00:00:17] 按照他的还款的期限
[00:00:17 - 00:00:18] 小张并没有及时的还款
[00:00:18 - 00:00:21] 因为他可能还有一些其他的资金上的问题
[00:00:21 - 00:00:23] 但是他没有还款这个行为
[00:00:23 - 00:00:27] 却让小额新贷公司纠结了当地的四个人
[00:00:27 - 00:00:28] 夹移禀兵
[00:00:28 - 00:00:31] 家一饼的四个人第一天到小张家门口
[00:00:31 - 00:00:33] 判了个邮期,写了俩字,还钱
[00:00:33 - 00:00:36] 第二天把小张家所有人给堵上了
[00:00:36 - 00:00:39] 第三天进入到小张的家里边
[00:00:39 - 00:00:40] 在这吃,在这住
[00:00:40 - 00:00:43] 你要不还钱,今儿我们就不走了
[00:00:43 - 00:00:45] 甚至小张的孩子上学放学
[00:00:45 - 00:00:47] 这四个人都会派出去两个
[00:00:47 - 00:00:50] 跟着所谓的接送孩子放学
[00:00:50 - 00:00:52] 小张他能站到行为以后的话
[00:00:52 - 00:00:54] 其实是非常害怕的
[00:00:54 - 00:00:55] 他经过调查发现
[00:00:55 - 00:00:59] 同样在这家小额现代公司借过钱的小王和小李
[00:00:59 - 00:01:02] 都曾经让这四个人给骚扰过
[00:01:02 - 00:01:06] 那么小张就以这四个人是黑社会为由
[00:01:06 - 00:01:07] 向公安局官来举报了
[00:01:07 - 00:01:12] 那这四个人的行为到底是否构成黑社会的行为呢
[00:01:12 - 00:01:14] 我们本期讲的就是这个事
[00:01:23 - 00:01:24] 大家好
[00:01:24 - 00:01:26] 我上学习变得更快乐的张雪峰老师
[00:01:26 - 00:01:28] 欢迎大家收看本期的法律其实很好玩
[00:01:28 - 00:01:30] 那么我们今天请到的法律中家
[00:01:30 - 00:01:32] 依旧是我们的研途教育的千元老师
[00:01:32 - 00:01:33] 我们的颜雅小老师
[00:01:33 - 00:01:35] 袁老师给大家打个招呼
[00:01:35 - 00:01:36] 好 大家好
[00:01:36 - 00:01:36] 袁老师
[00:01:36 - 00:01:38] 你看本案当中
[00:01:38 - 00:01:40] 这四个人确实他这种行为是挺恶心的
[00:01:41 - 00:01:42] 而且说实话
[00:01:42 - 00:01:44] 我现实生活当中是见过这种人的
[00:01:44 - 00:01:46] 就是原来我们公司的那个
[00:01:46 - 00:01:48] 就我北京有个小公司
[00:01:48 - 00:01:49] 我原来北京小公司
[00:01:49 - 00:01:50] 旁边那个公司就是
[00:01:50 - 00:01:51] 欠人欠
[00:01:51 - 00:01:52] 就被人捧着什么
[00:01:52 - 00:01:54] 请把钱还钱
[00:01:54 - 00:01:55] 请把钱还钱
[00:01:55 - 00:01:56] 天津地义
[00:01:56 - 00:01:56] 然后的话
[00:01:56 - 00:01:58] 甚至还有的写了一个杀
[00:01:58 - 00:01:59] 什么这样的一个行为
[00:01:59 - 00:02:02] 这个行为是构成黑社会的犯罪吗
[00:02:02 - 00:02:04] 这个是这样
[00:02:04 - 00:02:06] 为什么要扫黑出恶呢
[00:02:06 - 00:02:10] 就是因为现在在实践中有一些人
[00:02:10 - 00:02:12] 他们已经形成了一种
[00:02:12 - 00:02:15] 大家感到恐惧的一种势力
[00:02:15 - 00:02:17] 一团一团的
[00:02:17 - 00:02:19] 那么这一批人可能四五个
[00:02:19 - 00:02:20] 也可能十几个
[00:02:20 - 00:02:21] 甚至可能三四十个
[00:02:21 - 00:02:24] 他们就已经能够对某些地方
[00:02:24 - 00:02:26] 形成一定的控制
[00:02:26 - 00:02:27] 那么像你说这种情况
[00:02:27 - 00:02:30] 假如说他们只是受估于那个小代公司
[00:02:30 - 00:02:32] 如果只受过于那个小代公司
[00:02:32 - 00:02:33] 他们四个
[00:02:33 - 00:02:36] 然后用这种下伙人的方法来要债
[00:02:36 - 00:02:40] 他有可能不构成黑社会性质的阻止
[00:02:40 - 00:02:42] 但是可以构成恶势力
[00:02:42 - 00:02:45] 恶势力比黑社会还差那么一点
[00:02:45 - 00:02:46] 但是如果这帮家伙
[00:02:46 - 00:02:48] 你知道有些地方是这样的
[00:02:48 - 00:02:49] 我是老大
[00:02:49 - 00:02:50] 我底下有一批人
[00:02:50 - 00:02:52] 我这一批人是干什么的
[00:02:52 - 00:02:54] 就靠帮人讨债过日子的
[00:02:54 - 00:02:55] 有这种公司
[00:02:55 - 00:02:56] 专门就给人
[00:02:56 - 00:02:59] 我们今天你们三个去给他们家讨债
[00:02:59 - 00:03:00] 你们三个给他们家讨债
[00:03:00 - 00:03:01] 你们三给他们家讨债
[00:03:01 - 00:03:05] 然后可能还有一个这个有个名头叫某某
[00:03:05 - 00:03:08] 当然现在不敢叫某某公司
[00:03:08 - 00:03:09] 那么有个名头
[00:03:09 - 00:03:12] 这种就说只要大家想讨债
[00:03:12 - 00:03:13] 找他们家去
[00:03:13 - 00:03:15] 他们家有的事就有小伙子能讨债
[00:03:15 - 00:03:16] 如果这种情况
[00:03:16 - 00:03:18] 如果这四个人是那个大的
[00:03:18 - 00:03:21] 这种帮派中间的一个部分
[00:03:21 - 00:03:23] 那么他们整个这个帮派
[00:03:23 - 00:03:25] 就可以叫黑社会性质的阻止
[00:03:25 - 00:03:26] 对
[00:03:26 - 00:03:28] 那像我们刚才就是在我们节目之前
[00:03:28 - 00:03:29] 讨论的这个案例当中
[00:03:29 - 00:03:31] 这个小张他通过调查发现
[00:03:31 - 00:03:35] 就是同样在这个新来公司借过钱的小王和小李
[00:03:35 - 00:03:40] 都被这四个人用这种方式去所谓的威胁
[00:03:40 - 00:03:41] 或者是胁迫过
[00:03:41 - 00:03:44] 那是否就可以证明那么在这个小区
[00:03:44 - 00:03:45] 或者在这个城市当中
[00:03:45 - 00:03:47] 或者在这个小范围当中
[00:03:47 - 00:03:51] 那么这几个人可能会对当地的
[00:03:51 - 00:03:54] 各种社会行为形成了某种控制了
[00:03:54 - 00:03:55] 对吗
[00:03:55 - 00:03:57] 那要看具体情况
[00:03:57 - 00:03:58] 如果说他们确实就像我刚刚说的
[00:03:58 - 00:04:02] 附近需要讨债的需要平事的
[00:04:02 - 00:04:03] 就是说我这有个什么事搞不定
[00:04:03 - 00:04:05] 你去给我吓唬一下
[00:04:05 - 00:04:06] 他就马上能去的
[00:04:06 - 00:04:09] 如果这种他们在附近已经很有名气了
[00:04:09 - 00:04:11] 专门负责帮人家吓唬人的
[00:04:11 - 00:04:14] 他是可以认定他有一定的这种控制性的
[00:04:14 - 00:04:19] 就在一定的区域或者一定的行业形成了非法控制
[00:04:19 - 00:04:21] 如果他再有比如说
[00:04:21 - 00:04:22] 股干成员基本固定
[00:04:22 - 00:04:24] 组织基本固定
[00:04:24 - 00:04:25] 然后有一定的经济实力
[00:04:25 - 00:04:28] 还有多次进行违法犯罪行为
[00:04:28 - 00:04:31] 还有在一定的区域性身控制
[00:04:31 - 00:04:32] 这几个同事具备
[00:04:32 - 00:04:34] 就可以是黑社会性质的阻止罪
[00:04:34 - 00:04:36] 然后你刚说那个情况
[00:04:36 - 00:04:38] 就说他们说我们不是就要个钱吗
[00:04:38 - 00:04:39] 要钱不是天津地义吗
[00:04:39 - 00:04:40] 对
[00:04:40 - 00:04:42] 但是要钱可以
[00:04:42 - 00:04:43] 方法要对路
[00:04:43 - 00:04:44] 你跟着人家家里去
[00:04:44 - 00:04:46] 你给人家门上破油漆
[00:04:46 - 00:04:48] 这些其实我们刑法
[00:04:48 - 00:04:50] 是有一个罪叫寻衅之事
[00:04:50 - 00:04:53] 就说多次的恐吓侮辱他人
[00:04:53 - 00:04:54] 像这种情况
[00:04:54 - 00:04:56] 他们很多黑社会性的阻止
[00:04:56 - 00:04:57] 都有这个行为
[00:04:57 - 00:05:01] 就是用各种你无法忍受的方法来给你催债
[00:05:01 - 00:05:03] 那么这些行为本身是可以构成一个罪的
[00:05:03 - 00:05:07] 那我就想问就是我们现在所说的这个叫扫黑除恶
[00:05:07 - 00:05:08] 对吧
[00:05:08 - 00:05:10] 那么黑说的就是黑社会恶说的就是恶势力
[00:05:10 - 00:05:11] 对
[00:05:11 - 00:05:14] 那我们实际上如果说抓到了这样的一个恶势力组织
[00:05:14 - 00:05:15] 或者是黑社会组织
[00:05:15 - 00:05:18] 我们在刑法量刑的时候有什么不同吗
[00:05:19 - 00:05:20] 是这样的
[00:05:20 - 00:05:21] 就是恶势力本身
[00:05:21 - 00:05:24] 它就是说没有一个独立的罪名
[00:05:24 - 00:05:26] 黑社会咱们本身有一个罪名
[00:05:26 - 00:05:31] 叫組織領導參加黑社會性質組織罪
[00:05:31 - 00:05:34] 咱們刑法咱們自己長大的自己土生土長的黑社會
[00:05:34 - 00:05:36] 叫黑社會性質組織
