BV号：BV17M411V7V5
标题：BV17M411V7V5
链接：https://www.bilibili.com/video/BV17M411V7V5
识别语言：zh
语言置信度：1
分段数：17
生成时间：2026-04-03 15:41:18

[00:00:00 - 00:00:04] 出生時學院等級或高校
[00:00:04 - 00:00:05] 感受到所有的出生時學院
[00:00:05 - 00:00:08] 這是我並且做這個事情的一個
[00:00:08 - 00:00:09] 主要的一個出生
[00:00:09 - 00:00:11] 也希望這個供應行動
[00:00:11 - 00:00:14] 因為我們剛才前面簽了十五年
[00:00:14 - 00:00:16] 也希望我們這個供應行動的話
[00:00:16 - 00:00:17] 寫著出學位來發展
[00:00:17 - 00:00:19] 能夠經過越來越多
[00:00:19 - 00:00:21] 然後幫助到學位越來越多
[00:00:21 - 00:00:23] 然後我希望這個五年以後
[00:00:23 - 00:00:26] 我們可以再次舉辦這個儀式
[00:00:33 - 00:00:35] 一天花了500万的感觉怎么样
[00:00:36 - 00:00:38] 五年花500万一天花100万
[00:00:39 - 00:00:40] 没有那么多
[00:00:41 - 00:00:42] 应该多的
[00:00:42 - 00:00:43] 就是没一个
