BV号：BV18t421u7yn
标题：BV18t421u7yn
链接：https://www.bilibili.com/video/BV18t421u7yn
识别语言：zh
语言置信度：1
分段数：46
生成时间：2026-04-03 11:19:53

[00:00:00 - 00:00:01] 你不是主动社交的人
[00:00:01 - 00:00:04] 你也不是主动向上管理的人
[00:00:04 - 00:00:05] 对吧
[00:00:05 - 00:00:07] 你知道这个学校里边有个人叫辅导员
[00:00:07 - 00:00:09] 他可能会对你有很大的帮助和影响
[00:00:10 - 00:00:11] 你可能一次偶然的机会
[00:00:11 - 00:00:14] 认识了学院的相关学生工作的副院长
[00:00:14 - 00:00:15] 或者怎么样的
[00:00:15 - 00:00:15] 对吧
[00:00:15 - 00:00:17] 你说我不是主动社交的人
[00:00:18 - 00:00:19] 那你我还想选调
[00:00:19 - 00:00:21] 你还想当什么学生干部
[00:00:22 - 00:00:22] 对吧
[00:00:22 - 00:00:23] 所以说的话
[00:00:23 - 00:00:23] 你说老师
[00:00:23 - 00:00:25] 我是学习没有问题
[00:00:25 - 00:00:25] 你要知道
[00:00:25 - 00:00:27] 其实大学是一个很有意思的地方
[00:00:27 - 00:00:28] 它是什么
[00:00:28 - 00:00:30] 他其实是办社会办学校
[00:00:30 - 00:00:32] 上过大学的朋友老上说的对不对
[00:00:32 - 00:00:35] 大学其实就是一个办社会办学校
[00:00:35 - 00:00:37] 他已经是一半的社会了
[00:00:37 - 00:00:39] 但是他还是个学校
[00:00:39 - 00:00:40] 他还不是纯社会
[00:00:40 - 00:00:43] 所以说你在这个社会上待时间长了
[00:00:43 - 00:00:45] 你会发现这个社会也是这样的
[00:00:45 - 00:00:48] 你得去主动去获取一些资源
[00:00:48 - 00:00:49] 我给你举个简单的例子
[00:00:49 - 00:00:51] 如果说你在这个社会上工作
[00:00:51 - 00:00:55] 你每天只是工作玩回家睡觉
[00:00:55 - 00:00:57] 在家刷具躺着
[00:00:57 - 00:00:58] 我也不去主动社交
[00:00:58 - 00:00:59] 我也不认识各种各样的人
[00:00:59 - 00:01:01] 那你的社交面就会很改
[00:01:01 - 00:01:02] 非常改
[00:01:02 - 00:01:04] 但是有的人会有主动社交
[00:01:04 - 00:01:06] 你要想有主动社交
[00:01:06 - 00:01:08] 或者说想认识一些traveler人
[00:01:08 - 00:01:11] 其实最最最好的一个办法是什么
[00:01:11 - 00:01:12] 培养一个爱好
[00:01:12 - 00:01:14] 尤其是体育运动爱好
[00:01:14 - 00:01:15] 培养一个爱好
[00:01:15 - 00:01:17] 你会主动认识很多很多
[00:01:17 - 00:01:19] 其他专业的人
[00:01:19 - 00:01:21] 会认识很多很多其他行业的人
