BV号：BV1wsrrYAEoh
标题：BV1wsrrYAEoh
链接：https://www.bilibili.com/video/BV1wsrrYAEoh
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-03 06:46:48

[00:00:01 - 00:00:03] 解,前,通,知
[00:00:03 - 00:00:06] 我這個人做公司的風格大家都知道
[00:00:06 - 00:00:08] 從來不是KPI
[00:00:08 - 00:00:12] 也從來不給每一個員工設定所謂的提供物品
[00:00:12 - 00:00:14] 但是我自己內心的期待是有的
[00:00:14 - 00:00:17] 上次我們聯會的份給大家稍微說了一下
[00:00:17 - 00:00:21] 然後希望大家新的一年能夠繼續服務好我們的家長
[00:00:21 - 00:00:23] 服務好我們的學員
[00:00:23 - 00:00:24] 這是最重要的
[00:00:24 - 00:00:25] 前面大家都看到了
[00:00:25 - 00:00:29] 給大家準備了我們過年的一些禮包和禮物
[00:00:29 - 00:00:31] 然后一人一袋一会就分走
[00:00:31 - 00:00:34] 然后大家比较关心的是我们的放假
[00:00:34 - 00:00:36] 然后给大家说一下
[00:00:36 - 00:00:38] 今天是9号是吧
[00:00:38 - 00:00:39] 对
[00:00:39 - 00:00:39] 对
[00:00:39 - 00:00:46] 然后的话我们可以买下周年10号
[00:00:46 - 00:00:57] 我们的假期从1月18号到2月10号
[00:00:57 - 00:01:18] 所以说希望大家不过几天回家过个好年
[00:01:18 - 00:01:22] 然后对大家就应该要求下期期间
[00:01:22 - 00:01:24] 所有的高音报到过程家长必须连续
[00:01:24 - 00:01:30] 这是我给大家换成像
[00:01:30 - 00:01:32] 换成像做的唯一一个小小的要求
[00:01:32 - 00:01:35] 因为我们做的必定是我们的教育副作品
[00:01:35 - 00:01:37] 必须副播放我们的家长
[00:01:37 - 00:01:38] 因为到了下期之后
[00:01:38 - 00:01:40] 我们会再让我们还可以的同样
[00:01:40 - 00:01:42] 然后跟台中的同好
[00:01:42 - 00:01:44] 跟他宿免好下个学期的学习级别
[00:01:44 - 00:01:46] 所以说给大家副放假
[00:01:46 - 00:01:47] 让大家多出气
[00:01:47 - 00:01:49] 然后多副播放我们的家长
[00:01:49 - 00:01:51] 好
[00:01:51 - 00:01:52] 好 那我们就开始
[00:01:52 - 00:01:54] 他们东西准备好掉了
[00:01:54 - 00:01:56] 好
[00:01:56 - 00:01:57] 放下
[00:01:57 - 00:01:58] 落落落
