BV号：BV1GdrVYMEkk
标题：BV1GdrVYMEkk
链接：https://www.bilibili.com/video/BV1GdrVYMEkk
识别语言：zh
语言置信度：1
分段数：74
生成时间：2026-04-03 06:49:58

[00:00:00 - 00:00:02] 真的我希望同学们都能看到这一点
[00:00:02 - 00:00:03] 高考它是一个什么
[00:00:03 - 00:00:05] 高考是一个不人虚拟短板的考试
[00:00:05 - 00:00:07] 你不能说我喜欢我就去做
[00:00:07 - 00:00:09] 不喜欢我就去补做
[00:00:09 - 00:00:10] 我可以告诉各位同学
[00:00:10 - 00:00:12] 你记住将来你在工作当中
[00:00:12 - 00:00:15] 一定会遇到你不喜欢的事
[00:00:15 - 00:00:17] 也一定会遇到你不喜欢的人
[00:00:17 - 00:00:18] 但往往人这一生
[00:00:18 - 00:00:19] 他的高度是有什么决定的
[00:00:19 - 00:00:21] 他的高度很可能就是
[00:00:21 - 00:00:24] 你能不能跟你不喜欢的事打好交道
[00:00:24 - 00:00:27] 你能不能跟你不喜欢的人去打好交道
[00:00:27 - 00:00:28] 而且有的时候呢
[00:00:28 - 00:00:32] 尤其是什么尤其是当他会决定你的一生的时候
[00:00:32 - 00:00:33] 会决定你的高度的时候
[00:00:33 - 00:00:35] 你不能说我不喜欢数学
[00:00:35 - 00:00:36] 我就不学数学
[00:00:36 - 00:00:37] 你就会形成一个恶性的讯传
[00:00:37 - 00:00:39] 你要去跟他相处好
[00:00:39 - 00:00:40] 因为他会决定你的未来
[00:00:40 - 00:00:42] 你要学会去跟他相处好
[00:00:42 - 00:00:44] 因为他如果短了
[00:00:44 - 00:00:45] 你的整个成绩就上不去
[00:00:45 - 00:00:47] 你为了他的理想就实现不了
[00:00:47 - 00:00:48] 所以说你想一想
[00:00:48 - 00:00:52] 你是人小恶去办大事
[00:00:52 - 00:00:55] 还是说所谓的不人小恶
[00:00:55 - 00:00:57] 导致你的理想实现不了
[00:00:57 - 00:00:58] 就是你要学会算这笔账
[00:00:58 - 00:01:00] 人生有的时候你会发现
[00:01:00 - 00:01:03] 他可能就是在做各种各样的选择
[00:01:03 - 00:01:06] 我们可以在有一些小的选择上
[00:01:06 - 00:01:08] 出现一些所谓的失误啊
[00:01:08 - 00:01:09] 或者说是放弃
[00:01:09 - 00:01:10] 战略性的放弃
[00:01:10 - 00:01:10] 对吧
[00:01:10 - 00:01:12] 但是当他战略上
[00:01:12 - 00:01:14] 我们是不能放弃他的时候
[00:01:14 - 00:01:17] 就是我们经常讲叫战略和战术
[00:01:17 - 00:01:20] 有的时候我们可以战术放弃
[00:01:20 - 00:01:22] 但是我不能战略放弃
[00:01:22 - 00:01:23] 就是因为因为你放弃他
[00:01:23 - 00:01:25] 你整个战略就实现不了了
[00:01:25 - 00:01:25] 对不对
[00:01:25 - 00:01:26] 你放弃你的数学
[00:01:26 - 00:01:28] 你的整个战略你就实现不了了
[00:01:28 - 00:01:29] 你放弃你的英语
[00:01:29 - 00:01:32] 你整个战略你就实现不了了
[00:01:32 - 00:01:33] 我们中国有句话叫什么
[00:01:33 - 00:01:35] 叫小不忍则乱大谋
[00:01:35 - 00:01:36] 对吧
[00:01:36 - 00:01:39] 你小不忍则乱大谋
[00:01:39 - 00:01:44] 所以说的话你要人小恶去谋大事
[00:01:44 - 00:01:44] 所以说
[00:01:44 - 00:01:46] 不用因为说我自己去
[00:01:46 - 00:01:47] 所谓的说
[00:01:47 - 00:01:48] 这个东西我不喜欢
[00:01:48 - 00:01:48] 或者怎么样的说
[00:01:48 - 00:01:50] 我特别的随性
[00:01:50 - 00:01:52] 当然我非常理解说
[00:01:52 - 00:01:53] 我有一个东西我不喜欢
[00:01:53 - 00:01:53] 我不喜欢
[00:01:53 - 00:01:54] 我为什么还要跟他在一起
[00:01:54 - 00:01:55] 我不喜欢
[00:01:55 - 00:01:56] 我为什么还要跟他接触
[00:01:56 - 00:01:57] 我非常理解
[00:01:57 - 00:02:00] 因为每一个人都不喜欢跟自己不喜欢的人
[00:02:00 - 00:02:02] 不喜欢的事去长时间的打交道
[00:02:02 - 00:02:03] 但是有的时候
[00:02:03 - 00:02:05] 他当他会影响我们战略的时候
[00:02:05 - 00:02:08] 我们就得去人就是人小
[00:02:08 - 00:02:09] 去谋打
