BV号：BV1m84y1V75A
标题：BV1m84y1V75A
链接：https://www.bilibili.com/video/BV1m84y1V75A
识别语言：zh
语言置信度：1
分段数：26
生成时间：2026-04-03 16:18:21

[00:00:00 - 00:00:02] 我觉得是兴趣是第一的老师
[00:00:02 - 00:00:03] 尤其是在轮客学习的时候
[00:00:03 - 00:00:04] 不要太功利
[00:00:04 - 00:00:07] 就是你要知道分数是结果
[00:00:07 - 00:00:07] 然后的话
[00:00:07 - 00:00:09] 其实你把它学到心里边来
[00:00:09 - 00:00:11] 就是包括你学地理的时候
[00:00:11 - 00:00:11] 你想一想
[00:00:11 - 00:00:12] 你到时候
[00:00:12 - 00:00:14] 你到那个地方去旅游的时候
[00:00:14 - 00:00:16] 你连看什么你都不知道
[00:00:16 - 00:00:17] 那你多尴尬
[00:00:17 - 00:00:18] 当地风土人情什么样
[00:00:18 - 00:00:19] 你都不知道
[00:00:19 - 00:00:20] 那你多尴尬
[00:00:20 - 00:00:20] 对吧
[00:00:20 - 00:00:22] 然后历史也是这样子的
[00:00:22 - 00:00:24] 那你说平时我知道的历史事件
[00:00:24 - 00:00:25] 我知道的历史史实
[00:00:25 - 00:00:26] 比你多
[00:00:26 - 00:00:27] 我就可以给你出一
[00:00:27 - 00:00:28] 对吧
[00:00:28 - 00:00:28] 这不好吗
[00:00:28 - 00:00:32] 就是学这种东西有的时候不要特别的功力
[00:00:32 - 00:00:34] 所以说你放松现在去学
[00:00:34 - 00:00:36] 我个人觉得说不定那效果会更好
