BV号：BV1pCCnYjEW9
标题：BV1pCCnYjEW9
链接：https://www.bilibili.com/video/BV1pCCnYjEW9
识别语言：zh
语言置信度：1
分段数：24
生成时间：2026-04-03 06:54:32

[00:00:00 - 00:00:01] 很多家长说张老师
[00:00:01 - 00:00:02] 我家还在绕学物理学家的话
[00:00:02 - 00:00:04] 他将来是不是就是物理学家
[00:00:04 - 00:00:05] 不一定
[00:00:05 - 00:00:06] 为什么呢
[00:00:06 - 00:00:06] 给大家注意一下
[00:00:06 - 00:00:07] 你在报强级的时候
[00:00:07 - 00:00:10] 家长如果说你将来不想让他去所谓的
[00:00:10 - 00:00:12] 去当一个所谓的物理学家
[00:00:12 - 00:00:13] 希望他为功科负能
[00:00:13 - 00:00:16] 那你报考的时候的话是有技巧的
[00:00:16 - 00:00:20] 因为你可以看一下我们这种理工力的院校
[00:00:20 - 00:00:23] 它是一个所谓的功科抢修
[00:00:23 - 00:00:25] 还是一个理科抢修
[00:00:25 - 00:00:26] 你能听懂我的意思吗
[00:00:26 - 00:00:28] 比如说你像清华和北大
[00:00:28 - 00:00:31] 北大就是一个理科抢修
[00:00:31 - 00:00:32] 清华叫功科抢修
[00:00:32 - 00:00:33] 对吧
[00:00:33 - 00:00:36] 如果说你的分数段能到这种清华北大的话
[00:00:36 - 00:00:40] 就比如说你到了你抱北大的强级的物理
[00:00:40 - 00:00:43] 它大概率是要把你培养成为一个物理学家
[00:00:43 - 00:00:46] 但是你到清华学物理强级
[00:00:46 - 00:00:51] 它大概率要把你培养成一个为功科负能的物理学人才
