BV号：BV1mcfHYZEND
标题：BV1mcfHYZEND
链接：https://www.bilibili.com/video/BV1mcfHYZEND
识别语言：zh
语言置信度：1
分段数：38
生成时间：2026-04-03 06:05:59

[00:00:00 - 00:00:02] 物化地和物化生差别并不大
[00:00:02 - 00:00:03] 这准备我给大家简单说一下啊
[00:00:03 - 00:00:05] 就是你要知道
[00:00:05 - 00:00:07] 物化地和物化生差别在于什么
[00:00:07 - 00:00:08] 生物这个选科
[00:00:08 - 00:00:09] 你的选列或者说
[00:00:09 - 00:00:11] 你能把医学院抱全
[00:00:11 - 00:00:12] 如果说老实说
[00:00:12 - 00:00:14] 我杜定一定要学医
[00:00:14 - 00:00:17] 那么在你成绩还不错的情况下
[00:00:17 - 00:00:18] 你想把医学院抱全
[00:00:18 - 00:00:20] 选生物是有意义的
[00:00:20 - 00:00:21] 否则没什么特别大意义
[00:00:21 - 00:00:23] 物化地能多抱什么呢
[00:00:23 - 00:00:25] 物化地是能多抱地理类
[00:00:25 - 00:00:26] 它可以多抱地理类
[00:00:26 - 00:00:29] 地理类其中有一个专业叫做地理信息科学
[00:00:29 - 00:00:31] 这个专业我给大家讲过科普国
[00:00:31 - 00:00:32] 这个专业相当于是什么呢
[00:00:32 - 00:00:35] 就是计算机的所谓的
[00:00:35 - 00:00:36] 下边的一个专业
[00:00:36 - 00:00:37] 就是乌华地
[00:00:37 - 00:00:39] 首先他这个专业组会干净一些
[00:00:39 - 00:00:41] 他这个组只有bub地组
[00:00:41 - 00:00:43] 就是只有一里类专业
[00:00:43 - 00:00:45] 如果说它是一个理工类院校的话
[00:00:45 - 00:00:48] 地理类专业几乎就是可以确定
[00:00:48 - 00:00:49] 它就只有一个专业
[00:00:49 - 00:00:49] 就是地信
[00:00:49 - 00:00:52] 地信这个专业是属于测贿加计算机
[00:00:52 - 00:00:54] 学不好是测贿
[00:00:54 - 00:00:55] 学得好是计算机
[00:00:55 - 00:00:58] 那么当你的分不够这个学校的计算机的时候
[00:00:58 - 00:01:01] 你又想抱一个跟计算机的相关相近专业
[00:01:01 - 00:01:03] 考研的时候 转机计算机方便
[00:01:03 - 00:01:04] 那么
[00:01:04 - 00:01:06] 地信这个专业就可以作为一个选择
[00:01:06 - 00:01:07] 大家听懂了吗
