BV号：BV1k64y167Qf
标题：BV1k64y167Qf
链接：https://www.bilibili.com/video/BV1k64y167Qf
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 23:33:57

[00:00:00 - 00:00:01] 大家听说了吧
[00:00:01 - 00:00:02] 物理逆行的那一块
[00:00:02 - 00:00:04] 我问大家这句话是什么意思
[00:00:04 - 00:00:08] 什么都不理你逆行的那一句话
[00:00:08 - 00:00:09] 全国各个社会
[00:00:09 - 00:00:11] 各个社会在描述你选择的选择要求
[00:00:11 - 00:00:13] 这个东西实际上大家在选择天天
[00:00:13 - 00:00:14] 应该看一看
[00:00:14 - 00:00:16] 但是大多数的家长没有看过
[00:00:16 - 00:00:17] 大家可以看那些选择要求
[00:00:17 - 00:00:18] 我给你们解读一下
[00:00:18 - 00:00:19] 那些选择是什么意思
[00:00:19 - 00:00:21] 大家看这边有首选的公共要求
[00:00:21 - 00:00:23] 首选方面说
[00:00:23 - 00:00:24] 就三个选项
[00:00:24 - 00:00:25] 仅物理 仅历史
[00:00:25 - 00:00:26] 或物理军可
[00:00:26 - 00:00:27] 大家能听见了
[00:00:27 - 00:00:28] 后边有个选择要求
[00:00:28 - 00:00:30] 有的是不错选择上球
[00:00:30 - 00:00:32] 有的是壁画
[00:00:32 - 00:00:34] 有的是画和声
[00:00:34 - 00:00:35] 还有一个别的球球球
[00:00:35 - 00:00:37] 大家要注意看
[00:00:37 - 00:00:39] 这里边的这小码
[00:00:39 - 00:00:41] 这个武力和历史军可
[00:00:41 - 00:00:42] 这个是什么意思呢
[00:00:42 - 00:00:44] 各位大家请注意
[00:00:44 - 00:00:45] 这句话的意思是
[00:00:45 - 00:00:47] 只要他在当年
[00:00:47 - 00:00:48] 做选择上球的时候
[00:00:48 - 00:00:50] 说武力军可的话
[00:00:50 - 00:00:52] 他就必须给物理计划
[00:00:52 - 00:00:55] 也必须给历史计划
[00:00:55 - 00:00:59] 就算他上一个结果
[00:00:59 - 00:01:00] 什么结果
