BV号：BV1Bb411Q7oo
标题：BV1Bb411Q7oo
链接：https://www.bilibili.com/video/BV1Bb411Q7oo
识别语言：zh
语言置信度：1
分段数：88
生成时间：2026-04-03 16:05:26

[00:00:00 - 00:00:03] 马上的2023年考研结果就要公布了
[00:00:03 - 00:00:06] 474万人的报考日数又是卷出了新的高度
[00:00:06 - 00:00:08] 这段时间就有同学问我说
[00:00:08 - 00:00:09] 哎呀 张老师
[00:00:09 - 00:00:10] 你说研究考研这么多年
[00:00:10 - 00:00:13] 有没有那种不用考就能上的研究生
[00:00:13 - 00:00:16] 确实是有一种不用参加全国同考就能上的研究生
[00:00:16 - 00:00:20] 那就是国际上很常见的深情之研究生
[00:00:20 - 00:00:23] 目前国内采用这种录取方式的高效
[00:00:23 - 00:00:23] 不是特别多
[00:00:23 - 00:00:25] 但各个都是那种来不不晓
[00:00:25 - 00:00:28] 国际化程度还非常高的名校
[00:00:28 - 00:00:31] 咱们今天就给大家介绍广东以色列理工学院
[00:00:31 - 00:00:33] 就是启离之一
[00:00:33 - 00:00:34] 说起广译
[00:00:34 - 00:00:35] 那就不得不提一下
[00:00:35 - 00:00:38] 它的合作方以色列理工学院了
[00:00:38 - 00:00:40] 这可是一所与麻省理工
[00:00:40 - 00:00:43] 帝国理工齐名的顶级理工学府
[00:00:43 - 00:00:45] 也是一所百年名教部
[00:00:45 - 00:00:47] 以色列能够成为科技强国
[00:00:47 - 00:00:49] 以色列理工的贡献是非常巨大的
[00:00:49 - 00:00:52] 如今该国70%的高科技公司的创始人
[00:00:52 - 00:00:54] 和高管都是它的效用
[00:00:54 - 00:00:55] 21世纪以来
[00:00:55 - 00:00:58] 这所学校位已经赞生了四位诺奖的得主
[00:00:58 - 00:01:00] 在各大世界大学排行榜当中
[00:01:00 - 00:01:02] 也一直是保持在七八十位
[00:01:02 - 00:01:04] 实力绝对是没得说
[00:01:04 - 00:01:06] 在合作拜学这一会
[00:01:06 - 00:01:07] 人家学校也表示
[00:01:07 - 00:01:10] 广乙就是以色列理工学院的中国校区
[00:01:10 - 00:01:11] 要知道
[00:01:11 - 00:01:15] 这个学校至今只建立过两个海外校区
[00:01:15 - 00:01:16] 一个在美国纽约
[00:01:16 - 00:01:17] 号称天才学院
[00:01:17 - 00:01:19] 另一个就是广乙了
[00:01:19 - 00:01:21] 在这你接触到的老师
[00:01:21 - 00:01:23] 全部都是由以色列理工来派遣的
[00:01:23 - 00:01:26] 或者是按照相同標準向全球選票的
[00:01:26 - 00:01:28] 什麼諾獎得主上課
[00:01:28 - 00:01:30] 餘願時代組在這都不算稀奇
[00:01:30 - 00:01:32] 學校基因好是一方面
[00:01:32 - 00:01:34] 咱們國家對於廣以的支持
[00:01:34 - 00:01:35] 也是相當到位的
[00:01:35 - 00:01:38] 官宣投入40億資金不說
[00:01:38 - 00:01:39] 學校2017年開始
[00:01:39 - 00:01:41] 招生2018年就入選了
[00:01:41 - 00:01:44] 廣東省高水平大學建設計畫
[00:01:44 - 00:01:45] 一起入選的都是港中生
[00:01:45 - 00:01:47] 哈公生這樣的學校
[00:01:47 - 00:01:48] 他們是什麼水平
[00:01:48 - 00:01:50] 相信就不用我多說了
[00:01:50 - 00:01:51] 有的同學說了說
[00:01:51 - 00:01:52] 哎張老師
[00:01:52 - 00:01:53] 那我想申请他的研究生
[00:01:53 - 00:01:55] 是不是得外语特别好啊
[00:01:55 - 00:01:56] 别急啊
[00:01:56 - 00:01:58] 虽然说广乙是行全英文教学
[00:01:58 - 00:02:01] 但是大多数的专业都没有硬性的
[00:02:01 - 00:02:02] 英语成绩的要求
[00:02:02 - 00:02:04] 没有想象当中的那么难
[00:02:04 - 00:02:05] 还有同学说说张老师
[00:02:05 - 00:02:09] 我听说这种合作办学的学校学贝都特别的贵
[00:02:09 - 00:02:10] 确实啊
[00:02:10 - 00:02:13] 咱们以前也说过这一类的学校
[00:02:13 - 00:02:14] 比较考验经济水平
[00:02:14 - 00:02:15] 但是广乙不一样
[00:02:15 - 00:02:18] 价值15000美金一年的学贝
[00:02:18 - 00:02:22] 一律全面还能够享受百分之百覆盖的奖学金
[00:02:22 - 00:02:27] 相当于是免费读世界前版的顶尖大学了
[00:02:27 - 00:02:27] 除了这些
[00:02:27 - 00:02:30] 相信大家最关注的就是教学和纳正的问题了
[00:02:30 - 00:02:31] 教学方面
[00:02:31 - 00:02:33] 广义实行双导实质
[00:02:33 - 00:02:35] 不要研究和学习在国内完成
[00:02:35 - 00:02:39] 但也必须在以色列本部完成一定时间的学习
[00:02:39 - 00:02:43] 而且教学内容和学术标准都是和本部严格一致的
[00:02:43 - 00:02:44] 至于说证书呢
[00:02:44 - 00:02:48] 也是我国教育部认证的以色列理工学院
[00:02:48 - 00:02:49] 硕博学被证书
[00:02:49 - 00:02:50] 最后需要注意的是
[00:02:50 - 00:02:53] 虽然说广乙的博士全年都接受申请
[00:02:53 - 00:02:56] 但是硕是申请可是有截止时间的
[00:02:56 - 00:02:59] 今年是到3月11号截止
[00:02:59 - 00:03:01] 距离现在还有一段时间
[00:03:01 - 00:03:02] 有意向的同学
[00:03:02 - 00:03:03] 不妨关注一下
