BV号：BV1fe411H7o5
标题：BV1fe411H7o5
链接：https://www.bilibili.com/video/BV1fe411H7o5
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 12:43:14

[00:00:00 - 00:00:01] 化工一只要明显带化学
[00:00:01 - 00:00:03] 地址类写个锤
[00:00:03 - 00:00:04] 矿叶写个锤
[00:00:04 - 00:00:05] 广之写个锤
[00:00:05 - 00:00:06] 带化学的
[00:00:06 - 00:00:07] 清工写个锤
[00:00:07 - 00:00:08] 这里边我给大家说一下
[00:00:08 - 00:00:09] 清工类专业
[00:00:09 - 00:00:10] 清工类专业
[00:00:10 - 00:00:12] 一定是跟化学相关的
[00:00:12 - 00:00:13] 一般情况下什么
[00:00:13 - 00:00:14] 染疹
[00:00:14 - 00:00:14] 治糖
[00:00:14 - 00:00:15] 造质
[00:00:15 - 00:00:16] 这多段情况
[00:00:16 - 00:00:16] 所以说你会发现
[00:00:16 - 00:00:17] 清工下面有什么
[00:00:17 - 00:00:18] 有包装工程
[00:00:18 - 00:00:19] 有印刷工程
[00:00:19 - 00:00:21] 其实你像你做过上了一个包装工程
[00:00:21 - 00:00:22] 它其实就是两方方向
[00:00:22 - 00:00:23] 一个是包装材料
[00:00:23 - 00:00:24] 一个是包装机械
[00:00:24 - 00:00:26] 所以说的话你做过学了包装工程
[00:00:26 - 00:00:27] 要么是材料 要么是机械
[00:00:27 - 00:00:28] 包装就是这样
[00:00:28 - 00:00:29] 包装材料 包装机械
[00:00:29 - 00:00:30] 然后的话
[00:00:30 - 00:00:32] 最多最多加一个包装设计
[00:00:32 - 00:00:32] 包装设计的话
[00:00:32 - 00:00:34] 那是艺术类了
[00:00:34 - 00:00:35] 如果说你上的那个学校
[00:00:35 - 00:00:36] 它包装工程比较好
[00:00:36 - 00:00:37] 你觉得是艺术类
[00:00:37 - 00:00:37] 它是包装设计
[00:00:37 - 00:00:39] 但是大多数的包装就是
[00:00:39 - 00:00:40] 包装材料和包装机械
[00:00:40 - 00:00:41] 所以说你学包装工程的
[00:00:41 - 00:00:42] 大多数的人考验
[00:00:42 - 00:00:43] 他考的都是
[00:00:43 - 00:00:44] 要么是材料 要么就是机械
