BV号：BV1gg41147FB
标题：BV1gg41147FB
链接：https://www.bilibili.com/video/BV1gg41147FB
识别语言：zh
语言置信度：1
分段数：33
生成时间：2026-04-03 16:36:32

[00:00:00 - 00:00:01] 青花我提前批你知道是哪个专业吗
[00:00:01 - 00:00:03] 青花我提前批是核工程
[00:00:03 - 00:00:04] 去年有一个学生
[00:00:04 - 00:00:05] 黑龙江的
[00:00:05 - 00:00:06] 他那个分
[00:00:06 - 00:00:08] 可以上青花提前批的核工程
[00:00:08 - 00:00:09] 也可以上
[00:00:09 - 00:00:10] 中国科技大学的数学获助
[00:00:10 - 00:00:11] 我问一下
[00:00:11 - 00:00:13] 你上了青花提前批的核工程
[00:00:13 - 00:00:15] 还是上中国科技大的物理
[00:00:15 - 00:00:15] 你上没有
[00:00:15 - 00:00:17] 就是你选完那个以后的话
[00:00:17 - 00:00:18] 你要知道
[00:00:18 - 00:00:19] 你选那个东西意味着什么
[00:00:19 - 00:00:21] 因为有的时候你是把路走
[00:00:21 - 00:00:22] 傻眼了
[00:00:22 - 00:00:24] 而有的时候你是把路走宽了
[00:00:24 - 00:00:26] 我们尽量给孩子一个路走宽的
[00:00:27 - 00:00:27] 对吧
[00:00:27 - 00:00:29] 你将来你想怎样怎样
[00:00:29 - 00:00:31] 对吧 我想怎样怎样
[00:00:31 - 00:00:32] 但是有的时候你一旦
[00:00:32 - 00:00:34] 毛在那了
[00:00:34 - 00:00:35] 你想怎样怎样
[00:00:35 - 00:00:37] No 你开玩笑想怎样怎样
[00:00:37 - 00:00:37] 当你家呀
[00:00:37 - 00:00:38] 高分段的家长
[00:00:38 - 00:00:40] 我们一般城市上都是这种问题
[00:00:40 - 00:00:42] 因为它面临着各种杠的诱惑
[00:00:42 - 00:00:42] 这个也可以
[00:00:42 - 00:00:43] 那个也可以
[00:00:43 - 00:00:45] 那这个时候就更应该慎重了
