BV号：BV1Ei4y1Z7zd
标题：BV1Ei4y1Z7zd
链接：https://www.bilibili.com/video/BV1Ei4y1Z7zd
识别语言：zh
语言置信度：1
分段数：59
生成时间：2026-04-03 21:10:32

[00:00:00 - 00:00:04] 他們當地有9種方言還有130餘種姓氏
[00:00:04 - 00:00:05] 這你敢信嗎?
[00:00:05 - 00:00:06] 如果你喜歡旅行的話呢
[00:00:06 - 00:00:09] 那我想你一定不會錯過當地的獨特的建築
[00:00:09 - 00:00:11] 那好多朋友都知道我家是黑龍江的
[00:00:11 - 00:00:14] 那這些年由於工作啊講座啊之類的種種原因
[00:00:14 - 00:00:17] 確實我也走過很多的地方
[00:00:17 - 00:00:18] 看了許多的風景
[00:00:18 - 00:00:20] 從京城的四河院到江南的水鄉
[00:00:20 - 00:00:23] 從徽派的建築到川西的民居
[00:00:23 - 00:00:25] 這些建築真的是風格各義各成一景
[00:00:25 - 00:00:27] 但是比起做寶光花呢
[00:00:27 - 00:00:32] 我更喜欢去深入了解这些古老建筑背后显微人之的故事
[00:00:32 - 00:00:36] 而我手中的这本《记忆与传承》就讲述了
[00:00:36 - 00:00:42] 作者通过寻访了解到的一些消失于古村落记忆里的故事
[00:00:43 - 00:00:46] 这些老新村由于地处偏远
[00:00:46 - 00:00:48] 因此很少被打扰
[00:00:48 - 00:00:51] 但是你只要走进它去聆听它的故事
[00:00:51 - 00:00:54] 看到那些淳朴的人和事和传承下来的文化
[00:00:54 - 00:00:58] 你就会理解陈志华先生所说的
[00:00:58 - 00:01:02] 不研究乡村就没有完整的中国建筑史
[00:01:02 - 00:01:03] 这句话是什么意思
[00:01:03 - 00:01:06] 苏东有一张讲到有一个很特别的古镇
[00:01:07 - 00:01:09] 这也不念干啊
[00:01:09 - 00:01:11] 叫做念巴都
[00:01:11 - 00:01:12] 它特别在哪呢
[00:01:12 - 00:01:14] 就是他们当地有九种方言
[00:01:14 - 00:01:16] 还有130余种姓氏
[00:01:16 - 00:01:18] 这是你感兴吗
[00:01:18 - 00:01:20] 我估计咱们要是到当地旅游
[00:01:20 - 00:01:21] 绝对跟人是落不明白的
[00:01:21 - 00:01:24] 这一事其实因为这个镇
[00:01:24 - 00:01:27] 处于浙敏干三省的交界处
[00:01:27 - 00:01:30] 江浙地区方言的难度和种类
[00:01:30 - 00:01:32] 我相信许多朋友都深有体会
[00:01:32 - 00:01:36] 这个地方古时候比较偏向军事功能
[00:01:36 - 00:01:39] 到清代逐渐就成了商旅要到
[00:01:39 - 00:01:41] 慢慢往来的商股流动
[00:01:41 - 00:01:43] 再加上北宋设立了咱们现在所谓的政府
[00:01:43 - 00:01:46] 这阵就自然而然的形成了
[00:01:46 - 00:01:48] 有百家性自然也就不奇怪了
[00:01:48 - 00:01:50] 这些商人赚了不少钱后
[00:01:50 - 00:01:51] 荣归故离
[00:01:51 - 00:01:52] 高低也是将过市面的人
[00:01:52 - 00:01:53] 是吧
[00:01:53 - 00:01:56] 他们就在当地盖了许多风格特殊的房子
[00:01:56 - 00:01:58] 阳系的 中系的 都有
[00:01:58 - 00:02:00] 就使得这个镇多多少少
[00:02:00 - 00:02:02] 有点多省浑血的意思
[00:02:02 - 00:02:04] 但是书中还有一个建筑
[00:02:04 - 00:02:06] 就是于念巴都这种建筑风格
[00:02:06 - 00:02:08] 完全相反的
[00:02:08 - 00:02:10] 它一个村子只有一栋建筑
[00:02:10 - 00:02:11] 你知道是哪吗
[00:02:11 - 00:02:13] 它又能怎么住得下全村的人
[00:02:13 - 00:02:15] 它又藏着怎样的故事呢
[00:02:15 - 00:02:17] 我上学习变得更快乐的张雪风老师
[00:02:17 - 00:02:18] 点赞加关注
[00:02:18 - 00:02:20] 我们下期接着聊
