BV号：BV1ET411P7FK
标题：BV1ET411P7FK
链接：https://www.bilibili.com/video/BV1ET411P7FK
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 17:23:20

[00:00:00 - 00:00:01] 高分的材料专业怎么样
[00:00:01 - 00:00:03] 材料这个专业你要想毕业以后
[00:00:03 - 00:00:04] 达到年级二三十万的话
[00:00:04 - 00:00:06] 你要普通学校就得博士毕业
[00:00:06 - 00:00:07] 你要好一点学校
[00:00:07 - 00:00:08] 就起码得九阿五以上
[00:00:08 - 00:00:10] 这个专业你要想毕业年级二三十万
[00:00:10 - 00:00:11] 不太容易
[00:00:11 - 00:00:13] 飞行器适合什么样的孩子报考
[00:00:13 - 00:00:14] 各类都可以
[00:00:14 - 00:00:16] 你本科毕业想去修飞机
[00:00:16 - 00:00:18] 想去造飞机都可以
[00:00:18 - 00:00:19] 但是如果你想研发
[00:00:19 - 00:00:20] 最好还是考研
[00:00:20 - 00:00:21] 工程招战怎么样
[00:00:21 - 00:00:23] 工程招战在本科毕业以后的话
[00:00:23 - 00:00:24] 要进到工地施工现场的
[00:00:24 - 00:00:26] 本科毕业只能干这个
[00:00:26 - 00:00:27] 如果说你要想进甲方的话
[00:00:27 - 00:00:28] 可以给你输入现场
[00:00:28 - 00:00:30] 但是甲方对于院校要求比较高
[00:00:30 - 00:00:31] 一般举发不资上
[00:00:31 - 00:00:32] 广播报口公园能行吗
[00:00:32 - 00:00:33] 可以报
[00:00:33 - 00:00:34] 但是你觉得报不限
[00:00:34 - 00:00:35] 只要是报不限
[00:00:35 - 00:00:35] 怎么样
[00:00:35 - 00:00:36] 竞争就很激烈
[00:00:36 - 00:00:38] 英语特别他想改学日语可行吗
[00:00:38 - 00:00:39] 可以
[00:00:39 - 00:00:39] 没有问题
[00:00:39 - 00:00:41] 但是日语这个学科
[00:00:41 - 00:00:43] 将来会对你考研造成影响啊
[00:00:43 - 00:00:44] 日语这个学科
[00:00:44 - 00:00:45] 会对你考研造成影响
[00:00:45 - 00:00:47] 这个你自己去想一想
