BV号：BV1VL4y1h7CM
标题：BV1VL4y1h7CM
链接：https://www.bilibili.com/video/BV1VL4y1h7CM
识别语言：zh
语言置信度：1
分段数：32
生成时间：2026-04-03 22:38:46

[00:00:00 - 00:00:02] 能上985肯定要上985
[00:00:02 - 00:00:03] 有啥用呢
[00:00:03 - 00:00:05] 二十二一方块认为专业求业
[00:00:05 - 00:00:05] 那不香吗
[00:00:05 - 00:00:08] 985丑方板都是985
[00:00:08 - 00:00:08] 是的
[00:00:08 - 00:00:09] 那它只能到处走着
[00:00:09 - 00:00:10] 985
[00:00:10 - 00:00:12] 两万能上985的已经
[00:00:12 - 00:00:13] 两万的985你得看
[00:00:13 - 00:00:15] 上什么专业呀
[00:00:15 - 00:00:15] 纠约的时候
[00:00:15 - 00:00:17] 人家问你是什么专业的一业呢
[00:00:18 - 00:00:20] 两万的985到那都是985
[00:00:20 - 00:00:22] 那985就不够了
[00:00:22 - 00:00:23] 那你985的水上养成
[00:00:23 - 00:00:24] 你是十百年个人
[00:00:24 - 00:00:25] 年水上养成
[00:00:25 - 00:00:27] 还得是985二二一方呢
[00:00:27 - 00:00:28] 这都什么年代了
[00:00:28 - 00:00:31] 现在评价那就双一流
[00:00:31 - 00:00:33] 知道什么叫双一流吗
[00:00:34 - 00:00:37] 那小老师叫少年
[00:00:37 - 00:00:39] 我讲的就是一进一去
[00:00:39 - 00:00:46] 一样
[00:00:46 - 00:00:48] 这个事本来说应该我来讲吧对不对
[00:00:48 - 00:00:49] 我可以跟你说
[00:00:49 - 00:00:50] 现在啊
[00:00:50 - 00:00:52] 双一流啊跟原来已经是一样
[00:00:52 - 00:00:53] 就原来那句话
[00:00:53 - 00:00:54] 我们的一切都在说
[00:00:54 - 00:00:55] 现在的双一流
