BV号：BV1WS4y1k7CR
标题：BV1WS4y1k7CR
链接：https://www.bilibili.com/video/BV1WS4y1k7CR
识别语言：zh
语言置信度：1
分段数：40
生成时间：2026-04-03 20:22:16

[00:00:00 - 00:00:02] 还是说动物医学动物科学
[00:00:02 - 00:00:04] 动物医学动物科学有什么差别
[00:00:04 - 00:00:06] 动物医学是干啥的
[00:00:06 - 00:00:07] 数一
[00:00:07 - 00:00:09] 这次说的动物科学
[00:00:09 - 00:00:11] 生物科学
[00:00:11 - 00:00:13] 动物科学干嘛的
[00:00:13 - 00:00:15] 动物科学是养鸡的
[00:00:15 - 00:00:19] 动物科学有个非常有意思的方向叫做鸡料学
[00:00:19 - 00:00:21] 咱们把动物养好叫动物科学
[00:00:21 - 00:00:23] 比如很多家长在网上问我
[00:00:23 - 00:00:25] 张老师你看那个烤鸡
[00:00:25 - 00:00:26] 二个人一只
[00:00:26 - 00:00:27] 张老师那二人就吃嘛
[00:00:27 - 00:00:28] 能吃
[00:00:28 - 00:00:29] 而且那个鸡你放心大等的神
[00:00:29 - 00:00:32] 大等的神,他是標準化氧機生產出來的機,知道吧
[00:00:32 - 00:00:35] 那種機我跟妳說從出生到死亡25天左右
[00:00:35 - 00:00:37] 他一生就見過兩次太陽
[00:00:37 - 00:00:39] 一次是出生那天,一次是死那天
[00:00:39 - 00:00:41] 如果說大家認識一兩機
[00:00:41 - 00:00:43] 無論如何都知道氧機都是在暗房裏面氧
[00:00:43 - 00:00:45] 氧機的時候的話,如果說妳講快速生產的方案
[00:00:45 - 00:00:47] 氧機都在暗房裏面氧,機不能見太陽
[00:00:47 - 00:00:49] 為什麼機不能見太陽?他一進到太陽
[00:00:49 - 00:00:50] 他條件反射了知道吧?
[00:00:50 - 00:00:52] 媽呀白天來來趕出了玩兒了
[00:00:53 - 00:00:55] 機一出了玩兒就必須氧標啊
[00:00:55 - 00:00:57] 25天他怎麼樣?吃了睡睡的吃
[00:00:57 - 00:01:00] 他快一步两标,二十五天就可以长得那么大
[00:01:00 - 00:01:02] 从一个小计算二十五天就可以吃了
[00:01:02 - 00:01:04] 快做两标就长那么大
[00:01:04 - 00:01:07] 这个专业有个粉丝尤其是朋友说过就死掉水了
[00:01:07 - 00:01:08] 对吧,要做狗粮
[00:01:08 - 00:01:10] 对吧,搞吃什么狗粮
[00:01:10 - 00:01:12] 长肉搞吃什么狗粮,毛色光滑
[00:01:12 - 00:01:14] 就做狗粮
[00:01:14 - 00:01:16] 但是如果狗生病了,那叫动物医学
[00:01:16 - 00:01:17] 都没了
[00:01:17 - 00:01:18] 你要去病了
