BV号：BV1F64y1n7Ep
标题：BV1F64y1n7Ep
链接：https://www.bilibili.com/video/BV1F64y1n7Ep
识别语言：zh
语言置信度：1
分段数：264
生成时间：2026-04-03 12:56:29

[00:00:00 - 00:00:01] 这个我给大家解释一下
[00:00:01 - 00:00:04] 因为我们在前两天放过一次链接
[00:00:04 - 00:00:05] 大家听说了吗
[00:00:06 - 00:00:07] 我不知道有没有上次
[00:00:07 - 00:00:09] 我就前两天放链接的时候
[00:00:09 - 00:00:11] 大家把我们阿婆婆都给挤爆了
[00:00:12 - 00:00:13] 我跟大家这样说
[00:00:14 - 00:00:14] 首先
[00:00:15 - 00:00:17] 我知道大家对于我们团队的信任
[00:00:17 - 00:00:18] 是出于对于我的信任
[00:00:18 - 00:00:20] 我这一点我非常的理解
[00:00:20 - 00:00:21] 也了解
[00:00:22 - 00:00:23] 因为你的信任
[00:00:23 - 00:00:25] 我不能辜负大家的信任
[00:00:25 - 00:00:26] 所以说我们在培养老师的时候
[00:00:26 - 00:00:29] 如果这个没有那么多合格的老师
[00:00:29 - 00:00:32] 我是不会放别节的
[00:00:32 - 00:00:34] 老张不是那种说
[00:00:34 - 00:00:35] 一定要挣多少钱
[00:00:35 - 00:00:36] 见钱眼开的人
[00:00:36 - 00:00:40] 我不是那样的人
[00:00:40 - 00:00:41] 我跟大家这样说
[00:00:41 - 00:00:42] 你说报职员这个事
[00:00:42 - 00:00:44] 说简单特别简单
[00:00:44 - 00:00:46] 简单到什么程度
[00:00:46 - 00:00:47] 各位家长
[00:00:47 - 00:00:49] 你在大街上随便拉一个人
[00:00:49 - 00:00:50] 他都能报职员
[00:00:50 - 00:00:53] 你信吗
[00:00:53 - 00:00:54] 你家还得考600分
[00:00:54 - 00:00:56] 给你报去年595路的学校
[00:00:56 - 00:00:58] 他肯定有大学上
[00:00:58 - 00:01:00] 对不对
[00:01:00 - 00:01:01] 我说句难听的话
[00:01:01 - 00:01:03] 你上大街上要找个要饭的报职员
[00:01:03 - 00:01:04] 他都能给你报
[00:01:05 - 00:01:06] 大家说是不是
[00:01:06 - 00:01:08] 你上大街上找个要饭的
[00:01:09 - 00:01:10] 他都能给你报
[00:01:10 - 00:01:12] 600分我给你报去年590的学校
[00:01:12 - 00:01:14] 595的学校他不仅也能上吗
[00:01:15 - 00:01:16] 我后面听过《服从投机》
[00:01:17 - 00:01:17] 是不是
[00:01:18 - 00:01:19] 但是
[00:01:19 - 00:01:20] 合格的
[00:01:20 - 00:01:22] 优秀的俊阳天报老师
[00:01:22 - 00:01:24] 他培养起来是很难的
[00:01:25 - 00:01:27] 我给大家看一下我们的培训手册
[00:01:27 - 00:01:29] 因为上次在那个地方看
[00:01:29 - 00:01:31] 我给大家看一下我们的培训手册
[00:01:31 - 00:01:36] 你就知道我们的老师会经历什么了
[00:01:36 - 00:01:39] 这是我们的培训手册各位家长
[00:01:39 - 00:01:45] 我们每一位老师都是经过严刑考达以后
[00:01:45 - 00:01:48] 才能进入到我们的队伍当中来的
[00:01:48 - 00:01:52] 刚才看你们说什么是长得帅的董老师来
[00:01:52 - 00:01:55] 来来来来来来来来来
[00:01:55 - 00:01:57] 来董老师我问一下你们入职的时候
[00:01:57 - 00:02:00] 大概一个星期考一次是差不多是吧
[00:02:00 - 00:02:00] 对
[00:02:00 - 00:02:02] 我们三天考一次
[00:02:02 - 00:02:03] 哈哈哈哈
[00:02:03 - 00:02:04] 越来越远
[00:02:04 - 00:02:06] 你来的时候都三天考一次了
[00:02:06 - 00:02:07] 现在是每天都考
[00:02:07 - 00:02:09] 现在一周考三次
[00:02:09 - 00:02:10] 对很严
[00:02:10 - 00:02:11] 哈哈
[00:02:11 - 00:02:12] 董老师来呢
[00:02:12 - 00:02:13] 因为董老师来的相对就走
[00:02:13 - 00:02:15] 董老师来那就是大概一个星期考一次是
[00:02:15 - 00:02:15] 对
[00:02:15 - 00:02:18] 周老师大概是三天考一次
[00:02:18 - 00:02:21] 我们现在的老师是两天考一次是
[00:02:21 - 00:02:22] 一周要考三次是
[00:02:22 - 00:02:23] 对
[00:02:23 - 00:02:24] 我们的考试内容是什么
[00:02:24 - 00:02:25] 最最基本的
[00:02:25 - 00:02:27] 我们我给大家说我们最最基本的就是
[00:02:27 - 00:02:28] 分科专业目录
[00:02:28 - 00:02:28] 对
[00:02:28 - 00:02:30] 第一个星期必须把这个背下来
[00:02:30 - 00:02:31] 是
[00:02:31 - 00:02:33] 第一个星期必须把这个背下来
[00:02:33 - 00:02:36] 如果你第一个星期你考这个东西不及格直接辞退
[00:02:36 - 00:02:38] 你没有后续了
[00:02:38 - 00:02:39] 没有后续了
[00:02:39 - 00:02:40] 一学二计学
[00:02:40 - 00:02:41] 对你一学二计学
[00:02:41 - 00:02:42] 你给孩子的填报志愿
[00:02:42 - 00:02:44] 你最后你报的这个专业史语
[00:02:44 - 00:02:46] 你个一学课你都不知道
[00:02:46 - 00:02:48] 不可格
[00:02:49 - 00:02:51] 你说老师他免强可以
[00:02:51 - 00:02:53] 你再给他一个月机会不给
[00:02:54 - 00:02:55] 我们来过我们的公司
[00:02:55 - 00:02:57] 我们前十五期合同就一个月
[00:02:57 - 00:02:59] 一个月考核不可革
[00:02:59 - 00:03:01] 该干嘛干嘛去
[00:03:01 - 00:03:02] 然后这是第一个星期的内容
[00:03:02 - 00:03:03] 哈哈哈
[00:03:03 - 00:03:06] 后边三个星期的内容就是这个了
[00:03:06 - 00:03:08] 给大家看一下啊
[00:03:08 - 00:03:10] 这是我们老师自己变的
[00:03:10 - 00:03:12] 多元生学
[00:03:12 - 00:03:14] 什么叫多元生学提前批
[00:03:14 - 00:03:15] 给大家看一下啊
[00:03:15 - 00:03:16] 提前批
[00:03:16 - 00:03:17] 每一页都是有内容的啊
[00:03:17 - 00:03:19] 就不是给你看玩笑的
[00:03:19 - 00:03:20] 提前批
[00:03:20 - 00:03:22] 多元生学提前批
[00:03:22 - 00:03:25] 什么考大学的移民和异地的考大学
[00:03:25 - 00:03:28] 考大学体演出一视像
[00:03:28 - 00:03:30] 各种各样的体现品
[00:03:30 - 00:03:31] 这是目录
[00:03:31 - 00:03:33] 给大家翻一下
