BV号：BV1BL411g7XK
标题：BV1BL411g7XK
链接：https://www.bilibili.com/video/BV1BL411g7XK
识别语言：zh
语言置信度：1
分段数：83
生成时间：2026-04-03 21:53:56

[00:00:00 - 00:00:02] 那很多人问我 庄老师呢 我考研怎么还能考研成功
[00:00:02 - 00:00:05] 考研想成功的话 你做好三个事就可以了
[00:00:05 - 00:00:07] 那三个事 第一个事叫正确的选择
[00:00:07 - 00:00:08] 第二个事叫好的学习方法
[00:00:08 - 00:00:11] 第三个事叫坚持不懈的努力
[00:00:11 - 00:00:13] 我们一个一个来说 我们先说正确的选择
[00:00:13 - 00:00:16] 因为考研大家你要知道 它跟高考不一样
[00:00:16 - 00:00:19] 考研你要先定院校定专业
[00:00:19 - 00:00:20] 我就问你一个问题 同学
[00:00:20 - 00:00:21] 你是急逐的同学
[00:00:21 - 00:00:23] 你怕不怕 你在考研的时候
[00:00:23 - 00:00:25] 你考那些二二要九八五
[00:00:25 - 00:00:27] 人家学校的老师不愿意要你吗
[00:00:27 - 00:00:28] 你怕我看
[00:00:28 - 00:00:30] 你说你不怕是不可能的
[00:00:30 - 00:00:32] 我给大家举一个简单的例子
[00:00:32 - 00:00:33] 你比如说
[00:00:33 - 00:00:34] 去年有一个同学
[00:00:34 - 00:00:35] 不是你们学校的
[00:00:35 - 00:00:36] 也是叫什么什么大学
[00:00:36 - 00:00:37] 什么什么学院
[00:00:37 - 00:00:39] 我也不说具体哪个学校了
[00:00:39 - 00:00:40] 他就是什么什么大学
[00:00:40 - 00:00:41] 什么什么学院
[00:00:41 - 00:00:42] 他考学的文学院学校
[00:00:42 - 00:00:44] 就是他那个什么什么大学
[00:00:44 - 00:00:45] 能理解我说的意思
[00:00:45 - 00:00:47] 结果给导师发信息
[00:00:47 - 00:00:50] 那哥们是出师第一名吗
[00:00:50 - 00:00:51] 给导师发信息
[00:00:51 - 00:00:53] 说老师我本科是咱们学校
[00:00:53 - 00:00:54] 二级学院的
[00:00:54 - 00:00:56] 我是出师第一名
[00:00:56 - 00:00:56] 我叫莎莎莎
[00:00:56 - 00:00:57] 我考了多少分
[00:00:57 - 00:00:58] 要老师发信息
[00:00:58 - 00:00:59] 老师直接给他发信息
[00:00:59 - 00:01:01] 你不用来了
[00:01:01 - 00:01:05] 我不可能照你这种叫独立学院的学生
[00:01:05 - 00:01:06] 所以说大家你在报的时候
[00:01:06 - 00:01:08] 你要知道考研选一选选的
[00:01:08 - 00:01:09] 千万不要瞎选
[00:01:09 - 00:01:11] 一不要选这种所谓歧视
[00:01:11 - 00:01:12] 咱们本开院校的
[00:01:12 - 00:01:14] 二不要选什么样的学校
[00:01:14 - 00:01:16] 不要选那种考研判断压分的学校
[00:01:16 - 00:01:16] 知道吧
[00:01:16 - 00:01:17] 你像那种压分的
[00:01:17 - 00:01:19] 大家有兴趣你自己在网上
[00:01:19 - 00:01:20] 你去搜压分
[00:01:20 - 00:01:21] 你就能搜到很多学校
[00:01:21 - 00:01:23] 当然大家注意不是说
[00:01:23 - 00:01:24] 你搜出来的学校
[00:01:24 - 00:01:25] 它都压分
[00:01:25 - 00:01:26] 因为有的人确确实是
[00:01:26 - 00:01:28] 有这么一种人知道吧
[00:01:28 - 00:01:30] 拉不出来使人赖地球没有引力
[00:01:30 - 00:01:32] 考不上眼的时候就赖那渠道压分
[00:01:32 - 00:01:33] 但是有的消失真的压分
[00:01:33 - 00:01:34] 真的压分到什么程度
[00:01:34 - 00:01:35] 大家能想象到吗
[00:01:35 - 00:01:39] 社会人文学科专业判断给零分
[00:01:39 - 00:01:40] 而社会人文学科考读都是主观题
[00:01:40 - 00:01:41] 大家能理解吧
[00:01:41 - 00:01:43] 文具利的翻译
[00:01:43 - 00:01:45] 你能想象到你考翻译列专业
[00:01:45 - 00:01:47] 他考研给你零分吗
[00:01:47 - 00:01:48] 就是你翻的都不对
[00:01:48 - 00:01:49] 可能吗
[00:01:49 - 00:01:51] 不可能啊
[00:01:51 - 00:01:52] 很主观的题
[00:01:52 - 00:01:53] 给你零分
[00:01:53 - 00:01:53] 你想象吧
[00:01:53 - 00:01:55] 就高考你考座文
[00:01:55 - 00:01:57] 你坐在考滿分不容易
[00:01:57 - 00:01:58] 他得零分也很難吧
[00:02:00 - 00:02:01] 對吧你卷麥上寫的
[00:02:01 - 00:02:02] 媽老師你
[00:02:02 - 00:02:02] 你媽
[00:02:03 - 00:02:05] 你要不然你不可能得零分
[00:02:05 - 00:02:05] 對吧
[00:02:05 - 00:02:07] 我說我們在報考研的時候
[00:02:07 - 00:02:09] 一到出去選人是要選人也不要亂選
