BV号：BV1Qx411R7Pe
标题：BV1Qx411R7Pe
链接：https://www.bilibili.com/video/BV1Qx411R7Pe
识别语言：zh
语言置信度：1
分段数：361
生成时间：2026-04-04 07:47:39

[00:00:00 - 00:00:02] 大家好,我是让徐熙贝更快乐的张雪峰老师
[00:00:02 - 00:00:04] 在2014年8月28号
[00:00:04 - 00:00:07] 有这么一个人叫王某某跟自己的女朋友
[00:00:07 - 00:00:09] 两个人开着车在外面停好
[00:00:09 - 00:00:11] 他女朋友是驾驶,他坐在副驾驶
[00:00:11 - 00:00:15] 但是在当天其实王某某是刚刚吸食了冰毒
[00:00:15 - 00:00:17] 那么吸食冰毒一段时间以后
[00:00:17 - 00:00:19] 他在车里面就产生了被害的妄想
[00:00:19 - 00:00:22] 就觉得有人要来害他,要来杀他
[00:00:22 - 00:00:24] 他就跟他女朋友说,你把这个车停的路边
[00:00:24 - 00:00:26] 你先下去溜的一会儿
[00:00:26 - 00:00:27] 我来开这个车,我得投命了
[00:00:27 - 00:00:30] 他女朋友也就把车停在路边
[00:00:30 - 00:00:31] 王某某就开了这个车
[00:00:31 - 00:00:33] 所谓的开始逃了
[00:00:33 - 00:00:35] 不是忘协有人要杀他吗
[00:00:35 - 00:00:37] 但是他在逃的过程当中
[00:00:37 - 00:00:39] 他逆向行驶
[00:00:39 - 00:00:40] 首先是撞破的两辆车
[00:00:40 - 00:00:42] 还撞到了多名行人
[00:00:42 - 00:00:44] 虽然说在事后
[00:00:44 - 00:00:46] 王某某还有他的女朋友
[00:00:46 - 00:00:48] 积极的对受害人进行了赔偿
[00:00:48 - 00:00:51] 但他毕竟已经形成了刑事犯罪
[00:00:51 - 00:00:52] 那么我们国家宪法当中
[00:00:52 - 00:00:53] 有没有这样的一个罪
[00:00:53 - 00:00:56] 跟毒嫁是有关系的
[00:00:56 - 00:01:00] 那么最后这个王某某将会受到怎样的法律制裁
[00:01:00 - 00:01:02] 这就是我们本期要跟大家讨论的案子
[00:01:11 - 00:01:11] 大家好
[00:01:11 - 00:01:14] 我上学习变得更快乐的张雪凤老师
[00:01:14 - 00:01:16] 欢迎大家收看我们的法律其实很好玩
[00:01:16 - 00:01:19] 我们本期请到的嘉宾依然是我们研途教育的
[00:01:19 - 00:01:19] 前沿老师
[00:01:19 - 00:01:20] 我们的法学证家
[00:01:20 - 00:01:21] 沿岸祥老师
[00:01:21 - 00:01:23] 袁老师给大家打个招呼
[00:01:23 - 00:01:24] 嗨大家好
[00:01:24 - 00:01:24] 袁老师
[00:01:24 - 00:01:26] 你看这个案子当中
[00:01:26 - 00:01:28] 这个王某某是在吸毒过程当中
[00:01:28 - 00:01:30] 然后的话吸毒以后
[00:01:30 - 00:01:32] 然后的话产生的一些幻觉
[00:01:32 - 00:01:35] 他就是吸毒以后驾驶这个汽车
[00:01:35 - 00:01:37] 咱们国家的刑法当中有没有关于这个
[00:01:37 - 00:01:38] 仁下的这个罪啊
[00:01:39 - 00:01:40] 咱们是这样的
[00:01:40 - 00:01:43] 咱们的在2011年刑法修正案8
[00:01:43 - 00:01:45] 增加了一个罪叫危险驾驶罪
[00:01:46 - 00:01:48] 那么危险驾驶罪里面有两个
[00:01:48 - 00:01:49] 一个叫做
[00:01:49 - 00:01:50] 罪久后驾驶
[00:01:51 - 00:01:52] 一个叫追逐禁止
[00:01:53 - 00:01:54] 追逐禁止就凭说那个飙车
[00:01:54 - 00:01:55] 对对对对
[00:01:55 - 00:01:56] 那么后来又增加了两个
[00:01:56 - 00:01:57] 但是都没有这个
[00:01:57 - 00:01:59] 吸毒以后驾驶
[00:01:59 - 00:02:01] 只有一个罪久以后驾驶
[00:02:01 - 00:02:02] 那么最近这几年呢
[00:02:02 - 00:02:04] 很多专家学者
[00:02:04 - 00:02:06] 包括全国人大代表都提出来
[00:02:06 - 00:02:09] 说能不能把吸毒以后驾驶这个毒驾
[00:02:09 - 00:02:12] 规定为危险驾驶
[00:02:12 - 00:02:14] 但是目前还没有
[00:02:14 - 00:02:15] 目前还没有
[00:02:15 - 00:02:15] 所以呢
[00:02:15 - 00:02:16] 这种情况下
[00:02:16 - 00:02:19] 如果法条说最久以后驾驶
[00:02:19 - 00:02:22] 那您觉得能不能把吸毒以后驾驶
[00:02:22 - 00:02:24] 解释到最久以后驾驶
[00:02:24 - 00:02:26] 我觉得他毕竟不是酒啊
[00:02:26 - 00:02:27] 对吧
[00:02:27 - 00:02:28] 你吸毒他毕竟不是酒
[00:02:28 - 00:02:29] 我们说最久以后驾驶
[00:02:29 - 00:02:30] 那咱们就说论事嘛
[00:02:30 - 00:02:32] 说最举价实就是喝酒以后
[00:02:32 - 00:02:33] 然后有种醉酒的状态
[00:02:33 - 00:02:35] 所以这个就是我们刑法的
[00:02:35 - 00:02:36] 罪刑法的原则还记得吧
[00:02:36 - 00:02:38] 咱们记得吧
[00:02:38 - 00:02:39] 罪刑法的原则
[00:02:39 - 00:02:43] 所以目前单纯的吸毒以后价实不是犯罪
[00:02:43 - 00:02:44] 那我问一下
[00:02:44 - 00:02:47] 比如说相当于它中间行驶过程当中
[00:02:47 - 00:02:49] 它不是撞坏了来那辆车吗
[00:02:49 - 00:02:51] 那它撞坏车的这个行为
[00:02:51 - 00:02:52] 如果从赔偿的角度来讲
[00:02:52 - 00:02:55] 你就没法说赔不了了吗
[00:02:55 - 00:02:59] 该赔偿要赔不构成犯罪和不赔偿
[00:02:59 - 00:03:01] 你是被这样害羞
[00:03:01 - 00:03:02] 对对对
[00:03:02 - 00:03:03] 那好我们就独嫁那个时候
[00:03:03 - 00:03:05] 我知道了就没有独嫁的一个
[00:03:05 - 00:03:06] 那我们最后给他定罪的时候
[00:03:06 - 00:03:08] 那应该定什么罪呢
[00:03:08 - 00:03:09] 他也不是说独嫁啊
[00:03:09 - 00:03:10] 这个地方又有两个问题
[00:03:10 - 00:03:12] 首先一个大的问题就是说
[00:03:12 - 00:03:14] 这个人是产生了被害妄想
[00:03:14 - 00:03:14] 对对对
[00:03:14 - 00:03:17] 那么产生被害妄想之后
[00:03:17 - 00:03:19] 假设是一种很彻底的被害妄想
[00:03:19 - 00:03:20] 我当时逃命
[00:03:20 - 00:03:22] 我真的不是要撞谁的
[00:03:22 - 00:03:24] 我就是为了逃命
[00:03:24 - 00:03:25] 然后我逆行啊
[00:03:25 - 00:03:25] 我干什么
[00:03:25 - 00:03:26] 我就是为了逃命
[00:03:26 - 00:03:27] 那就等于说
[00:03:27 - 00:03:29] 假如说一个精神病的话
[00:03:29 - 00:03:31] 他就已经丧失了行为能力了
[00:03:31 - 00:03:33] 在这种情况下
[00:03:33 - 00:03:35] 他还要不要承担责任
[00:03:35 - 00:03:38] 他是因为吸毒产生的被害妄想
[00:03:38 - 00:03:40] 然后这个控制能力下降
[00:03:40 - 00:03:41] 甚至甚至丧失
[00:03:41 - 00:03:42] 要不要承担责任
[00:03:42 - 00:03:46] 我觉得你毕竟是妄想
[00:03:46 - 00:03:47] 对吧
[00:03:47 - 00:03:48] 你又不是说一个
[00:03:48 - 00:03:49] 一个真实
[00:03:49 - 00:03:50] 你真实
[00:03:50 - 00:03:51] 你就算你
[00:03:51 - 00:03:51] 我举个例子
[00:03:51 - 00:03:52] 比如说拿我来举例子
[00:03:52 - 00:03:54] 就算真的后面有人杀我
[00:03:54 - 00:03:54] 对吧
[00:03:54 - 00:03:57] 那我也不能说是因为我的命
[00:03:57 - 00:03:58] 然后别人的命就不是钱
