BV号：BV1nC4y1b7ns
标题：BV1nC4y1b7ns
链接：https://www.bilibili.com/video/BV1nC4y1b7ns
识别语言：zh
语言置信度：1
分段数：229
生成时间：2026-04-04 01:48:08

[00:00:00 - 00:00:03] 这是一个教你怎么在高考职院填冒当中
[00:00:03 - 00:00:06] 如何选学校,如何选专业,如何报职院
[00:00:06 - 00:00:08] 不后悔的付费专栏
[00:00:11 - 00:00:14] 我们今天要给大家开始讲的是一个
[00:00:14 - 00:00:16] 可能很多人都想不到
[00:00:16 - 00:00:18] 所有的老师都在讲一些
[00:00:18 - 00:00:20] 好的专业,热门的专业
[00:00:20 - 00:00:21] 怎么张老师今天你要讲的叫什么
[00:00:21 - 00:00:25] 叫十大最冷门的专业和方向
[00:00:25 - 00:00:26] 那我是讲这个干嘛
[00:00:26 - 00:00:29] 我们家孩子就最冷门的一定不会爆
[00:00:30 - 00:00:31] 这说明你对张老师
[00:00:31 - 00:00:33] 我呢就不是很了解了对不对
[00:00:33 - 00:00:37] 我怎么可能给你讲没有人包的那种专业呢
[00:00:37 - 00:00:40] 那种专业我说实话对吧讲了念不包
[00:00:40 - 00:00:42] 我讲他干嘛呢浪费时间浪费你的经历
[00:00:42 - 00:00:44] 浪费我的经历对不对
[00:00:44 - 00:00:45] 那我今天要给你讲的是什么
[00:00:45 - 00:00:47] 叫十大冷门专业和方向
[00:00:47 - 00:00:50] 我给你说这些东西你不点后悔
[00:00:50 - 00:00:52] 你不看会后悔为什么呢
[00:00:52 - 00:00:54] 如果说你们把这个十大最冷门的专业
[00:00:54 - 00:00:55] 听完以后啊
[00:00:55 - 00:00:58] 你会发现这些专业呢基本上就是在你目标院校
[00:00:58 - 00:01:00] 他的各个专业录取未次当中
[00:01:00 - 00:01:03] 录取未次最低最低的一些专业
[00:01:04 - 00:01:07] 基本上你购这个学校的提档线
[00:01:07 - 00:01:08] 你就能上个专业
[00:01:08 - 00:01:09] 都是这些专业
[00:01:09 - 00:01:12] 但是往往这些专业
[00:01:12 - 00:01:15] 运藏着很大很大的就业机会
[00:01:15 - 00:01:16] 所以说的话就是什么呢
[00:01:16 - 00:01:19] 就是属于又好
[00:01:19 - 00:01:21] 又好考 对吧
[00:01:21 - 00:01:22] 就业非常好
[00:01:22 - 00:01:25] 但是没人报的一些专业和方向
[00:01:25 - 00:01:27] 所以说什么叫不看后悔
[00:01:27 - 00:01:28] 不听后悔啊
[00:01:28 - 00:01:31] 就是说这些特别特别好的专业啊
[00:01:31 - 00:01:32] 你了解了解
[00:01:32 - 00:01:33] 即使你分不够高
[00:01:33 - 00:01:35] 你穿上手袋说我们家孩子分不够高
[00:01:35 - 00:01:36] 要去复读吧
[00:01:36 - 00:01:38] 要不就怎么样
[00:01:38 - 00:01:40] 但实际上咱们有其他的选择
[00:01:40 - 00:01:43] 就是可以报考那些所谓的冷门
[00:01:43 - 00:01:44] 但是它真的吗
[00:01:44 - 00:01:44] 不冷门
[00:01:44 - 00:01:45] 它就业非常好
[00:01:45 - 00:01:46] 咱们今天呢
[00:01:46 - 00:01:49] 开始就给大家介绍一期
[00:01:49 - 00:01:51] 这样的一共有10个
[00:01:51 - 00:01:53] 这样的所谓的冷门专业方向
[00:01:53 - 00:01:55] 挽救你可能考到
[00:01:55 - 00:01:56] 不是很理想的高考成绩
[00:01:56 - 00:01:57] 咱们可以就业很好
[00:01:57 - 00:01:58] 首先第一大类
[00:01:58 - 00:02:00] 咱们今天先讲一大类叫做
[00:02:00 - 00:02:01] 植物生产类
[00:02:01 - 00:02:03] 植物生产类是属于叫
[00:02:03 - 00:02:05] 农学的饭手里边
[00:02:05 - 00:02:06] 因为很多同学一报考
[00:02:06 - 00:02:07] 之前的时候就是张老师
[00:02:07 - 00:02:09] 我这我就不喜欢农学
[00:02:09 - 00:02:11] 张老师我这不想种地
[00:02:11 - 00:02:13] 总以为稍早说我学农学就是种地的
[00:02:13 - 00:02:14] 就是养猪的
[00:02:14 - 00:02:15] 就是养鸡的
[00:02:15 - 00:02:16] 哎呦
[00:02:16 - 00:02:19] 你以为现在种地养猪养鸡
[00:02:19 - 00:02:21] 你以为这专业现在不好吗
[00:02:21 - 00:02:23] 所以说今天先给大家介绍一些
[00:02:23 - 00:02:25] 让大家可能不是很理解的
[00:02:25 - 00:02:27] 不是很了解的叫植物生產類
[00:02:27 - 00:02:29] 我們首先來看一下
[00:02:29 - 00:02:30] 做物生產類的專業介紹
[00:02:30 - 00:02:32] 那麼做物生產類是研究
[00:02:32 - 00:02:34] 做物生產科學
[00:02:34 - 00:02:35] 做物育種
[00:02:35 - 00:02:36] 哪些種子比較好
[00:02:36 - 00:02:38] 要把一些好的種子留下來
[00:02:38 - 00:02:38] 對吧
[00:02:38 - 00:02:40] 做物栽培方面的工作
[00:02:40 - 00:02:41] 其根本任務是什麼呢
[00:02:41 - 00:02:43] 實現做物的高產
[00:02:44 - 00:02:45] 就是說大家你化發劑
[00:02:45 - 00:02:46] 接著我們在種地的時候
[00:02:46 - 00:02:47] 不管你種什麼
[00:02:47 - 00:02:48] 你玉米 棉花 蘭西巴道
[00:02:48 - 00:02:49] 種各種東西的時候
[00:02:49 - 00:02:51] 我們總在提借的各東西叫
[00:02:51 - 00:02:52] 母產多少多少金
[00:02:52 - 00:02:52] 對吧
[00:02:52 - 00:02:53] 母產多少多少噸
[00:02:53 - 00:02:54] 對吧
[00:02:54 - 00:02:56] 如果说我们能实现作物高产的话
[00:02:56 - 00:02:57] 我们的利润怎么样
[00:02:57 - 00:02:58] 是不是就往上增加
[00:02:59 - 00:02:59] 是不是
[00:02:59 - 00:03:01] 然后优质高效
[00:03:02 - 00:03:05] 生态安全的来生产我们的农作物
[00:03:06 - 00:03:07] 那么本科设置的专业
[00:03:07 - 00:03:08] 大家你会发现
[00:03:08 - 00:03:09] 如果说你报专业的话
[00:03:09 - 00:03:11] 那属于植物生产类的专业有
[00:03:11 - 00:03:13] 首先有个大的叫农学
[00:03:13 - 00:03:15] 这两个字就很大
[00:03:15 - 00:03:16] 这两个字非常大
[00:03:16 - 00:03:18] 如果说你本科学的这个专业的话
[00:03:18 - 00:03:19] 你那么到延三的时候
[00:03:19 - 00:03:20] 那么你到延三的时候
[00:03:20 - 00:03:22] 你就要分千亿的方向
[00:03:22 - 00:03:25] 其中在这边最重要的一个专业就是这个
[00:03:25 - 00:03:26] 叫做原意学
[00:03:27 - 00:03:29] 这个是最重要的一个专业方向
[00:03:29 - 00:03:31] 包括像植物保护植物科学
[00:03:31 - 00:03:32] 包括像种子科学与工程
[00:03:32 - 00:03:35] 原来种子科学与工程不是列为一个单独的
[00:03:35 - 00:03:36] 本科专业的
[00:03:36 - 00:03:38] 它是放在怎么样农学下面的
[00:03:38 - 00:03:40] 但是现在有很多学校怎么样
[00:03:40 - 00:03:43] 把种子科学与工程这个专业研究的很透
[00:03:43 - 00:03:43] 很细
[00:03:43 - 00:03:47] 可以独立的来开设这样一个本科专业了
[00:03:47 - 00:03:48] 就把它给它拉出来了
