BV号：BV1wf4y1d7Mj
标题：BV1wf4y1d7Mj
链接：https://www.bilibili.com/video/BV1wf4y1d7Mj
识别语言：zh
语言置信度：1
分段数：360
生成时间：2026-04-04 01:33:58

[00:00:00 - 00:00:02] 大家好 我是让学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:03] 由于今年的疫情影响
[00:00:03 - 00:00:07] 大多数的家长和考生就是对于咱们高考证院前报是比较担忧的
[00:00:07 - 00:00:09] 因为很长一段时间以来
[00:00:09 - 00:00:12] 学生没有办法正常的上课 正常的复课
[00:00:12 - 00:00:13] 一直在家学习
[00:00:13 - 00:00:15] 可能学习效果就不如以前
[00:00:15 - 00:00:16] 所以就比较担心考不好
[00:00:16 - 00:00:18] 然后报不了好的学校好的专业
[00:00:18 - 00:00:19] 其实大可不必
[00:00:19 - 00:00:20] 你反过来想一想
[00:00:20 - 00:00:22] 其实大家面对的情况
[00:00:22 - 00:00:24] 受到的影响它都是一样的
[00:00:24 - 00:00:26] 所以说大家没有必要去太过于担心
[00:00:26 - 00:00:28] 那既然现在高考已经结束了
[00:00:28 - 00:00:30] 我们现在应该把重点呢
[00:00:30 - 00:00:32] 专注点放在我们的志愿田报上
[00:00:32 - 00:00:33] 俗话说
[00:00:33 - 00:00:35] 七分考三分报
[00:00:35 - 00:00:35] 考得好
[00:00:35 - 00:00:36] 固然很重要
[00:00:36 - 00:00:38] 毕竟分数是基础
[00:00:38 - 00:00:40] 但是怎么解决报更关键
[00:00:40 - 00:00:42] 因为这个时候你做的选择
[00:00:42 - 00:00:43] 有可能会对你的一生
[00:00:43 - 00:00:46] 产生非常非常重要的影响
[00:00:46 - 00:00:47] 其实我们有很多考生和家长
[00:00:47 - 00:00:48] 对于志愿田报
[00:00:48 - 00:00:50] 没有那么了解
[00:00:50 - 00:00:51] 因为在高考结束之前
[00:00:51 - 00:00:54] 大家更多的经历都放在了学习上面
[00:00:54 - 00:00:56] 大家关注的是怎么样去考高分
[00:00:56 - 00:00:59] 而不是说对学生的人生做一个整体的规划
[00:00:59 - 00:01:03] 其实新高考的政策在很多省份已经开始实行了
[00:01:03 - 00:01:05] 那么面对这一次改革
[00:01:05 - 00:01:08] 很多孩子和家长其实是有点数所无措的
[00:01:08 - 00:01:11] 像山东省今年更是要添爆96个志愿
[00:01:11 - 00:01:13] 是的 你没有听错
[00:01:13 - 00:01:14] 就是96个志愿
[00:01:14 - 00:01:16] 那新高考的同学到底该怎么报志愿
[00:01:16 - 00:01:18] 老高考的同学又该怎么报志愿
[00:01:18 - 00:01:20] 张老师来给大家好好说一说
[00:01:20 - 00:01:22] 我们在进行志愿添报的时候
[00:01:22 - 00:01:24] 第一步就是要查学好自己的位次
[00:01:24 - 00:01:27] 就是大家一定要先查看自己的位次
[00:01:27 - 00:01:28] 你不要只关注分数
[00:01:28 - 00:01:30] 然后列书所谓的
[00:01:30 - 00:01:32] 充文保的位次区间
[00:01:32 - 00:01:33] 大家在报约的时候经常这样
[00:01:33 - 00:01:34] 就充一充
[00:01:34 - 00:01:34] 稳一稳
[00:01:34 - 00:01:35] 保一保
[00:01:35 - 00:01:37] 那么怎么让列书这样的区间呢
[00:01:37 - 00:01:38] 比如说某位考生
[00:01:38 - 00:01:40] 在你们省
[00:01:40 - 00:01:42] 他是理科生的全省第3万名
[00:01:42 - 00:01:44] 那么你充一充的志愿
[00:01:44 - 00:01:45] 你可以选那么几个学校
[00:01:45 - 00:01:47] 它最好是往年入学位次在
[00:01:47 - 00:01:49] 2万8000名左右的学校
[00:01:49 - 00:01:50] 你可能会这样想
[00:01:50 - 00:01:52] 就是你看这个学校是2万8000名
[00:01:52 - 00:01:53] 我们家还在3万名
[00:01:53 - 00:01:55] 万一要是能考上
[00:01:55 - 00:01:57] 感觉会有点占便宜的感觉
[00:01:57 - 00:01:58] 那么稳一稳就可以选择
[00:01:58 - 00:02:00] 往年在本省录取的位置
[00:02:00 - 00:02:03] 在30500名到31000名左右的学校
[00:02:03 - 00:02:06] 那么保一保适当往下放一放
[00:02:06 - 00:02:09] 你可以放到往年在32000名到35000名
[00:02:09 - 00:02:11] 录取的位置上的学校
[00:02:11 - 00:02:13] 另外一些热门的专业
[00:02:13 - 00:02:15] 它可能要求的位置或者分数
[00:02:15 - 00:02:16] 要求会比较高
[00:02:16 - 00:02:18] 大家一定要根据自己的情况
[00:02:18 - 00:02:19] 理性来报考
[00:02:19 - 00:02:21] 那你在这个省份考了多少分
[00:02:21 - 00:02:22] 考了多少名
[00:02:22 - 00:02:24] 再次强调一下这个位次是很重要的
[00:02:24 - 00:02:26] 我们不管是老高考还是新高考
[00:02:26 - 00:02:28] 那么你填几个志愿也好
[00:02:28 - 00:02:29] 填几十个志愿也好
[00:02:29 - 00:02:31] 咱们都是平行志愿
[00:02:31 - 00:02:33] 所以说这个位次很重要
[00:02:33 - 00:02:35] 那什么叫做平行志愿呢
[00:02:35 - 00:02:37] 这个概念我给大家讲另外一个叫做
[00:02:37 - 00:02:38] GAT志愿
[00:02:38 - 00:02:40] 因为当年我在高考的时候
[00:02:40 - 00:02:41] 就是GAT志愿
[00:02:41 - 00:02:43] 那么现在就是平行志愿
[00:02:43 - 00:02:44] 比如说有的家长就问了
[00:02:44 - 00:02:45] 说老师你看
[00:02:45 - 00:02:46] 我第一志愿报了这个学校
[00:02:46 - 00:02:48] 有可能就是没有考上嘛
[00:02:48 - 00:02:48] 对不对
[00:02:48 - 00:02:51] 然后我有一个第二志愿的一个学校
[00:02:51 - 00:02:53] 但是我把这个学校放在第二支院
[00:02:53 - 00:02:55] 人家把这个学校放在第一支院
[00:02:55 - 00:02:56] 是优先录取人家
[00:02:56 - 00:02:57] 那个第一支院的
[00:02:57 - 00:03:00] 还是优先录取我分高的第二支院的
[00:03:00 - 00:03:01] 我告诉大家
[00:03:01 - 00:03:02] 平行支院啊
[00:03:02 - 00:03:04] 谁分高要谁
[00:03:04 - 00:03:06] 那么GIT支院呢
[00:03:06 - 00:03:08] 是谁把我放在第一位
[00:03:08 - 00:03:08] 他要谁
[00:03:08 - 00:03:09] 你明白了吗
[00:03:09 - 00:03:12] 所以说平行支院下的高厚录取
[00:03:12 - 00:03:14] 谁分高要谁
[00:03:14 - 00:03:15] 你不用担心说
[00:03:15 - 00:03:15] 老实说
[00:03:15 - 00:03:16] 第一支院
[00:03:16 - 00:03:17] 第二支院都没录取
[00:03:17 - 00:03:18] 第三支院会不会要我
[00:03:18 - 00:03:19] 没有问题
[00:03:19 - 00:03:20] 只要孩子的分高
[00:03:20 - 00:03:21] 他就会要你
[00:03:21 - 00:03:24] 这就是平行志愿的美妙之处
[00:03:24 - 00:03:25] 谁选我我路去谁
[00:03:25 - 00:03:26] 那个叫做階梯志愿
[00:03:26 - 00:03:28] 谁分高我要谁
[00:03:28 - 00:03:29] 这个叫做平行志愿
[00:03:29 - 00:03:31] 所以说不管说你报多少个志愿
[00:03:31 - 00:03:32] 你是几个也好
[00:03:32 - 00:03:33] 是八十多个也好
[00:03:33 - 00:03:34] 二十九十多个也好
[00:03:34 - 00:03:35] 你只要分高
[00:03:35 - 00:03:37] 你就一定有学上
[00:03:37 - 00:03:40] 而且上的一定是你自己选择了的
[00:03:40 - 00:03:41] 第二步我建议大家
[00:03:41 - 00:03:43] 我们在报考志愿的时候
[00:03:43 - 00:03:45] 一定要先从地狱来入手
[00:03:45 - 00:03:47] 然后的话再去列学校
[00:03:47 - 00:03:48] 为什么
[00:03:48 - 00:03:49] 其实你说还在上大学
[00:03:49 - 00:03:50] 他学了什么
[00:03:51 - 00:03:52] 你说他学了什么呢
[00:03:52 - 00:03:54] 我觉得孩子上大学最重要的是
[00:03:54 - 00:03:55] 一个是学东西
[00:03:55 - 00:03:55] 另外一个叫什么
[00:03:55 - 00:03:57] 叫做长见识
[00:03:57 - 00:04:00] 尤其是对于那些文科类专业的同学来讲
[00:04:00 - 00:04:02] 长见识真的非常非常的重要
[00:04:02 - 00:04:03] 你在不同的城市
[00:04:03 - 00:04:05] 你建设到的东西它不一样
[00:04:05 - 00:04:07] 而更有可能的是什么呢
[00:04:07 - 00:04:08] 孩子在哪上学
[00:04:08 - 00:04:11] 是极有可能会在哪里去就业的
[00:04:11 - 00:04:14] 所以说大家你在选择院学和专业的时候
[00:04:14 - 00:04:16] 一定要把城市的因素给考虑进去
[00:04:16 - 00:04:18] 这样的话孩子上学的时候
[00:04:18 - 00:04:19] 才可能会不后悔
[00:04:20 - 00:04:21] 那很多考证会家长就问了
[00:04:21 - 00:04:22] 那张老师
[00:04:22 - 00:04:24] 我到底该怎么选择城市呢
[00:04:24 - 00:04:25] 各位选择城市的话
[00:04:25 - 00:04:26] 给大家一个建议
[00:04:26 - 00:04:28] 就是很多家长说
[00:04:28 - 00:04:29] 说我一定要去大城市
[00:04:29 - 00:04:30] 但是去大城市
[00:04:30 - 00:04:32] 它有它的坏处
[00:04:32 - 00:04:34] 你比如说像北上广深
