BV号：BV1PJFoe4EVp
标题：BV1PJFoe4EVp
链接：https://www.bilibili.com/video/BV1PJFoe4EVp
识别语言：zh
语言置信度：1
分段数：79
生成时间：2026-04-03 06:00:23

[00:00:00 - 00:00:05] 我一直用个一伙就是想知道孩子为啥在高二的时候成绩还行
[00:00:05 - 00:00:07] 为啥到高三突然成绩就下来了
[00:00:07 - 00:00:09] 但是他还没强特别努力
[00:00:09 - 00:00:11] 加上你高二多少分
[00:00:11 - 00:00:14] 呃 原始分的话是623
[00:00:14 - 00:00:15] 高三多少分
[00:00:15 - 00:00:16] 578
[00:00:16 - 00:00:19] 578好 加了你又没有看哪一颗往下见了
[00:00:19 - 00:00:20] 数学
[00:00:20 - 00:00:21] 数学 还有呢
[00:00:21 - 00:00:23] 数学和物理
[00:00:23 - 00:00:24] 物理
[00:00:24 - 00:00:24] 嗯
[00:00:24 - 00:00:26] 就是主要学这两颗是吧
[00:00:26 - 00:00:28] 对 因为数学的时候在高二的时候
[00:00:28 - 00:00:30] 最高的时候考过147
[00:00:30 - 00:00:33] 一般都是130多万
[00:00:33 - 00:00:35] 佳长我们先你高一数学多少分
[00:00:35 - 00:00:36] 也是这样
[00:00:36 - 00:00:37] 也134吗
[00:00:37 - 00:00:38] 对
[00:00:38 - 00:00:39] 佳长是这样子的
[00:00:39 - 00:00:40] 首先的话
[00:00:40 - 00:00:42] 你如果高一高二的数学
[00:00:42 - 00:00:44] 能够达到130到140的话
[00:00:44 - 00:00:45] 说明你高一高二的数学
[00:00:45 - 00:00:48] 你并没有明显的知识盲区
[00:00:48 - 00:00:49] 尤其是数学和物理这样的数目
[00:00:49 - 00:00:52] 所以说你的知识盲区是没有的
[00:00:52 - 00:00:53] 但是佳长你要知道
[00:00:53 - 00:00:55] 我们高一高二都在学新东西
[00:00:55 - 00:00:56] 他那个时候的考试
[00:00:56 - 00:00:58] 只考他学的那个章技
[00:00:58 - 00:01:00] 但并不会考其他章节 你懂我的意思
[00:01:00 - 00:01:01] 对对对对
[00:01:01 - 00:01:02] 我知道
[00:01:02 - 00:01:04] 你到了高三以后的话呢
[00:01:04 - 00:01:05] 他各个章节都要考
[00:01:05 - 00:01:07] 他涉及到一个所谓的考试时间分配的问题
[00:01:07 - 00:01:08] 各位家长
[00:01:08 - 00:01:10] 你的孩子有同样情况的话
[00:01:10 - 00:01:12] 那你就一定要去分析
[00:01:12 - 00:01:14] 他现在所谓的丢分
[00:01:14 - 00:01:15] 丢分的原因是什么
[00:01:16 - 00:01:19] 是因为他知识点章节掌握的内容有问题
[00:01:19 - 00:01:22] 还是说他考试时间分配的问题
[00:01:22 - 00:01:23] 像你这个孩子
[00:01:23 - 00:01:25] 我个人觉得他很有可能是不会考试
[00:01:25 - 00:01:28] 这两天我们在直播间经常强调一点
[00:01:28 - 00:01:33] 我个人觉得我们这个考试的时间真的还是蛮紧张的
[00:01:33 - 00:01:36] 就是有的时候你会发现有些孩子呢
[00:01:36 - 00:01:39] 他要么就是有一些难题没有时间没有充分的时间去思考
[00:01:39 - 00:01:44] 要么呢他很有可能他认为把这张卷子做完
[00:01:44 - 00:01:47] 要比让这张卷子的高分更重要
[00:01:47 - 00:01:49] 他可能会有这样的一个误区
[00:01:49 - 00:01:53] 所以说我经常讲我说我个人认为
[00:01:53 - 00:01:56] 你这个学科考的分高低
[00:01:56 - 00:01:58] 不能算说你这个科学的好坏
[00:01:58 - 00:02:04] 它应该是单位时间之内这张卷的得分的效率高低的表输
[00:02:04 - 00:02:06] 而并不是你这个学科学的好坏
[00:02:06 - 00:02:09] 我不知道我们各位直播间的朋友认不认可我建议
[00:02:09 - 00:02:13] 所以说那天我在直播的时候我还特意说了一句话
[00:02:13 - 00:02:16] 我说我提一个小小的建议
[00:02:16 - 00:02:22] 我建议我们高考所有的科目延长考试时间
[00:02:22 - 00:02:27] 让我们的每一个学生在这个学科上有充分的时间去思考
[00:02:27 - 00:02:30] 有充分的时间做检查
[00:02:30 - 00:02:34] 还能检验出这个学生在这个学科上学习的情况
[00:02:34 - 00:02:37] 如果说你单位时间之内
[00:02:37 - 00:02:41] 你这张卷子他很多朋友他很多孩子他可能真的就做不完卷子
[00:02:41 - 00:02:44] 他没有时间去做检查没有时间去做充分的思考
[00:02:44 - 00:02:47] 所以说他相当于是一个单位时间之内
[00:02:47 - 00:02:49] 这张卷子的得分效率
[00:02:49 - 00:02:51] 但实际上未来在工作当中
[00:02:51 - 00:02:58] 那种像考试一样在单位时间之内考察你做事效率的事情不多
[00:02:58 - 00:03:00] 比如说做研发
[00:03:00 - 00:03:03] 那很勇敢的是看你能不能成期坚持
[00:03:03 - 00:03:06] 而并不是看你单位时间的得分效率
[00:03:06 - 00:03:09] 更不是两个小时之内做一个事情的得分效率
[00:03:09 - 00:03:13] 所以说我个人觉得我们的孩子很勇敢的是不会考试
