BV号：BV1KQ4y1k7gk
标题：BV1KQ4y1k7gk
链接：https://www.bilibili.com/video/BV1KQ4y1k7gk
识别语言：zh
语言置信度：1
分段数：46
生成时间：2026-04-03 22:22:30

[00:00:00 - 00:00:02] 大家好,我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 又是一年8月15又是一年中秋假节
[00:00:05 - 00:00:08] 不知道大家今天有没有和家人团聚
[00:00:08 - 00:00:11] 其实说到这一点呢
[00:00:11 - 00:00:13] 我就想起来有以前我
[00:00:13 - 00:00:16] 到郑州上大学到现在已经快20多年了
[00:00:16 - 00:00:18] 这20多年在上大学的时候呢
[00:00:18 - 00:00:22] 过中秋节的时候基本上都是在学校里边跟同学一起过
[00:00:22 - 00:00:23] 后来工作以后的话呢
[00:00:23 - 00:00:25] 在工作前几年的时候
[00:00:25 - 00:00:27] 那个时候还每一年的中秋节
[00:00:27 - 00:00:28] 前面的几天
[00:00:28 - 00:00:30] 我讲座一般都会安排在哈尔滨
[00:00:30 - 00:00:31] 然后的话这样的
[00:00:31 - 00:00:32] 就在哈尔滨讲完座之后的话
[00:00:32 - 00:00:34] 直接就可以放假以后
[00:00:34 - 00:00:36] 回家中秋节不放假嘛
[00:00:36 - 00:00:38] 我就可以回家跟家人一起过中秋节
[00:00:38 - 00:00:40] 但是后来随着工作越来越忙
[00:00:40 - 00:00:42] 然后的话回东北过中秋节的
[00:00:42 - 00:00:44] 可能性就越来越小
[00:00:44 - 00:00:46] 那么在这个温暖的日子里边
[00:00:46 - 00:00:48] 大家千万不要忘了给父母打一个电话
[00:00:48 - 00:00:50] 祝大家身体安康和家欢
[00:00:50 - 00:00:52] 越远人员事实员
[00:00:52 - 00:00:54] 当然中秋节肯定是少不了吃月饼的
[00:00:54 - 00:00:56] 反正我这个人的平时
[00:00:56 - 00:00:59] 一個人的月餅是不太喜歡吃的
[00:00:59 - 00:01:02] 因為我當年還是個孩子的時候
[00:01:02 - 00:01:04] 月餅這個玩意只有一個餡兒
[00:01:04 - 00:01:06] 叫五折餡兒
[00:01:06 - 00:01:08] 然後五折餡兒裡面最難吃的就是那個
[00:01:08 - 00:01:10] 我也不知道這是什麼玩意的那個絲
[00:01:10 - 00:01:12] 反正是特別的難吃
[00:01:12 - 00:01:14] 當然後來就有了走泥餡兒的
[00:01:14 - 00:01:15] 走泥餡兒的可能太甜
[00:01:15 - 00:01:17] 然後越來越往後就發現
[00:01:17 - 00:01:20] 這個月餅的餡兒就越來越多樣
[00:01:20 - 00:01:22] 就發現不同地方的
[00:01:22 - 00:01:23] 可能會有不同的餡兒
[00:01:23 - 00:01:25] 像我們前兩天在上海的時候
[00:01:25 - 00:01:27] 说有上海的鲜肉馅月饼
[00:01:27 - 00:01:30] 想一想我可能是接受不了
[00:01:30 - 00:01:33] 不知道大家的家乡最经典的月饼是什么的馅
[00:01:33 - 00:01:35] 所以说欢迎大家来讨论区
[00:01:35 - 00:01:36] 跟我们一起互动
