BV号：BV1gz421R7Po
标题：BV1gz421R7Po
链接：https://www.bilibili.com/video/BV1gz421R7Po
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-04-03 11:53:09

[00:00:00 - 00:00:02] 个人建议,你想好
[00:00:02 - 00:00:04] 除非说同学,我说句不好听的话
[00:00:04 - 00:00:06] 除非说你痛定思痛
[00:00:06 - 00:00:08] 认认真真的上大学,把这个东西学好
[00:00:08 - 00:00:11] 如果你认为你的潜力无限
[00:00:11 - 00:00:13] 且能保证在上大学的时候
[00:00:13 - 00:00:15] 真的认认真真学
[00:00:15 - 00:00:17] 劳张支持你上本课
[00:00:17 - 00:00:19] 但如果说你认为你潜力无限
[00:00:19 - 00:00:21] 但是你上大学的时候
[00:00:21 - 00:00:22] 仍然,说句不好听的话
[00:00:22 - 00:00:24] 学习的镜头,学习的动力
[00:00:24 - 00:00:26] 没有那么足,三天大雨,两天晒网
[00:00:26 - 00:00:29] 那你别干这种事
[00:00:29 - 00:00:30] 还不如给家里生点钱
[00:00:30 - 00:00:32] 老老师是直接去就业的
[00:00:32 - 00:00:32] 所以说孩子
[00:00:32 - 00:00:34] 你的秘密掌握在你自己的手里
[00:00:34 - 00:00:35] 经常我孩子问我说
[00:00:35 - 00:00:36] 张老师
[00:00:36 - 00:00:37] 我上了一个名字
[00:00:37 - 00:00:37] 我上了一个二本
[00:00:37 - 00:00:39] 我能不能扛上985的研究生
[00:00:39 - 00:00:40] 机会在你的手里
[00:00:40 - 00:00:42] 不在我的嘴里
[00:00:42 - 00:00:44] 当唐僧问佛祖说
[00:00:44 - 00:00:46] 我能不能去许掉七天的经纪的时候
[00:00:46 - 00:00:47] 佛祖也不能跟他说
[00:00:47 - 00:00:47] 你去吧
[00:00:47 - 00:00:48] 我保论你能取到
[00:00:48 - 00:00:49] 佛祖说
[00:00:49 - 00:00:50] 你要真想取经
[00:00:50 - 00:00:52] 你会经历9981难
[00:00:52 - 00:00:54] 如果你畏惧其中一难
[00:00:54 - 00:00:55] 你别去
[00:00:55 - 00:00:56] 所以说
[00:00:56 - 00:00:57] 我想跟你说的话
[00:00:57 - 00:00:58] 跟这个是一样的
[00:00:58 - 00:01:01] 所以说孩子你有信心和决心
[00:01:01 - 00:01:02] 你上本课
[00:01:02 - 00:01:05] 你没有那个信心和决心
[00:01:05 - 00:01:06] 或者说你有那个信心和决心
[00:01:06 - 00:01:08] 你行动跟不上
[00:01:08 - 00:01:08] 老老实实去上他
