BV号：BV1Rv4y1f7KN
标题：BV1Rv4y1f7KN
链接：https://www.bilibili.com/video/BV1Rv4y1f7KN
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-04 00:56:34

[00:00:00 - 00:00:01] 大家想一想
[00:00:01 - 00:00:03] 等你到了三四十岁的时候
[00:00:03 - 00:00:05] 在你这个作业未来所从事的行业
[00:00:05 - 00:00:08] 或者说你这个作业未来所能做的岗位上
[00:00:08 - 00:00:10] 你是不是具有不可替代性
[00:00:10 - 00:00:12] 还是说有没有你啊
[00:00:12 - 00:00:14] 是不是你啊都无所谓
[00:00:14 - 00:00:16] 不知道大家有没有在社交教的时候
[00:00:16 - 00:00:17] 好好地想过这个问题
[00:00:17 - 00:00:19] 实际上这本书前从哪里来的
[00:00:19 - 00:00:23] 就讲了这个人工智能所带来的降为大机
[00:00:23 - 00:00:25] 在这本书的第27页
[00:00:25 - 00:00:26] 大家可以看一下
[00:00:26 - 00:00:27] 它有一个表格
[00:00:27 - 00:00:29] 这个表格是牛津大学两位经济学家
[00:00:29 - 00:00:33] 计算的702个细分职业的人工智能可替代率
[00:00:33 - 00:00:34] 那你就知道了
[00:00:34 - 00:00:35] 你自己这个专业呀
[00:00:35 - 00:00:37] 未来所从事的那个岗位呀
[00:00:37 - 00:00:39] 被人工智能替代的可能性有多大
[00:00:39 - 00:00:44] 苏东呢还列举了受人工智能所谓影响的高威行业和低风险行业
[00:00:44 - 00:00:45] 那么你属于哪一种
[00:00:45 - 00:00:47] 其中被替代率很高的职业
[00:00:47 - 00:00:49] 包括像大家能想象到的
[00:00:49 - 00:00:50] 像什么服务员呢
[00:00:50 - 00:00:53] 包括像一些流水线的工人等等
[00:00:53 - 00:00:55] 所以说不同行业的人力资本价值
[00:00:55 - 00:00:57] 随着时间的流升
[00:00:57 - 00:00:58] 会受到巨大的影响
[00:00:58 - 00:01:00] 不僅與個人能力有關
[00:01:00 - 00:01:02] 還受到大環境的限制
