BV号：BV1wu411m7fN
标题：BV1wu411m7fN
链接：https://www.bilibili.com/video/BV1wu411m7fN
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 20:48:16

[00:00:00 - 00:00:01] 给各位家长各位考生
[00:00:01 - 00:00:04] 科普一下纯文报制院的几个方向
[00:00:04 - 00:00:05] 报的几个大方向
[00:00:05 - 00:00:06] 是这样的
[00:00:06 - 00:00:07] 纯文有几个大方向
[00:00:07 - 00:00:09] 第一个大方向就是语文和外语的示范
[00:00:09 - 00:00:13] 然后的话第二个大方向是其他专业的示范
[00:00:13 - 00:00:16] 因为语文和外语的示范确确实实
[00:00:16 - 00:00:18] 这个报的人是相对比较多的
[00:00:18 - 00:00:21] 他的分在今年河北省新高好的时候是
[00:00:21 - 00:00:22] 长的确实实不少
[00:00:22 - 00:00:24] 这是第一种情况
[00:00:24 - 00:00:27] 然后第二种情况其他示范包括像我们说的历史
[00:00:27 - 00:00:30] 地理政治这种也可以
[00:00:30 - 00:00:32] 然后包括说另外一个专业叫学前教育
[00:00:32 - 00:00:37] 学前教育这个专业目前是我们考编的时候
[00:00:37 - 00:00:39] 各地在招编制的时候
[00:00:39 - 00:00:42] 学前教育这个专业是比较火的
[00:00:42 - 00:00:43] 也比较多
[00:00:43 - 00:00:46] 因为我们都知道我们现在有幼儿园分成两种
[00:00:46 - 00:00:47] 一种叫功利幼儿园
[00:00:47 - 00:00:49] 一种叫私利幼儿园
[00:00:49 - 00:00:51] 我们现在功利幼儿园说实话是比较难上的
[00:00:51 - 00:00:54] 私利幼儿园的话价格又相对比较高
[00:00:54 - 00:00:56] 所以说国家为了解决这个问题
[00:00:56 - 00:00:58] 就提出一个未来的方针
[00:00:58 - 00:01:03] 就是要大力的去新建这种工办员
[00:01:03 - 00:01:06] 那新建工办员就一定是需要一些
[00:01:06 - 00:01:07] 工办员的幼儿园老师
[00:01:07 - 00:01:10] 所以说现在目前各地在教师编制招聘的时候
[00:01:10 - 00:01:13] 那么学习教育这个转业招的还是比较多的
[00:01:13 - 00:01:14] 这是第二个方向
[00:01:14 - 00:01:16] 还有三个大方向
[00:01:16 - 00:01:17] 持续管做
[00:01:17 - 00:01:18] 我们下期节子讲
