BV号：BV1wJ411j7Fq
标题：BV1wJ411j7Fq
链接：https://www.bilibili.com/video/BV1wJ411j7Fq
识别语言：zh
语言置信度：1
分段数：49
生成时间：2026-04-04 03:38:30

[00:00:00 - 00:00:02] 你要是不想用这个绝招必杀技的话
[00:00:02 - 00:00:04] 同学那请把第三方面准备好
[00:00:04 - 00:00:08] 什么你要知道老师面试一般都问什么问题
[00:00:09 - 00:00:11] 你要知道老师面试一般都问什么问题
[00:00:11 - 00:00:13] 老师我哪知道老师问啥呀
[00:00:13 - 00:00:14] 你问谁呀
[00:00:14 - 00:00:16] 说是师兄师姐学长啊
[00:00:16 - 00:00:16] 对不对
[00:00:16 - 00:00:18] 哎同学你在面试前一个星期
[00:00:18 - 00:00:19] 我告诉你的话
[00:00:19 - 00:00:20] 面试前一个星期
[00:00:20 - 00:00:23] 我一定会到我们边院校去溜的一圈
[00:00:23 - 00:00:25] 找到我认识的那个研究生
[00:00:25 - 00:00:26] 让他找他几个同学
[00:00:26 - 00:00:27] 你不能只问他自己
[00:00:27 - 00:00:29] 为什么他骗面能明白吧
[00:00:29 - 00:00:30] 多找几个人
[00:00:30 - 00:00:32] 请他们出来吃顿饭
[00:00:32 - 00:00:33] 吃点好的
[00:00:33 - 00:00:34] 别长什么鸡架
[00:00:34 - 00:00:35] 什么沉面什么的
[00:00:35 - 00:00:36] 是吧
[00:00:36 - 00:00:37] 哎呀 该就饭麻了烫
[00:00:37 - 00:00:38] 恶心不改心
[00:00:38 - 00:00:38] 对吧
[00:00:38 - 00:00:39] 你别点浑性
[00:00:39 - 00:00:40] 对不对
[00:00:40 - 00:00:41] 炒几个菜喝点小酒
[00:00:41 - 00:00:43] 你就是我亲哥
[00:00:43 - 00:00:44] 我就是你亲老弟
[00:00:44 - 00:00:45] 对不对
[00:00:45 - 00:00:45] 然后问一问
[00:00:45 - 00:00:46] 大哥老师训练问你啥了
[00:00:46 - 00:00:47] 问你啥了
[00:00:47 - 00:00:47] 问你啥了
[00:00:47 - 00:00:48] 问你啥了
[00:00:48 - 00:00:48] 对不对
[00:00:48 - 00:00:49] 哎
[00:00:49 - 00:00:50] 老师训练问过哪些问题
[00:00:50 - 00:00:52] 你去稍微准备一下
[00:00:52 - 00:00:53] 你会发现你心里边
[00:00:53 - 00:00:54] 是不是就有底了呀
[00:00:54 - 00:00:55] 对吧
[00:00:55 - 00:00:56] 那同学你想吧
[00:00:56 - 00:00:57] 一方面你没有见过老师
[00:00:57 - 00:00:59] 也不知道老师可能会问什么问题
[00:00:59 - 00:01:01] 另外一方面你找几个研究生
[00:01:01 - 00:01:03] 人家告诉你老师去年问啥了
[00:01:03 - 00:01:04] 是不是感觉肯定不一样
