BV号：BV18U4y1E7u2
标题：BV18U4y1E7u2
链接：https://www.bilibili.com/video/BV18U4y1E7u2
识别语言：zh
语言置信度：1
分段数：12
生成时间：2026-04-03 22:45:08

[00:00:00 - 00:00:02] 大家好,我上學習變得更快樂的張雪鋒老師
[00:00:02 - 00:00:05] 我們在高考住院填報的時候,大家是喜歡報
[00:00:05 - 00:00:07] 省內的學校還是喜歡報,省外的學校呢
[00:00:07 - 00:00:09] 畢竟各個各的好處嗎?
[00:00:09 - 00:00:10] 報省外的學校能長見時
[00:00:10 - 00:00:13] 報省內的學校咱們資源多、關係多
[00:00:13 - 00:00:15] 朋友啊、家長啊、照顧也都方便
[00:00:15 - 00:00:18] 大家可能會持有各自的想法
[00:00:18 - 00:00:20] 希望大家在評論期當中討論起來
[00:00:20 - 00:00:25] 歡迎大家前往我16億發布的文章中進行投票和討論
[00:00:25 - 00:00:28] 我們將會在評論中抽選一位小夥伴
[00:00:28 - 00:00:30] 送出张选峰老师的生学大礼包一份
