BV号：BV1Kq4y1e7xh
标题：BV1Kq4y1e7xh
链接：https://www.bilibili.com/video/BV1Kq4y1e7xh
识别语言：zh
语言置信度：1
分段数：77
生成时间：2026-04-03 19:58:32

[00:00:00 - 00:00:02] 中文專業,正常如果你自己考驗的話,你也應該知道
[00:00:02 - 00:00:06] 它學書系研究生分成八個專業,專業系研究生分成兩個專業
[00:00:06 - 00:00:09] 中國古代威學,中國現在威學,比較威學,世界威學
[00:00:09 - 00:00:12] 語言學進行語言學,中國古典威學,中國首次病毒學,文學學
[00:00:12 - 00:00:14] 還有一個教練叫文藝學
[00:00:14 - 00:00:18] 你這個專業你知道國家線很高,3607分,英語分成線很高,將近60
[00:00:18 - 00:00:20] 如果你要考專業碩士的話,你應該知道有兩個專業碩士
[00:00:20 - 00:00:23] 一個叫學科教育語文,還有一個叫漢語國際教育碩士
[00:00:23 - 00:00:25] 但是這些中文類專業都很捲
[00:00:25 - 00:00:28] 如果說你要考法學類的話,馬克思主理論類
[00:00:28 - 00:00:29] 它分成两个意义学科
[00:00:29 - 00:00:30] 一个叫做政治学
[00:00:30 - 00:00:32] 一个叫做马克思主义理论
[00:00:32 - 00:00:33] 它是两个不同的意义学科
[00:00:33 - 00:00:35] 如果说你要考政治学的话
[00:00:35 - 00:00:36] 它是0302开头
[00:00:36 - 00:00:37] 如果你要考马克思主义理论的话
[00:00:37 - 00:00:39] 它是0305开头的专业
[00:00:39 - 00:00:40] 它的代码是这个样子
[00:00:40 - 00:00:41] 政治学的话
[00:00:41 - 00:00:44] 下面分成七个二级学科
[00:00:44 - 00:00:44] 大家常见的
[00:00:44 - 00:00:45] 包括像国际关系
[00:00:45 - 00:00:46] 国际政治外交学
[00:00:46 - 00:00:48] 这三个专业是考的人比较多的
[00:00:48 - 00:00:49] 你如果抱这三个专业的话
[00:00:49 - 00:00:51] 想考222后9850很难的
[00:00:51 - 00:00:52] 来同学记住
[00:00:52 - 00:00:53] 下面这几个专业
[00:00:53 - 00:00:56] 中外政治制度比较
[00:00:56 - 00:00:59] 科學社會主義與國際共產主義運動
[00:01:00 - 00:01:01] 政治學院理
[00:01:01 - 00:01:04] 這三個專業是政治學當中相對比較好考的專業
[00:01:04 - 00:01:05] 為什麼
[00:01:05 - 00:01:06] 本科沒有學這三專業的
[00:01:07 - 00:01:08] 如果說你要考馬克思主義理論類
[00:01:08 - 00:01:09] 馬克思主義理論類
[00:01:09 - 00:01:11] 下面是分成五個二級學科
[00:01:11 - 00:01:14] 大家最經常考的那個專業叫思想政治教育
[00:01:14 - 00:01:15] 你千萬不要碰這個專業
[00:01:15 - 00:01:17] 因為思想政治教育
[00:01:17 - 00:01:18] 這個專業會有本科生
[00:01:18 - 00:01:20] 本科生在考研的時候
[00:01:20 - 00:01:21] 最容易犯的一個大錯誤是什麼
[00:01:21 - 00:01:22] 本專業考本專業
[00:01:22 - 00:01:24] 他認為跨專業難考
[00:01:24 - 00:01:26] 所以說他們大概率是什麼呢
[00:01:26 - 00:01:27] 这帮人本科学思想政治教育
[00:01:27 - 00:01:29] 他考业也会考思想政治教育
[00:01:29 - 00:01:29] 能明白吧
[00:01:29 - 00:01:30] 那你不要碰这种专业
[00:01:30 - 00:01:32] 那你要碰什么专业呢
[00:01:32 - 00:01:32] 来
[00:01:32 - 00:01:35] 马克思主义理论的中国化研究
[00:01:36 - 00:01:37] 外国马克思主义
[00:01:38 - 00:01:38] 知道吧
[00:01:38 - 00:01:39] 你考这种专业
[00:01:39 - 00:01:40] 能明白吧
[00:01:40 - 00:01:41] 这种专业也是同样的特点
[00:01:41 - 00:01:42] 它没有本科生
[00:01:42 - 00:01:44] 因为你不会见到有任何一个人
[00:01:44 - 00:01:47] 学的叫做外国马克思主义
[00:01:47 - 00:01:48] 你不会见到有任何一个人
[00:01:48 - 00:01:50] 学的马克思主义中国化研究
[00:01:50 - 00:01:51] 没有人学这个专业
[00:01:51 - 00:01:52] 所以说这个专业在报考的时候
[00:01:52 - 00:01:53] 跟刚才我说的
[00:01:53 - 00:01:56] 像科学制度主义与国际共产主义运动
[00:01:56 - 00:01:58] 这种专业也没有人本科学这个专业
[00:01:58 - 00:01:59] 所以说这种专业在考研的时候
[00:01:59 - 00:02:01] 报的人相对较少
[00:02:01 - 00:02:03] 你不要报那些什么外交学
[00:02:03 - 00:02:06] 什么国际关系国际政治思想政治教育
[00:02:06 - 00:02:08] 你报这种专业会聚集大量的考生
[00:02:08 - 00:02:09] 会很卷
[00:02:09 - 00:02:11] 你报刚才我说的这些专业
[00:02:11 - 00:02:13] 会相对容易一些明白了吗
